Date,Open,High,Low,Close,Volume,OpenInterest
2026-07-28 09:15:00,88.13,88.35,87.85,87.97,165706,0
2026-07-28 09:16:00,87.93,88.04,87.9,88.0,42699,0
2026-07-28 09:17:00,88.0,88.05,87.91,87.92,25322,0
2026-07-28 09:18:00,87.94,88.1,87.92,88.05,43960,0
2026-07-28 09:19:00,88.04,88.14,88.0,88.14,17649,0
2026-07-28 09:20:00,88.14,88.25,88.1,88.21,12239,0
2026-07-28 09:21:00,88.23,88.24,88.05,88.14,20633,0
2026-07-28 09:22:00,88.13,88.15,88.03,88.13,36294,0
2026-07-28 09:23:00,88.13,88.14,87.99,88.02,29356,0
2026-07-28 09:24:00,88.04,88.12,87.96,88.06,15480,0
2026-07-28 09:25:00,88.05,88.05,88.0,88.04,6431,0
2026-07-28 09:26:00,88.0,88.1,87.97,88.1,39247,0
2026-07-28 09:27:00,88.1,88.19,88.1,88.13,17532,0
2026-07-28 09:28:00,88.18,88.25,88.15,88.21,26132,0
2026-07-28 09:29:00,88.2,88.36,88.2,88.28,38324,0
2026-07-28 09:30:00,88.28,88.35,88.24,88.34,30428,0
2026-07-28 09:31:00,88.32,88.34,88.23,88.27,39230,0
2026-07-28 09:32:00,88.25,88.28,88.15,88.18,35476,0
2026-07-28 09:33:00,88.19,88.2,88.14,88.2,11944,0
2026-07-28 09:34:00,88.2,88.27,88.15,88.24,25389,0
2026-07-28 09:35:00,88.24,88.28,88.18,88.26,15450,0
2026-07-28 09:36:00,88.21,88.4,88.2,88.35,82516,0
2026-07-28 09:37:00,88.35,88.35,88.25,88.3,28697,0
2026-07-28 09:38:00,88.3,88.3,88.22,88.3,8913,0
2026-07-28 09:39:00,88.3,88.32,88.22,88.31,23344,0
2026-07-28 09:40:00,88.32,88.35,88.22,88.25,42999,0
2026-07-28 09:41:00,88.27,88.28,88.2,88.2,9399,0
2026-07-28 09:42:00,88.23,88.26,88.21,88.24,12134,0
2026-07-28 09:43:00,88.24,88.28,88.21,88.26,19846,0
2026-07-28 09:44:00,88.26,88.28,88.19,88.23,16311,0
2026-07-28 09:45:00,88.23,88.25,88.17,88.21,18708,0
2026-07-28 09:46:00,88.22,88.22,88.16,88.2,10476,0
2026-07-28 09:47:00,88.21,88.23,88.15,88.23,23206,0
2026-07-28 09:48:00,88.2,88.24,88.13,88.13,14833,0
2026-07-28 09:49:00,88.12,88.19,88.11,88.19,21577,0
2026-07-28 09:50:00,88.15,88.19,88.11,88.12,7109,0
2026-07-28 09:51:00,88.12,88.16,88.11,88.13,5143,0
2026-07-28 09:52:00,88.13,88.17,88.12,88.17,6379,0
2026-07-28 09:53:00,88.16,88.19,88.12,88.15,3867,0
2026-07-28 09:54:00,88.19,88.2,88.14,88.2,12108,0
2026-07-28 09:55:00,88.19,88.21,88.15,88.2,10906,0
2026-07-28 09:56:00,88.21,88.23,88.16,88.19,10309,0
2026-07-28 09:57:00,88.19,88.22,88.15,88.21,19759,0
2026-07-28 09:58:00,88.2,88.2,88.15,88.18,4827,0
2026-07-28 09:59:00,88.16,88.23,88.12,88.12,24384,0
2026-07-28 10:00:00,88.16,88.16,88.05,88.09,47613,0
2026-07-28 10:01:00,88.13,88.13,88.02,88.06,25195,0
2026-07-28 10:02:00,88.07,88.13,88.03,88.06,21008,0
2026-07-28 10:03:00,88.06,88.09,88.02,88.04,5585,0
2026-07-28 10:04:00,88.04,88.07,88.01,88.02,8698,0
2026-07-28 10:05:00,88.02,88.06,88.0,88.05,9969,0
2026-07-28 10:06:00,88.05,88.06,88.01,88.01,11768,0
2026-07-28 10:07:00,88.06,88.06,88.0,88.05,11507,0
2026-07-28 10:08:00,88.05,88.09,88.01,88.01,20711,0
2026-07-28 10:09:00,88.05,88.05,88.01,88.05,5014,0
2026-07-28 10:10:00,88.05,88.08,88.0,88.08,13912,0
2026-07-28 10:11:00,88.05,88.1,88.01,88.04,38096,0
2026-07-28 10:12:00,88.06,88.09,88.05,88.06,9783,0
2026-07-28 10:13:00,88.06,88.18,88.06,88.11,40887,0
2026-07-28 10:14:00,88.16,88.16,88.08,88.12,3846,0
2026-07-28 10:15:00,88.13,88.15,88.1,88.12,9465,0
2026-07-28 10:16:00,88.12,88.26,88.12,88.2,16969,0
2026-07-28 10:17:00,88.2,88.25,88.17,88.25,16766,0
2026-07-28 10:18:00,88.25,88.27,88.2,88.24,9292,0
2026-07-28 10:19:00,88.24,88.24,88.17,88.2,7652,0
2026-07-28 10:20:00,88.21,88.23,88.17,88.2,3106,0
