Date,Open,High,Low,Close,Volume,OpenInterest
2026-07-28 09:15:00,353.0,353.0,350.05,351.95,18393,0
2026-07-28 09:16:00,351.4,352.0,350.95,351.25,4669,0
2026-07-28 09:17:00,351.2,351.2,350.7,350.95,1193,0
2026-07-28 09:18:00,350.7,351.0,350.65,351.0,1408,0
2026-07-28 09:19:00,350.9,350.9,350.1,350.25,5051,0
2026-07-28 09:20:00,350.7,351.25,350.35,351.25,2203,0
2026-07-28 09:21:00,351.0,351.25,350.5,350.5,1484,0
2026-07-28 09:22:00,350.65,350.8,350.55,350.65,230,0
2026-07-28 09:23:00,350.75,350.95,350.6,350.65,2891,0
2026-07-28 09:24:00,350.65,351.0,350.5,350.5,2076,0
2026-07-28 09:25:00,350.55,350.55,350.1,350.35,2341,0
2026-07-28 09:26:00,350.35,350.8,350.0,350.8,3560,0
2026-07-28 09:27:00,350.8,350.95,350.6,350.6,706,0
2026-07-28 09:28:00,350.75,350.9,350.15,350.35,3176,0
2026-07-28 09:29:00,350.35,350.55,350.3,350.3,669,0
2026-07-28 09:30:00,350.3,350.8,350.3,350.5,852,0
2026-07-28 09:31:00,350.7,350.8,350.35,350.35,752,0
2026-07-28 09:32:00,350.5,350.6,350.35,350.5,959,0
2026-07-28 09:33:00,350.5,350.6,350.15,350.6,677,0
2026-07-28 09:34:00,350.2,350.65,350.2,350.2,634,0
2026-07-28 09:35:00,350.2,350.5,350.2,350.35,1392,0
2026-07-28 09:36:00,350.5,350.6,350.35,350.6,517,0
2026-07-28 09:37:00,350.45,350.5,350.3,350.3,659,0
2026-07-28 09:38:00,350.45,350.45,350.1,350.1,515,0
2026-07-28 09:39:00,350.1,350.35,350.0,350.15,1059,0
2026-07-28 09:40:00,350.25,350.35,350.0,350.15,660,0
2026-07-28 09:41:00,350.35,350.5,350.15,350.15,597,0
2026-07-28 09:42:00,350.15,350.35,350.15,350.15,533,0
2026-07-28 09:43:00,350.15,350.5,350.15,350.4,590,0
2026-07-28 09:44:00,350.6,350.8,350.35,350.4,1028,0
2026-07-28 09:45:00,350.6,351.5,350.25,351.05,4930,0
2026-07-28 09:46:00,351.3,351.35,350.75,350.8,1425,0
2026-07-28 09:47:00,350.8,351.45,350.7,350.85,3125,0
2026-07-28 09:48:00,350.85,351.1,350.85,350.85,494,0
2026-07-28 09:49:00,350.85,352.5,350.7,352.1,5368,0
2026-07-28 09:50:00,352.1,352.9,352.05,352.45,7373,0
2026-07-28 09:51:00,352.25,352.45,351.9,351.9,264,0
2026-07-28 09:52:00,351.9,352.45,351.65,351.9,4025,0
2026-07-28 09:53:00,351.9,351.9,351.4,351.4,1130,0
2026-07-28 09:54:00,351.4,351.85,351.3,351.7,1054,0
2026-07-28 09:55:00,351.85,351.85,351.65,351.7,301,0
2026-07-28 09:56:00,351.7,351.9,351.6,351.6,613,0
2026-07-28 09:57:00,351.6,351.9,351.55,351.6,826,0
2026-07-28 09:58:00,351.85,352.1,351.55,352.05,1328,0
2026-07-28 09:59:00,352.05,352.2,351.55,351.55,1896,0
2026-07-28 10:00:00,351.55,351.75,351.4,351.7,1646,0
2026-07-28 10:01:00,351.75,351.95,351.75,351.75,125,0
2026-07-28 10:02:00,351.75,352.1,351.5,351.5,2096,0
2026-07-28 10:03:00,351.5,351.5,351.0,351.0,911,0
2026-07-28 10:04:00,351.0,351.15,350.85,350.85,1212,0
2026-07-28 10:05:00,350.85,350.9,350.65,350.65,319,0
2026-07-28 10:06:00,350.65,351.0,350.5,351.0,1225,0
2026-07-28 10:07:00,350.75,350.75,350.5,350.5,898,0
2026-07-28 10:08:00,350.5,350.8,350.5,350.5,1207,0
2026-07-28 10:09:00,350.75,350.95,350.5,350.6,756,0
2026-07-28 10:10:00,350.6,350.9,350.3,350.6,2852,0
2026-07-28 10:11:00,350.6,350.85,350.6,350.6,657,0
2026-07-28 10:12:00,350.6,350.9,350.6,350.65,296,0
2026-07-28 10:13:00,350.65,351.0,350.6,350.65,995,0
2026-07-28 10:14:00,350.65,350.85,350.65,350.65,295,0
2026-07-28 10:15:00,350.85,351.0,350.65,350.95,1153,0
2026-07-28 10:16:00,351.0,351.25,350.85,350.85,2081,0
2026-07-28 10:17:00,350.85,351.0,350.85,351.0,627,0
2026-07-28 10:18:00,350.85,351.0,350.55,350.55,2003,0
2026-07-28 10:19:00,350.65,350.65,350.55,350.55,116,0
2026-07-28 10:20:00,350.55,350.55,350.05,350.05,758,0
2026-07-28 10:21:00,350.3,350.45,350.0,350.4,2550,0
2026-07-28 10:22:00,350.4,350.55,350.05,350.05,1377,0
2026-07-28 10:23:00,350.05,350.2,350.0,350.0,398,0
