Date,Open,High,Low,Close,Volume,OpenInterest
2026-07-29 09:15:00,108.0,108.45,107.72,107.98,160918,0
2026-07-29 09:16:00,107.95,108.25,107.95,108.03,43995,0
2026-07-29 09:17:00,108.07,108.22,107.95,108.04,51527,0
2026-07-29 09:18:00,108.04,108.04,107.95,108.0,20842,0
2026-07-29 09:19:00,108.0,108.0,107.95,107.98,17336,0
2026-07-29 09:20:00,107.98,108.11,107.76,108.06,51935,0
2026-07-29 09:21:00,108.06,108.2,108.06,108.13,28388,0
2026-07-29 09:22:00,108.11,108.11,107.8,107.83,40523,0
2026-07-29 09:23:00,107.83,107.84,107.74,107.79,11515,0
2026-07-29 09:24:00,107.79,107.95,107.79,107.9,22017,0
2026-07-29 09:25:00,107.9,107.93,107.87,107.91,15937,0
2026-07-29 09:26:00,107.91,107.93,107.87,107.93,7567,0
2026-07-29 09:27:00,107.93,108.0,107.93,107.97,8560,0
2026-07-29 09:28:00,107.97,107.98,107.8,107.9,38919,0
2026-07-29 09:29:00,107.87,108.03,107.86,108.03,27866,0
2026-07-29 09:30:00,108.06,108.06,107.93,107.93,55301,0
2026-07-29 09:31:00,107.91,107.91,107.77,107.79,58908,0
2026-07-29 09:32:00,107.77,107.83,107.67,107.67,40597,0
2026-07-29 09:33:00,107.68,107.74,107.59,107.62,14640,0
2026-07-29 09:34:00,107.62,107.66,107.56,107.56,2385,0
2026-07-29 09:35:00,107.61,107.61,107.52,107.57,16215,0
2026-07-29 09:36:00,107.57,107.57,107.4,107.4,19265,0
2026-07-29 09:37:00,107.4,107.51,107.33,107.48,19574,0
2026-07-29 09:38:00,107.48,107.53,107.42,107.48,12192,0
2026-07-29 09:39:00,107.45,107.5,107.4,107.41,9921,0
2026-07-29 09:40:00,107.46,107.5,107.41,107.42,11862,0
2026-07-29 09:41:00,107.47,107.5,107.47,107.47,10656,0
2026-07-29 09:42:00,107.49,107.59,107.49,107.57,19344,0
2026-07-29 09:43:00,107.6,107.6,107.5,107.54,14086,0
2026-07-29 09:44:00,107.56,107.68,107.5,107.53,94828,0
2026-07-29 09:45:00,107.53,107.61,107.53,107.61,8808,0
2026-07-29 09:46:00,107.61,107.61,107.39,107.43,18516,0
2026-07-29 09:47:00,107.46,107.53,107.42,107.42,10920,0
2026-07-29 09:48:00,107.48,107.48,107.42,107.46,1511,0
2026-07-29 09:49:00,107.42,107.53,107.42,107.48,16806,0
2026-07-29 09:50:00,107.55,107.63,107.53,107.6,10245,0
2026-07-29 09:51:00,107.6,108.07,107.6,108.07,253086,0
2026-07-29 09:52:00,108.03,108.14,107.99,108.06,14694,0
2026-07-29 09:53:00,108.02,108.26,107.97,108.26,12269,0
2026-07-29 09:54:00,108.26,108.28,108.2,108.22,15582,0
2026-07-29 09:55:00,108.22,108.25,108.18,108.18,20319,0
2026-07-29 09:56:00,108.16,108.16,107.72,107.73,346973,0
2026-07-29 09:57:00,107.72,107.72,107.26,107.43,132449,0
2026-07-29 09:58:00,107.43,107.48,107.35,107.38,18622,0
2026-07-29 09:59:00,107.42,107.45,107.35,107.42,7553,0
2026-07-29 10:00:00,107.42,107.42,107.23,107.33,42563,0
2026-07-29 10:01:00,107.39,107.43,107.29,107.38,11905,0
2026-07-29 10:02:00,107.37,107.4,107.37,107.4,372,0
2026-07-29 10:03:00,107.37,107.42,107.33,107.38,9075,0
2026-07-29 10:04:00,107.37,107.37,107.33,107.34,5740,0
2026-07-29 10:05:00,107.4,107.4,107.34,107.39,2994,0
2026-07-29 10:06:00,107.39,107.4,107.34,107.38,6286,0
2026-07-29 10:07:00,107.38,107.4,107.3,107.3,26945,0
2026-07-29 10:08:00,107.34,107.34,107.2,107.22,6523,0
2026-07-29 10:09:00,107.22,107.23,107.09,107.1,21911,0
2026-07-29 10:10:00,107.1,107.13,107.01,107.08,23581,0
