Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-03 09:15:00,602.15,604.5,598.45,604.5,143453,0
2026-08-03 09:16:00,604.4,610.0,602.6,604.9,138909,0
2026-08-03 09:17:00,604.9,608.1,603.95,606.29,83782,0
2026-08-03 09:18:00,606.29,606.29,603.25,604.65,73492,0
2026-08-03 09:19:00,604.7,605.5,602.1,602.1,32752,0
2026-08-03 09:20:00,602.1,604.65,601.1,604.29,45428,0
2026-08-03 09:21:00,604.0,605.7,602.2,605.35,26883,0
2026-08-03 09:22:00,605.45,607.7,605.04,606.79,27674,0
2026-08-03 09:23:00,606.5,606.79,605.29,606.79,20177,0
2026-08-03 09:24:00,606.65,607.0,605.0,605.7,19811,0
2026-08-03 09:25:00,606.0,606.0,605.0,605.35,7875,0
2026-08-03 09:26:00,605.5,606.6,605.5,606.0,10554,0
2026-08-03 09:27:00,605.9,605.9,603.1,603.5,23103,0
2026-08-03 09:28:00,603.5,604.0,603.2,603.9,9518,0
2026-08-03 09:29:00,604.29,604.79,603.6,604.15,10481,0
2026-08-03 09:30:00,604.35,604.79,604.0,604.35,10168,0
2026-08-03 09:31:00,604.6,604.79,603.45,604.4,11554,0
2026-08-03 09:32:00,604.0,604.65,603.6,604.65,7844,0
2026-08-03 09:33:00,604.65,604.75,603.0,604.29,4297,0
2026-08-03 09:34:00,604.0,605.4,603.79,604.95,5628,0
2026-08-03 09:35:00,604.4,605.0,603.75,604.04,7357,0
2026-08-03 09:36:00,604.04,604.35,603.6,604.04,3928,0
2026-08-03 09:37:00,603.75,605.7,603.65,605.25,8365,0
2026-08-03 09:38:00,605.54,605.65,604.25,604.54,5457,0
2026-08-03 09:39:00,604.65,604.79,603.7,604.0,5523,0
2026-08-03 09:40:00,604.2,606.0,603.75,606.0,12318,0
2026-08-03 09:41:00,605.75,608.35,605.29,608.0,43935,0
2026-08-03 09:42:00,607.85,608.5,607.25,608.04,23405,0
2026-08-03 09:43:00,608.04,608.04,606.25,606.4,12794,0
2026-08-03 09:44:00,606.4,606.85,605.95,606.5,6393,0
2026-08-03 09:45:00,606.4,607.25,606.2,606.5,17046,0
2026-08-03 09:46:00,606.5,608.5,606.25,607.85,24078,0
2026-08-03 09:47:00,607.85,609.75,607.79,609.0,20809,0
2026-08-03 09:48:00,608.95,610.35,608.54,609.6,86981,0
2026-08-03 09:49:00,609.9,610.0,608.2,608.7,24134,0
2026-08-03 09:50:00,608.7,608.85,607.75,607.95,10182,0
2026-08-03 09:51:00,607.9,609.5,607.9,609.25,18046,0
2026-08-03 09:52:00,609.5,611.75,609.45,611.15,62506,0
2026-08-03 09:53:00,611.15,612.25,610.04,610.04,44565,0
2026-08-03 09:54:00,610.35,610.54,609.5,610.1,22104,0
2026-08-03 09:55:00,610.1,610.4,609.04,609.79,16753,0
2026-08-03 09:56:00,609.9,612.0,609.6,610.54,52637,0
2026-08-03 09:57:00,610.7,610.85,609.9,610.2,11235,0
2026-08-03 09:58:00,610.0,610.9,608.9,609.35,26189,0
2026-08-03 09:59:00,609.7,610.85,609.25,610.54,9466,0
2026-08-03 10:00:00,610.79,611.0,610.0,610.5,7736,0
2026-08-03 10:01:00,611.0,612.4,610.45,612.25,24691,0
2026-08-03 10:02:00,612.25,612.65,611.5,611.5,25239,0
2026-08-03 10:03:00,611.5,611.85,610.0,610.95,10461,0
2026-08-03 10:04:00,610.65,611.5,610.4,611.29,11073,0
2026-08-03 10:05:00,611.45,612.5,611.0,611.45,31350,0
2026-08-03 10:06:00,611.45,612.0,611.1,611.65,6157,0
2026-08-03 10:07:00,611.6,614.2,611.25,613.65,28744,0
2026-08-03 10:08:00,613.35,613.79,611.2,611.9,14788,0
2026-08-03 10:09:00,611.95,613.5,611.54,612.95,9974,0
2026-08-03 10:10:00,613.04,613.5,612.5,612.75,10282,0
2026-08-03 10:11:00,612.5,612.85,612.29,612.79,6746,0
2026-08-03 10:12:00,612.7,612.95,612.2,612.79,4209,0
2026-08-03 10:13:00,612.65,614.6,612.65,613.4,26068,0
2026-08-03 10:14:00,613.15,615.6,613.0,615.25,37887,0
2026-08-03 10:15:00,615.29,617.4,615.29,617.15,59986,0
2026-08-03 10:16:00,617.4,617.5,615.15,616.04,35861,0
2026-08-03 10:17:00,615.65,616.2,615.1,615.54,11386,0
2026-08-03 10:18:00,615.75,616.29,615.04,616.0,13023,0
2026-08-03 10:19:00,616.15,616.6,615.5,615.95,23294,0
2026-08-03 10:20:00,615.95,616.4,615.29,616.1,19029,0
2026-08-03 10:21:00,615.9,616.4,615.75,616.2,6511,0
2026-08-03 10:22:00,616.2,617.1,616.04,616.35,29650,0
2026-08-03 10:23:00,616.6,617.79,616.15,616.45,38850,0
2026-08-03 10:24:00,616.6,618.25,616.54,617.79,54623,0
2026-08-03 10:25:00,618.0,618.45,617.0,617.2,60539,0
2026-08-03 10:26:00,617.6,618.7,617.5,618.0,51401,0
2026-08-03 10:27:00,617.95,618.0,617.5,617.9,8767,0
2026-08-03 10:28:00,617.6,617.9,616.2,616.2,21319,0
2026-08-03 10:29:00,616.35,617.79,616.04,616.79,28797,0
2026-08-03 10:30:00,617.0,618.0,616.7,617.45,12611,0
2026-08-03 10:31:00,617.45,617.5,616.35,616.5,6913,0
2026-08-03 10:32:00,616.4,616.9,616.15,616.2,4514,0
2026-08-03 10:33:00,616.29,616.7,615.15,616.35,31536,0
2026-08-03 10:34:00,616.1,616.5,615.25,615.45,30707,0
2026-08-03 10:35:00,615.45,615.79,615.4,615.6,16296,0
2026-08-03 10:36:00,615.79,616.15,615.5,615.5,6465,0
2026-08-03 10:37:00,615.7,615.75,615.1,615.2,6948,0
2026-08-03 10:38:00,615.45,616.1,615.1,615.75,10161,0
2026-08-03 10:39:00,615.75,619.2,615.75,616.85,90065,0
2026-08-03 10:40:00,616.95,617.7,616.7,617.04,10904,0
2026-08-03 10:41:00,617.25,618.75,617.0,618.2,35375,0
2026-08-03 10:42:00,618.15,620.9,618.1,620.54,64498,0
2026-08-03 10:43:00,620.6,621.85,618.4,618.79,52749,0
2026-08-03 10:44:00,618.79,619.4,618.2,618.95,21897,0
2026-08-03 10:45:00,618.75,618.9,617.0,617.0,30069,0
2026-08-03 10:46:00,617.0,618.25,616.95,617.5,8646,0
2026-08-03 10:47:00,617.29,618.15,617.2,617.75,9081,0
2026-08-03 10:48:00,617.5,617.9,616.5,616.75,11811,0
2026-08-03 10:49:00,616.75,617.5,616.7,617.4,2970,0
2026-08-03 10:50:00,617.4,617.7,616.85,617.1,6228,0
2026-08-03 10:51:00,617.25,618.79,616.65,618.25,16151,0
2026-08-03 10:52:00,618.25,618.25,617.29,617.5,6848,0
2026-08-03 10:53:00,617.5,617.5,616.25,616.6,14687,0
2026-08-03 10:54:00,616.6,617.35,616.2,616.5,6443,0
2026-08-03 10:55:00,616.54,617.0,616.45,616.6,7780,0
2026-08-03 10:56:00,616.79,616.95,616.5,616.5,2854,0
2026-08-03 10:57:00,616.54,616.7,615.25,615.75,10529,0
2026-08-03 10:58:00,615.75,616.95,615.25,616.0,10718,0
2026-08-03 10:59:00,615.9,616.29,615.4,616.1,5344,0
2026-08-03 11:00:00,616.0,616.79,615.75,616.1,12205,0
2026-08-03 11:01:00,616.45,616.6,615.75,615.79,3531,0
2026-08-03 11:02:00,615.95,616.0,615.4,615.85,4833,0
2026-08-03 11:03:00,615.65,616.2,615.6,616.2,2467,0
2026-08-03 11:04:00,616.2,616.2,615.6,616.0,1610,0
2026-08-03 11:05:00,616.2,616.2,615.54,615.95,5342,0
2026-08-03 11:06:00,615.95,616.2,615.85,616.04,4696,0
2026-08-03 11:07:00,616.2,616.2,615.7,615.9,6667,0
2026-08-03 11:08:00,615.79,616.0,615.6,615.9,3069,0
2026-08-03 11:09:00,615.9,615.9,615.6,615.9,1508,0
2026-08-03 11:10:00,615.79,615.79,615.15,615.54,6071,0
2026-08-03 11:11:00,615.25,615.7,615.25,615.7,1611,0
2026-08-03 11:12:00,615.7,615.79,615.25,615.5,1431,0
2026-08-03 11:13:00,615.5,615.85,615.25,615.6,6604,0
2026-08-03 11:14:00,615.6,615.9,615.15,615.29,1876,0
2026-08-03 11:15:00,615.5,615.85,615.25,615.5,1483,0
2026-08-03 11:16:00,615.7,615.7,615.29,615.5,1398,0
2026-08-03 11:17:00,615.6,615.79,615.35,615.79,1055,0
2026-08-03 11:18:00,615.4,616.2,615.4,615.79,8616,0
2026-08-03 11:19:00,615.79,616.04,615.6,615.95,1460,0
2026-08-03 11:20:00,615.95,616.0,615.25,615.6,6462,0
2026-08-03 11:21:00,615.6,615.65,615.04,615.04,3885,0
2026-08-03 11:22:00,615.35,615.35,613.1,614.35,31481,0
2026-08-03 11:23:00,614.15,614.45,613.35,614.04,6829,0
2026-08-03 11:24:00,614.0,614.15,613.29,613.79,5054,0
2026-08-03 11:25:00,613.79,614.0,613.7,614.0,7557,0
2026-08-03 11:26:00,613.95,614.29,613.7,613.9,4629,0
2026-08-03 11:27:00,613.9,613.95,613.29,613.29,2883,0
2026-08-03 11:28:00,613.54,613.95,613.25,613.95,8439,0
2026-08-03 11:29:00,613.95,614.6,613.6,613.9,5457,0
2026-08-03 11:30:00,613.85,614.0,613.15,613.35,7599,0
2026-08-03 11:31:00,613.25,613.4,612.2,612.35,11969,0
2026-08-03 11:32:00,612.35,613.45,612.35,613.0,5842,0
2026-08-03 11:33:00,613.25,614.0,613.0,614.0,4504,0
2026-08-03 11:34:00,614.0,614.25,613.5,613.9,11457,0
2026-08-03 11:35:00,613.9,614.0,613.75,613.85,868,0
2026-08-03 11:36:00,613.75,613.95,613.5,613.75,851,0
2026-08-03 11:37:00,613.85,613.85,613.25,613.5,943,0
2026-08-03 11:38:00,613.5,613.5,613.1,613.25,4675,0
2026-08-03 11:39:00,613.15,613.45,613.0,613.45,3353,0
2026-08-03 11:40:00,613.45,613.79,613.15,613.7,2356,0
2026-08-03 11:41:00,613.7,614.0,613.29,613.95,2102,0
2026-08-03 11:42:00,614.0,614.25,613.75,613.9,3150,0
2026-08-03 11:43:00,613.9,614.35,613.75,614.1,2194,0
2026-08-03 11:44:00,614.29,614.75,614.04,614.75,1965,0
2026-08-03 11:45:00,614.7,614.75,614.35,614.5,2673,0
2026-08-03 11:46:00,614.5,614.5,614.2,614.2,2211,0
2026-08-03 11:47:00,614.2,614.2,613.5,613.5,2038,0
2026-08-03 11:48:00,613.54,613.54,613.04,613.04,732,0
2026-08-03 11:49:00,613.04,613.85,613.0,613.79,2961,0
2026-08-03 11:50:00,613.79,614.0,613.6,613.85,2199,0
2026-08-03 11:51:00,613.85,614.0,613.65,613.7,3426,0
2026-08-03 11:52:00,613.7,613.95,613.65,613.65,1178,0
2026-08-03 11:53:00,613.75,614.0,613.75,613.95,1866,0
2026-08-03 11:54:00,613.75,613.95,613.75,613.79,2039,0
2026-08-03 11:55:00,613.9,614.04,613.0,613.0,20021,0
2026-08-03 11:56:00,613.25,613.29,612.7,612.75,5008,0
2026-08-03 11:57:00,613.0,613.4,612.79,613.04,1269,0
2026-08-03 11:58:00,613.29,613.75,613.04,613.45,866,0
2026-08-03 11:59:00,613.4,613.85,613.2,613.85,3458,0
2026-08-03 12:00:00,613.9,613.95,613.45,613.75,2738,0
2026-08-03 12:01:00,613.9,614.5,613.9,614.25,3757,0
2026-08-03 12:02:00,614.15,614.25,613.5,613.95,2724,0
2026-08-03 12:03:00,613.79,614.5,613.79,614.35,2261,0
2026-08-03 12:04:00,614.35,615.0,614.35,614.65,6230,0
2026-08-03 12:05:00,614.85,615.0,614.6,614.9,4564,0
