Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-04 09:15:00,264.0,264.0,261.89,262.55,731010,0
2026-08-04 09:16:00,262.55,262.6,262.0,262.3,258479,0
2026-08-04 09:17:00,262.25,263.95,262.2,263.0,241179,0
2026-08-04 09:18:00,263.14,264.45,263.0,263.7,531557,0
2026-08-04 09:19:00,263.7,264.25,263.39,263.7,298566,0
2026-08-04 09:20:00,263.85,264.0,263.45,263.75,206589,0
2026-08-04 09:21:00,263.75,264.2,263.64,264.14,131603,0
2026-08-04 09:22:00,264.14,264.14,263.6,263.6,135176,0
2026-08-04 09:23:00,263.75,263.75,263.39,263.5,98603,0
2026-08-04 09:24:00,263.5,263.75,263.35,263.6,94887,0
2026-08-04 09:25:00,263.7,264.25,263.5,264.0,172540,0
2026-08-04 09:26:00,264.0,265.39,263.95,264.8,394269,0
2026-08-04 09:27:00,264.75,265.39,264.75,265.14,227456,0
2026-08-04 09:28:00,265.1,265.25,264.5,264.7,123165,0
2026-08-04 09:29:00,264.7,264.95,264.1,264.75,117662,0
2026-08-04 09:30:00,264.6,264.89,264.0,264.0,120462,0
2026-08-04 09:31:00,264.14,264.39,264.0,264.2,73398,0
2026-08-04 09:32:00,264.2,264.2,263.85,263.95,99665,0
2026-08-04 09:33:00,264.0,264.0,263.75,263.8,51049,0
2026-08-04 09:34:00,263.89,263.95,263.75,263.95,54889,0
2026-08-04 09:35:00,263.95,264.0,263.7,263.89,49009,0
2026-08-04 09:36:00,263.89,263.89,263.7,263.89,45816,0
2026-08-04 09:37:00,263.85,263.89,263.55,263.64,101118,0
2026-08-04 09:38:00,263.64,263.89,263.5,263.89,81892,0
2026-08-04 09:39:00,263.89,264.0,263.8,263.89,32566,0
2026-08-04 09:40:00,263.89,263.95,263.55,263.8,38304,0
2026-08-04 09:41:00,263.95,264.6,263.5,264.25,142906,0
2026-08-04 09:42:00,264.25,264.39,264.0,264.05,64684,0
2026-08-04 09:43:00,264.05,264.1,263.55,263.85,52562,0
2026-08-04 09:44:00,264.0,264.1,263.8,263.95,35583,0
2026-08-04 09:45:00,263.95,264.6,263.75,264.39,53947,0
2026-08-04 09:46:00,264.45,264.6,264.25,264.39,44214,0
2026-08-04 09:47:00,264.45,265.2,264.39,264.85,172578,0
2026-08-04 09:48:00,264.85,264.89,264.3,264.5,63356,0
2026-08-04 09:49:00,264.5,264.64,264.1,264.39,126196,0
2026-08-04 09:50:00,264.39,264.45,264.25,264.25,30834,0
2026-08-04 09:51:00,264.39,265.0,264.1,264.3,163739,0
2026-08-04 09:52:00,264.3,264.35,263.85,264.05,73164,0
2026-08-04 09:53:00,264.05,264.05,263.8,264.0,43287,0
2026-08-04 09:54:00,264.0,264.2,263.89,264.1,36012,0
2026-08-04 09:55:00,264.2,264.3,264.0,264.1,67738,0
2026-08-04 09:56:00,264.2,264.2,263.85,263.85,57656,0
2026-08-04 09:57:00,263.95,264.0,263.7,263.7,47871,0
2026-08-04 09:58:00,263.8,263.89,263.6,263.7,35469,0
2026-08-04 09:59:00,263.7,264.39,263.6,264.3,106953,0
2026-08-04 10:00:00,264.3,264.3,264.0,264.05,20667,0
2026-08-04 10:01:00,264.1,264.3,264.05,264.05,33219,0
2026-08-04 10:02:00,264.14,264.2,264.0,264.2,37359,0
2026-08-04 10:03:00,264.14,264.2,264.0,264.2,23456,0
2026-08-04 10:04:00,264.14,264.25,263.89,264.1,43320,0
2026-08-04 10:05:00,264.1,264.14,263.89,264.0,23968,0
2026-08-04 10:06:00,264.0,264.14,263.7,263.8,53196,0
2026-08-04 10:07:00,263.8,263.95,263.7,263.75,29678,0
2026-08-04 10:08:00,263.75,263.89,263.64,263.8,25733,0
2026-08-04 10:09:00,263.85,263.95,263.55,263.6,33987,0
2026-08-04 10:10:00,263.6,263.75,263.39,263.6,76652,0
2026-08-04 10:11:00,263.7,263.75,263.55,263.6,14608,0
2026-08-04 10:12:00,263.7,265.35,263.55,265.05,310229,0
2026-08-04 10:13:00,265.1,265.89,264.89,265.6,338462,0
2026-08-04 10:14:00,265.64,266.6,265.5,266.0,315637,0
2026-08-04 10:15:00,266.0,266.0,265.5,265.6,77477,0
2026-08-04 10:16:00,265.7,265.7,265.1,265.14,49098,0
2026-08-04 10:17:00,265.25,265.45,265.1,265.3,45143,0
2026-08-04 10:18:00,265.3,265.75,265.05,265.1,75324,0
2026-08-04 10:19:00,265.25,266.35,265.14,266.1,197599,0
2026-08-04 10:20:00,266.1,266.14,265.8,265.95,92547,0
2026-08-04 10:21:00,265.95,265.95,265.35,265.39,90943,0
2026-08-04 10:22:00,265.39,265.8,265.35,265.45,132800,0
2026-08-04 10:23:00,265.5,265.5,264.5,264.64,156180,0
2026-08-04 10:24:00,264.6,264.6,264.3,264.45,61580,0
2026-08-04 10:25:00,264.45,264.45,264.1,264.25,48369,0
2026-08-04 10:26:00,264.2,264.5,264.0,264.2,79451,0
2026-08-04 10:27:00,264.2,264.25,264.0,264.2,48432,0
2026-08-04 10:28:00,264.2,264.25,264.0,264.2,68726,0
2026-08-04 10:29:00,264.25,264.25,264.1,264.14,19171,0
2026-08-04 10:30:00,264.25,264.39,264.2,264.3,21118,0
2026-08-04 10:31:00,264.3,264.3,264.0,264.2,50594,0
2026-08-04 10:32:00,264.25,264.25,264.0,264.0,28687,0
2026-08-04 10:33:00,264.05,264.14,263.89,263.89,43172,0
2026-08-04 10:34:00,264.0,265.14,263.7,264.7,165949,0
2026-08-04 10:35:00,264.7,264.7,264.3,264.55,26237,0
2026-08-04 10:36:00,264.55,264.6,264.25,264.35,14073,0
2026-08-04 10:37:00,264.35,264.6,264.25,264.45,24412,0
2026-08-04 10:38:00,264.5,264.8,264.25,264.64,89647,0
2026-08-04 10:39:00,264.64,264.64,264.35,264.5,15611,0
2026-08-04 10:40:00,264.5,264.6,264.39,264.39,13470,0
2026-08-04 10:41:00,264.5,264.7,264.35,264.64,27017,0
2026-08-04 10:42:00,264.64,265.05,264.64,264.89,43458,0
2026-08-04 10:43:00,264.89,264.89,264.75,264.8,22177,0
2026-08-04 10:44:00,264.89,265.05,264.5,264.89,94772,0
2026-08-04 10:45:00,265.0,265.05,264.75,265.0,49673,0
2026-08-04 10:46:00,265.0,265.05,264.6,264.64,54092,0
2026-08-04 10:47:00,264.64,264.75,264.5,264.7,16847,0
2026-08-04 10:48:00,264.75,265.5,264.6,265.3,62905,0
2026-08-04 10:49:00,265.25,265.39,264.8,264.95,63631,0
2026-08-04 10:50:00,264.95,265.2,264.75,264.95,52654,0
2026-08-04 10:51:00,264.95,264.95,264.8,264.89,4219,0
2026-08-04 10:52:00,264.89,264.89,264.6,264.64,41700,0
2026-08-04 10:53:00,264.64,264.7,264.5,264.5,44729,0
2026-08-04 10:54:00,264.6,264.64,264.5,264.5,7572,0
2026-08-04 10:55:00,264.55,264.7,264.39,264.6,48192,0
2026-08-04 10:56:00,264.6,264.6,264.35,264.45,11579,0
2026-08-04 10:57:00,264.39,264.45,264.3,264.35,15191,0
2026-08-04 10:58:00,264.35,264.39,264.3,264.35,12269,0
2026-08-04 10:59:00,264.35,264.6,264.35,264.45,42239,0
2026-08-04 11:00:00,264.6,264.6,264.3,264.6,41014,0
2026-08-04 11:01:00,264.6,264.75,264.55,264.7,15024,0
2026-08-04 11:02:00,264.7,264.75,264.55,264.64,14254,0
2026-08-04 11:03:00,264.7,264.7,264.5,264.6,17189,0
2026-08-04 11:04:00,264.6,264.64,264.5,264.55,16936,0
2026-08-04 11:05:00,264.64,264.64,264.39,264.5,7313,0
2026-08-04 11:06:00,264.5,264.5,264.35,264.45,14917,0
2026-08-04 11:07:00,264.45,264.5,264.3,264.35,13903,0
2026-08-04 11:08:00,264.45,264.7,264.3,264.6,43154,0
2026-08-04 11:09:00,264.7,264.75,264.39,264.55,14486,0
2026-08-04 11:10:00,264.55,264.7,264.39,264.7,17464,0
2026-08-04 11:11:00,264.75,264.75,264.6,264.64,8488,0
2026-08-04 11:12:00,264.64,264.64,264.39,264.6,13821,0
2026-08-04 11:13:00,264.6,265.39,264.5,265.05,246962,0
2026-08-04 11:14:00,265.05,265.1,264.89,265.0,38167,0
2026-08-04 11:15:00,265.0,265.0,264.5,264.6,31887,0
2026-08-04 11:16:00,264.55,264.7,264.45,264.6,38499,0
2026-08-04 11:17:00,264.6,264.64,264.39,264.6,38779,0
2026-08-04 11:18:00,264.6,264.6,264.39,264.45,19967,0
2026-08-04 11:19:00,264.45,264.45,264.3,264.3,28388,0
2026-08-04 11:20:00,264.35,264.35,264.0,264.0,55140,0
2026-08-04 11:21:00,264.05,264.05,263.8,263.89,102903,0
2026-08-04 11:22:00,263.89,264.1,263.85,264.1,27325,0
2026-08-04 11:23:00,264.1,264.14,264.0,264.1,12518,0
2026-08-04 11:24:00,264.1,264.1,263.95,264.0,27696,0
2026-08-04 11:25:00,264.05,264.05,263.89,264.0,21639,0
2026-08-04 11:26:00,264.05,264.05,263.95,264.0,6688,0
2026-08-04 11:27:00,264.0,264.0,263.89,263.89,14191,0
2026-08-04 11:28:00,264.0,264.0,263.75,263.85,59420,0
2026-08-04 11:29:00,263.85,263.85,263.7,263.75,31328,0
2026-08-04 11:30:00,263.75,263.75,263.5,263.64,42464,0
2026-08-04 11:31:00,263.64,263.64,263.25,263.25,65902,0
2026-08-04 11:32:00,263.35,263.39,263.1,263.25,123687,0
2026-08-04 11:33:00,263.25,263.39,263.1,263.25,53779,0
2026-08-04 11:34:00,263.25,263.3,263.0,263.25,88970,0
2026-08-04 11:35:00,263.25,263.25,263.1,263.14,25614,0
2026-08-04 11:36:00,263.2,263.25,263.14,263.2,17131,0
2026-08-04 11:37:00,263.2,263.25,263.0,263.1,56124,0
2026-08-04 11:38:00,263.1,263.2,263.0,263.0,22993,0
2026-08-04 11:39:00,263.05,263.25,263.0,263.1,29609,0
2026-08-04 11:40:00,263.2,263.25,263.05,263.14,20184,0
2026-08-04 11:41:00,263.14,263.14,263.05,263.05,7480,0
2026-08-04 11:42:00,263.1,263.1,262.8,262.95,74761,0
2026-08-04 11:43:00,262.95,263.0,262.8,262.89,25196,0
2026-08-04 11:44:00,262.95,263.0,262.85,262.89,47083,0
2026-08-04 11:45:00,262.89,263.55,262.85,263.35,91500,0
2026-08-04 11:46:00,263.35,263.7,263.14,263.6,49798,0
2026-08-04 11:47:00,263.64,263.8,263.35,263.39,44194,0
2026-08-04 11:48:00,263.55,263.6,263.35,263.35,29121,0
2026-08-04 11:49:00,263.45,263.5,263.25,263.3,16634,0
2026-08-04 11:50:00,263.35,263.5,263.25,263.3,29417,0
2026-08-04 11:51:00,263.35,263.64,263.3,263.5,37818,0
2026-08-04 11:52:00,263.5,263.6,263.39,263.5,16522,0
2026-08-04 11:53:00,263.5,263.7,263.35,263.64,46201,0
2026-08-04 11:54:00,263.7,263.89,263.5,263.8,50842,0
2026-08-04 11:55:00,263.8,263.8,263.5,263.64,24275,0
2026-08-04 11:56:00,263.64,263.64,263.5,263.55,10059,0
2026-08-04 11:57:00,263.55,263.55,263.25,263.25,30096,0
2026-08-04 11:58:00,263.35,263.45,263.1,263.25,30910,0
2026-08-04 11:59:00,263.25,263.3,263.1,263.3,10157,0
2026-08-04 12:00:00,263.3,263.3,262.8,262.85,36840,0
2026-08-04 12:01:00,262.95,263.2,262.8,263.0,56146,0
2026-08-04 12:02:00,263.2,263.5,263.1,263.39,44439,0
2026-08-04 12:03:00,263.5,263.6,263.35,263.6,69346,0
2026-08-04 12:04:00,263.6,263.64,263.5,263.5,16311,0
2026-08-04 12:05:00,263.6,263.64,263.45,263.55,16156,0
2026-08-04 12:06:00,263.64,263.64,263.5,263.55,21565,0
2026-08-04 12:07:00,263.6,263.6,263.05,263.25,13493,0
2026-08-04 12:08:00,263.25,263.3,262.89,263.0,56757,0
2026-08-04 12:09:00,263.1,263.2,263.0,263.14,25393,0
2026-08-04 12:10:00,263.14,263.14,263.0,263.0,16662,0
2026-08-04 12:11:00,263.1,263.1,262.85,262.89,18503,0
2026-08-04 12:12:00,263.0,263.1,262.89,263.05,23231,0
2026-08-04 12:13:00,263.14,263.2,263.0,263.2,24504,0
2026-08-04 12:14:00,263.2,263.25,263.1,263.2,18551,0
2026-08-04 12:15:00,263.2,263.5,263.14,263.25,51280,0
2026-08-04 12:16:00,263.25,263.3,263.14,263.3,11485,0
2026-08-04 12:17:00,263.3,263.39,263.25,263.35,21471,0
2026-08-04 12:18:00,263.35,263.35,263.2,263.2,11254,0
2026-08-04 12:19:00,263.35,263.39,263.2,263.3,12772,0
2026-08-04 12:20:00,263.3,263.35,263.2,263.25,10327,0
2026-08-04 12:21:00,263.3,263.3,262.8,262.95,97532,0
2026-08-04 12:22:00,263.0,263.05,262.8,262.89,22040,0
2026-08-04 12:23:00,262.89,262.95,262.8,262.85,16066,0
2026-08-04 12:24:00,262.89,263.1,262.8,263.0,26946,0
2026-08-04 12:25:00,263.05,263.89,263.0,263.64,290084,0
2026-08-04 12:26:00,263.6,263.7,263.39,263.5,58186,0
2026-08-04 12:27:00,263.5,263.5,263.1,263.25,10299,0
2026-08-04 12:28:00,263.25,263.25,263.0,263.05,12582,0
2026-08-04 12:29:00,263.1,263.45,263.05,263.14,35850,0
2026-08-04 12:30:00,263.25,263.3,263.05,263.2,10334,0
2026-08-04 12:31:00,263.2,263.45,263.1,263.35,16975,0
2026-08-04 12:32:00,263.35,263.35,263.14,263.25,7359,0
2026-08-04 12:33:00,263.25,263.3,263.0,263.0,15266,0
2026-08-04 12:34:00,263.1,263.1,262.85,262.95,65932,0
2026-08-04 12:35:00,262.95,262.95,262.39,262.5,112591,0
2026-08-04 12:36:00,262.6,262.6,262.35,262.5,33292,0
2026-08-04 12:37:00,262.5,262.5,262.3,262.45,24440,0
2026-08-04 12:38:00,262.39,262.5,262.2,262.45,79694,0
2026-08-04 12:39:00,262.45,262.95,262.14,262.55,228813,0
2026-08-04 12:40:00,262.8,262.8,262.3,262.5,115471,0
2026-08-04 12:41:00,262.55,262.55,262.05,262.1,37879,0
2026-08-04 12:42:00,262.14,262.2,262.0,262.0,79755,0
2026-08-04 12:43:00,262.1,262.14,262.0,262.0,30383,0
2026-08-04 12:44:00,262.1,262.2,262.0,262.1,59812,0
2026-08-04 12:45:00,262.2,262.6,262.05,262.5,24110,0
2026-08-04 12:46:00,262.6,262.6,262.5,262.5,13757,0
2026-08-04 12:47:00,262.55,262.8,262.5,262.7,41224,0
2026-08-04 12:48:00,262.75,262.95,262.6,262.8,33683,0
2026-08-04 12:49:00,262.8,263.45,262.6,263.2,193403,0
2026-08-04 12:50:00,263.3,263.35,263.05,263.14,9492,0
2026-08-04 12:51:00,263.25,263.7,263.1,263.39,82290,0
2026-08-04 12:52:00,263.39,263.5,263.14,263.14,22477,0
2026-08-04 12:53:00,263.25,263.3,263.0,263.0,14977,0
2026-08-04 12:54:00,263.05,263.39,263.0,263.25,27807,0
2026-08-04 12:55:00,263.25,263.3,262.8,262.8,35492,0
2026-08-04 12:56:00,263.0,263.0,262.75,262.8,15330,0
2026-08-04 12:57:00,262.85,262.95,262.7,262.8,15834,0
2026-08-04 12:58:00,262.8,262.8,262.6,262.6,22408,0
2026-08-04 12:59:00,262.6,262.8,262.5,262.5,22781,0
2026-08-04 13:00:00,262.6,262.64,262.45,262.45,37138,0
2026-08-04 13:01:00,262.5,262.95,262.45,262.8,59250,0
2026-08-04 13:02:00,262.95,263.0,262.6,262.6,39959,0
2026-08-04 13:03:00,262.75,262.75,262.55,262.6,8337,0
2026-08-04 13:04:00,262.7,263.0,262.5,262.64,31347,0
2026-08-04 13:05:00,262.8,262.85,262.64,262.64,11569,0
2026-08-04 13:06:00,262.7,262.89,262.6,262.8,21805,0
2026-08-04 13:07:00,262.89,262.95,262.7,262.7,11404,0
2026-08-04 13:08:00,262.8,262.89,262.7,262.8,10992,0
2026-08-04 13:09:00,262.8,262.85,262.7,262.7,17258,0
2026-08-04 13:10:00,262.7,263.1,262.7,263.1,36501,0
2026-08-04 13:11:00,263.1,263.2,263.0,263.05,21268,0
2026-08-04 13:12:00,263.05,263.14,262.8,263.14,26499,0
2026-08-04 13:13:00,263.2,263.2,262.89,263.0,79501,0
2026-08-04 13:14:00,263.05,263.1,262.89,263.05,37779,0
2026-08-04 13:15:00,263.05,263.1,262.89,263.0,32415,0
2026-08-04 13:16:00,263.05,263.14,262.89,263.1,24710,0
2026-08-04 13:17:00,263.1,263.5,263.05,263.25,62165,0
2026-08-04 13:18:00,263.39,263.39,263.25,263.39,12065,0
2026-08-04 13:19:00,263.39,263.7,263.3,263.7,53517,0
2026-08-04 13:20:00,263.75,264.64,263.6,264.45,195135,0
2026-08-04 13:21:00,264.45,264.6,264.14,264.45,54330,0
2026-08-04 13:22:00,264.5,264.64,264.3,264.5,51616,0
2026-08-04 13:23:00,264.55,264.85,264.5,264.75,134274,0
2026-08-04 13:24:00,264.75,264.75,264.55,264.7,40691,0
2026-08-04 13:25:00,264.7,265.0,264.6,264.75,158155,0
2026-08-04 13:26:00,264.75,264.75,264.39,264.6,85699,0
2026-08-04 13:27:00,264.64,264.85,264.5,264.75,74607,0
2026-08-04 13:28:00,264.8,264.85,264.55,264.64,66610,0
2026-08-04 13:29:00,264.64,264.75,264.3,264.39,39182,0
2026-08-04 13:30:00,264.39,264.5,264.3,264.45,16822,0
2026-08-04 13:31:00,264.45,264.5,264.25,264.25,45685,0
2026-08-04 13:32:00,264.35,264.35,263.89,264.1,90160,0
2026-08-04 13:33:00,264.14,264.45,264.14,264.35,48252,0
2026-08-04 13:34:00,264.39,264.64,264.35,264.5,153199,0
2026-08-04 13:35:00,264.5,264.75,264.39,264.5,61312,0
2026-08-04 13:36:00,264.6,264.75,264.5,264.7,20901,0
2026-08-04 13:37:00,264.7,264.7,264.5,264.5,12120,0
2026-08-04 13:38:00,264.6,264.6,264.5,264.6,45037,0
2026-08-04 13:39:00,264.64,264.85,264.55,264.64,48880,0
2026-08-04 13:40:00,264.75,265.3,264.6,265.25,176810,0
2026-08-04 13:41:00,265.25,265.39,265.1,265.39,80282,0
2026-08-04 13:42:00,265.45,265.5,265.05,265.14,119692,0
2026-08-04 13:43:00,265.2,265.2,264.89,264.89,81451,0
2026-08-04 13:44:00,264.95,265.14,264.89,265.0,59919,0
2026-08-04 13:45:00,265.05,265.5,265.0,265.45,152193,0
2026-08-04 13:46:00,265.45,265.5,265.25,265.3,52033,0
2026-08-04 13:47:00,265.3,265.35,265.1,265.2,77846,0
2026-08-04 13:48:00,265.25,265.39,265.14,265.35,52677,0
2026-08-04 13:49:00,265.39,265.6,265.25,265.45,385875,0
2026-08-04 13:50:00,265.45,265.55,265.39,265.39,42419,0
2026-08-04 13:51:00,265.5,265.5,265.14,265.3,108355,0
2026-08-04 13:52:00,265.3,265.5,265.3,265.39,24484,0
2026-08-04 13:53:00,265.39,265.39,264.95,265.0,62090,0
2026-08-04 13:54:00,265.05,265.25,264.95,265.0,87962,0
2026-08-04 13:55:00,265.05,265.14,264.95,265.0,57903,0
2026-08-04 13:56:00,265.05,265.1,265.0,265.0,36951,0
2026-08-04 13:57:00,265.05,265.05,264.39,264.39,210619,0
2026-08-04 13:58:00,264.45,264.95,264.35,264.75,59106,0
2026-08-04 13:59:00,264.85,264.85,264.7,264.8,11364,0
2026-08-04 14:00:00,264.85,264.89,264.64,264.75,31334,0
2026-08-04 14:01:00,264.8,264.8,264.55,264.6,7555,0
2026-08-04 14:02:00,264.7,264.7,264.5,264.55,19204,0
2026-08-04 14:03:00,264.55,264.6,264.5,264.6,18089,0
2026-08-04 14:04:00,264.6,264.85,264.55,264.85,32808,0
2026-08-04 14:05:00,264.85,264.95,264.8,264.8,12619,0
2026-08-04 14:06:00,264.89,264.89,264.64,264.85,20737,0
2026-08-04 14:07:00,264.8,264.95,264.7,264.85,41693,0
2026-08-04 14:08:00,264.85,264.85,264.6,264.64,21806,0
2026-08-04 14:09:00,264.7,264.75,264.64,264.7,13358,0
2026-08-04 14:10:00,264.75,264.89,264.7,264.7,16059,0
2026-08-04 14:11:00,264.75,265.14,264.7,265.05,58346,0
2026-08-04 14:12:00,265.14,265.2,265.0,265.05,33486,0
2026-08-04 14:13:00,265.1,265.14,265.0,265.0,44070,0
2026-08-04 14:14:00,265.05,265.1,264.85,264.89,47083,0
2026-08-04 14:15:00,264.95,264.95,264.8,264.8,6950,0
2026-08-04 14:16:00,264.89,264.89,264.7,264.8,20225,0
2026-08-04 14:17:00,264.75,265.0,264.75,264.89,30283,0
2026-08-04 14:18:00,264.89,265.6,264.75,265.55,373924,0
2026-08-04 14:19:00,265.55,265.7,265.25,265.7,70184,0
2026-08-04 14:20:00,265.7,265.75,265.5,265.6,46216,0
2026-08-04 14:21:00,265.64,266.3,265.5,265.75,413099,0
2026-08-04 14:22:00,265.8,265.89,265.6,265.89,51101,0
2026-08-04 14:23:00,265.85,266.3,265.7,265.7,197226,0
2026-08-04 14:24:00,265.8,266.25,265.7,265.8,90255,0
2026-08-04 14:25:00,265.8,266.3,265.7,266.0,142685,0
2026-08-04 14:26:00,266.05,266.39,266.0,266.2,90563,0
2026-08-04 14:27:00,266.2,266.2,266.0,266.14,47516,0
2026-08-04 14:28:00,266.2,266.2,266.0,266.0,96754,0
2026-08-04 14:29:00,266.05,266.05,265.7,265.75,136059,0
2026-08-04 14:30:00,265.8,266.0,265.75,265.85,26463,0
2026-08-04 14:31:00,265.89,265.89,264.6,265.2,224185,0
2026-08-04 14:32:00,265.35,265.64,265.2,265.35,38588,0
2026-08-04 14:33:00,265.35,266.0,265.3,265.39,191106,0
2026-08-04 14:34:00,265.5,265.6,265.3,265.3,28836,0
2026-08-04 14:35:00,265.39,265.5,265.2,265.35,31268,0
2026-08-04 14:36:00,265.35,265.5,265.2,265.35,25933,0
2026-08-04 14:37:00,265.45,265.45,265.35,265.39,13367,0
2026-08-04 14:38:00,265.39,265.8,265.35,265.6,32852,0
2026-08-04 14:39:00,265.75,265.85,265.6,265.6,65752,0
2026-08-04 14:40:00,265.7,265.7,265.3,265.3,44779,0
2026-08-04 14:41:00,265.39,265.39,265.25,265.3,23738,0
2026-08-04 14:42:00,265.35,265.39,265.25,265.25,26465,0
2026-08-04 14:43:00,265.3,265.6,265.14,265.6,47364,0
2026-08-04 14:44:00,265.6,265.64,265.5,265.5,10502,0
