Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-04 09:15:00,610.0,610.7,598.54,599.15,544815,0
2026-08-04 09:16:00,599.1,602.65,597.6,602.54,235651,0
2026-08-04 09:17:00,602.2,602.5,598.2,598.75,230380,0
2026-08-04 09:18:00,598.7,598.85,595.25,596.5,230702,0
2026-08-04 09:19:00,596.25,597.0,594.0,596.75,218004,0
2026-08-04 09:20:00,596.95,597.0,593.25,593.65,221503,0
2026-08-04 09:21:00,593.65,594.75,592.29,593.4,190991,0
2026-08-04 09:22:00,593.5,594.79,593.15,593.79,96808,0
2026-08-04 09:23:00,593.79,594.25,593.4,594.0,135565,0
2026-08-04 09:24:00,593.75,594.5,592.5,592.54,159893,0
2026-08-04 09:25:00,592.9,593.0,590.0,591.0,476761,0
2026-08-04 09:26:00,590.95,591.6,589.54,589.7,190483,0
2026-08-04 09:27:00,590.0,591.0,589.54,590.0,180292,0
2026-08-04 09:28:00,590.0,590.0,586.54,589.65,320867,0
2026-08-04 09:29:00,589.65,591.0,588.85,589.85,269865,0
2026-08-04 09:30:00,589.85,590.2,587.15,587.9,349585,0
2026-08-04 09:31:00,587.95,588.6,587.54,587.6,106045,0
2026-08-04 09:32:00,587.85,588.0,587.0,587.2,95972,0
2026-08-04 09:33:00,587.4,590.25,587.04,589.75,199683,0
2026-08-04 09:34:00,589.75,591.85,589.35,590.54,218911,0
2026-08-04 09:35:00,590.54,592.85,590.5,591.0,219297,0
2026-08-04 09:36:00,591.15,592.1,589.85,590.0,271687,0
2026-08-04 09:37:00,590.04,591.15,589.4,590.0,186573,0
2026-08-04 09:38:00,590.0,590.29,589.6,590.29,37841,0
2026-08-04 09:39:00,590.29,592.45,590.0,591.9,85113,0
2026-08-04 09:40:00,591.9,592.5,591.5,592.15,222638,0
2026-08-04 09:41:00,592.15,595.25,592.0,594.95,439444,0
2026-08-04 09:42:00,594.7,599.5,594.15,598.5,784371,0
2026-08-04 09:43:00,598.29,604.0,598.0,603.65,720609,0
2026-08-04 09:44:00,603.29,603.79,600.5,600.65,312616,0
2026-08-04 09:45:00,600.65,603.0,600.15,600.4,483860,0
2026-08-04 09:46:00,600.4,601.45,598.5,599.54,406881,0
2026-08-04 09:47:00,599.54,600.9,598.65,600.5,90297,0
2026-08-04 09:48:00,600.54,602.0,600.29,600.54,121107,0
2026-08-04 09:49:00,600.5,601.4,600.0,600.75,96017,0
2026-08-04 09:50:00,600.75,601.6,600.45,601.04,90911,0
