Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-05 09:15:00,421.0,423.3,419.5,423.0,144150,0
2026-08-05 09:16:00,423.0,424.5,422.7,423.9,42660,0
2026-08-05 09:17:00,423.9,425.9,423.8,424.8,74627,0
2026-08-05 09:18:00,424.7,424.75,423.6,424.55,33669,0
2026-08-05 09:19:00,424.55,425.0,423.6,423.9,17862,0
2026-08-05 09:20:00,423.75,425.75,423.5,425.35,45516,0
2026-08-05 09:21:00,425.55,426.35,425.0,426.15,59128,0
2026-08-05 09:22:00,426.2,426.3,424.75,424.95,13252,0
2026-08-05 09:23:00,424.95,425.5,424.25,424.6,30755,0
2026-08-05 09:24:00,424.55,425.15,424.2,425.15,18978,0
2026-08-05 09:25:00,425.3,425.4,423.75,424.0,21981,0
2026-08-05 09:26:00,424.0,424.4,423.65,424.05,10015,0
2026-08-05 09:27:00,424.05,424.65,423.75,424.5,13779,0
2026-08-05 09:28:00,424.65,425.0,424.5,424.55,14531,0
2026-08-05 09:29:00,424.75,424.8,424.5,424.6,3387,0
2026-08-05 09:30:00,424.8,424.8,424.2,424.55,20830,0
2026-08-05 09:31:00,424.6,424.65,424.25,424.55,4098,0
2026-08-05 09:32:00,424.55,425.0,424.5,424.55,7006,0
2026-08-05 09:33:00,424.75,424.85,424.0,424.15,11637,0
2026-08-05 09:34:00,424.0,424.15,423.65,423.85,9125,0
2026-08-05 09:35:00,423.9,423.95,423.3,423.65,15094,0
2026-08-05 09:36:00,423.6,423.8,423.4,423.5,3230,0
2026-08-05 09:37:00,423.65,423.75,423.4,423.55,3194,0
2026-08-05 09:38:00,423.55,423.85,423.55,423.65,4351,0
2026-08-05 09:39:00,423.7,424.4,423.6,424.35,6846,0
2026-08-05 09:40:00,424.2,424.9,423.9,424.9,7993,0
2026-08-05 09:41:00,424.9,425.0,424.55,424.85,5315,0
2026-08-05 09:42:00,424.7,424.85,424.3,424.45,4393,0
2026-08-05 09:43:00,424.3,424.65,424.25,424.4,4844,0
2026-08-05 09:44:00,424.6,424.9,424.35,424.8,9620,0
2026-08-05 09:45:00,424.8,424.8,424.35,424.5,4054,0
2026-08-05 09:46:00,424.5,424.7,424.3,424.3,4641,0
2026-08-05 09:47:00,424.6,424.7,424.35,424.55,5911,0
2026-08-05 09:48:00,424.55,424.55,424.25,424.5,3058,0
2026-08-05 09:49:00,424.55,425.2,424.45,425.2,20121,0
2026-08-05 09:50:00,425.2,425.2,424.85,424.85,3944,0
2026-08-05 09:51:00,425.1,425.1,424.25,424.25,4934,0
2026-08-05 09:52:00,424.4,424.4,424.0,424.05,2940,0
2026-08-05 09:53:00,424.25,424.3,423.9,424.05,5698,0
2026-08-05 09:54:00,424.15,424.3,424.0,424.0,6181,0
2026-08-05 09:55:00,424.05,424.05,422.75,422.8,12643,0
2026-08-05 09:56:00,422.9,423.6,422.9,423.4,8928,0
2026-08-05 09:57:00,423.4,424.0,423.2,424.0,3098,0
2026-08-05 09:58:00,424.0,424.3,423.8,424.0,5205,0
2026-08-05 09:59:00,424.0,424.05,423.6,423.85,3643,0
2026-08-05 10:00:00,423.85,424.25,423.8,423.95,3432,0
2026-08-05 10:01:00,424.05,424.15,423.9,424.05,1755,0
