Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-05 09:15:00,232.7,234.25,232.7,234.25,80041,0
2026-08-05 09:16:00,234.09,234.43,233.99,234.09,44848,0
2026-08-05 09:17:00,234.06,234.08,233.25,233.75,42903,0
2026-08-05 09:18:00,233.74,233.79,233.4,233.64,19699,0
2026-08-05 09:19:00,233.64,233.7,233.3,233.36,36155,0
2026-08-05 09:20:00,233.39,233.5,232.8,233.0,27360,0
2026-08-05 09:21:00,232.91,233.3,232.8,233.29,22866,0
2026-08-05 09:22:00,233.29,234.1,233.2,233.6,36312,0
2026-08-05 09:23:00,233.53,233.61,233.3,233.34,10664,0
2026-08-05 09:24:00,233.4,233.88,233.26,233.75,8976,0
2026-08-05 09:25:00,233.67,233.75,233.59,233.7,10660,0
2026-08-05 09:26:00,233.6,233.64,233.33,233.37,9297,0
2026-08-05 09:27:00,233.42,233.44,233.12,233.3,31366,0
2026-08-05 09:28:00,233.28,233.28,233.02,233.11,6441,0
2026-08-05 09:29:00,233.02,233.33,233.01,233.12,16200,0
2026-08-05 09:30:00,233.19,233.29,233.12,233.18,8124,0
2026-08-05 09:31:00,233.21,233.21,233.0,233.01,13860,0
2026-08-05 09:32:00,233.09,233.38,233.01,233.38,18191,0
2026-08-05 09:33:00,233.32,233.38,233.1,233.1,12494,0
2026-08-05 09:34:00,233.22,233.3,233.06,233.12,7961,0
2026-08-05 09:35:00,233.15,233.24,233.04,233.04,9131,0
2026-08-05 09:36:00,233.05,233.18,233.03,233.17,7285,0
2026-08-05 09:37:00,233.1,233.2,233.04,233.06,7630,0
2026-08-05 09:38:00,233.15,233.26,233.04,233.14,11946,0
2026-08-05 09:39:00,233.14,233.42,233.13,233.35,10352,0
2026-08-05 09:40:00,233.35,233.53,233.24,233.53,11402,0
2026-08-05 09:41:00,233.48,233.69,233.41,233.68,12084,0
2026-08-05 09:42:00,233.67,233.69,233.33,233.46,11229,0
2026-08-05 09:43:00,233.5,233.5,233.14,233.19,6168,0
2026-08-05 09:44:00,233.18,233.19,232.9,233.09,24413,0
2026-08-05 09:45:00,233.09,233.22,232.96,233.07,7686,0
2026-08-05 09:46:00,233.2,233.2,233.01,233.04,4260,0
2026-08-05 09:47:00,233.02,233.32,233.02,233.16,6184,0
2026-08-05 09:48:00,233.16,233.36,233.16,233.24,5059,0
2026-08-05 09:49:00,233.35,233.4,233.16,233.16,10831,0
2026-08-05 09:50:00,233.14,233.24,233.02,233.04,14047,0
2026-08-05 09:51:00,233.13,233.16,232.91,232.91,13175,0
2026-08-05 09:52:00,232.96,233.0,232.71,232.73,10079,0
