Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-06 09:15:00,513.5,515.0,512.0,512.2,13401,0
2026-08-06 09:16:00,512.1,513.3,511.85,513.05,5523,0
2026-08-06 09:17:00,513.4,513.4,512.35,512.35,3042,0
2026-08-06 09:18:00,512.65,512.65,512.3,512.65,2068,0
2026-08-06 09:19:00,512.75,513.5,512.55,512.9,4871,0
2026-08-06 09:20:00,512.8,513.5,512.7,513.25,2963,0
2026-08-06 09:21:00,513.5,513.5,512.3,512.5,6672,0
2026-08-06 09:22:00,512.5,513.35,512.3,513.35,1350,0
2026-08-06 09:23:00,513.3,513.65,513.0,513.65,1500,0
2026-08-06 09:24:00,513.35,513.5,513.0,513.5,1833,0
2026-08-06 09:25:00,513.55,513.9,513.5,513.9,719,0
2026-08-06 09:26:00,513.9,514.5,513.8,514.25,3280,0
2026-08-06 09:27:00,514.1,514.15,513.6,514.0,1363,0
2026-08-06 09:28:00,513.75,514.0,513.5,513.6,1110,0
2026-08-06 09:29:00,513.6,513.6,513.25,513.45,1762,0
2026-08-06 09:30:00,513.45,514.0,513.25,513.5,8122,0
2026-08-06 09:31:00,513.5,513.55,512.85,513.15,1368,0
2026-08-06 09:32:00,513.2,513.7,513.0,513.55,2685,0
2026-08-06 09:33:00,513.55,513.65,512.8,512.8,4124,0
2026-08-06 09:34:00,513.0,513.0,512.2,512.6,21674,0
2026-08-06 09:35:00,512.65,512.7,512.45,512.6,1189,0
2026-08-06 09:36:00,512.5,512.5,510.65,510.85,30528,0
2026-08-06 09:37:00,511.15,511.85,510.9,511.7,7449,0
2026-08-06 09:38:00,511.55,511.75,510.6,511.55,45060,0
2026-08-06 09:39:00,511.55,511.55,511.25,511.3,1052,0
2026-08-06 09:40:00,511.5,511.7,511.25,511.7,3530,0
2026-08-06 09:41:00,511.7,512.2,511.4,512.1,2925,0
2026-08-06 09:42:00,512.1,512.1,511.7,511.8,954,0
2026-08-06 09:43:00,512.0,512.25,512.0,512.05,4988,0
