Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-06 09:15:00,48.3,48.31,47.91,48.0,1008500,0
2026-08-06 09:16:00,48.0,48.01,47.87,47.95,390198,0
2026-08-06 09:17:00,47.95,48.01,47.83,48.0,552781,0
2026-08-06 09:18:00,48.0,48.03,47.97,48.01,281700,0
2026-08-06 09:19:00,48.0,48.04,48.0,48.01,222612,0
2026-08-06 09:20:00,48.03,48.04,47.98,48.03,141528,0
2026-08-06 09:21:00,48.03,48.04,48.0,48.01,114184,0
2026-08-06 09:22:00,48.01,48.04,47.98,48.04,220308,0
2026-08-06 09:23:00,48.04,48.04,48.0,48.02,78652,0
2026-08-06 09:24:00,48.02,48.02,48.0,48.02,76135,0
2026-08-06 09:25:00,48.0,48.04,48.0,48.04,66095,0
2026-08-06 09:26:00,48.04,48.09,48.02,48.09,191550,0
2026-08-06 09:27:00,48.09,48.1,48.06,48.09,93746,0
2026-08-06 09:28:00,48.1,48.1,48.06,48.09,160301,0
2026-08-06 09:29:00,48.08,48.11,48.08,48.1,83162,0
2026-08-06 09:30:00,48.11,48.13,48.06,48.09,110208,0
2026-08-06 09:31:00,48.08,48.1,48.05,48.08,59990,0
2026-08-06 09:32:00,48.08,48.08,48.04,48.04,90176,0
2026-08-06 09:33:00,48.05,48.05,48.01,48.03,51363,0
2026-08-06 09:34:00,48.01,48.04,48.0,48.03,176487,0
2026-08-06 09:35:00,48.03,48.03,48.01,48.02,28957,0
2026-08-06 09:36:00,48.02,48.03,48.0,48.0,102492,0
2026-08-06 09:37:00,48.02,48.02,48.0,48.01,59665,0
2026-08-06 09:38:00,48.01,48.08,48.0,48.07,211413,0
2026-08-06 09:39:00,48.07,48.07,48.01,48.03,85839,0
2026-08-06 09:40:00,48.03,48.03,47.97,47.99,317091,0
2026-08-06 09:41:00,47.98,48.04,47.97,48.04,174562,0
2026-08-06 09:42:00,48.04,48.04,47.97,47.98,78179,0
2026-08-06 09:43:00,47.98,48.0,47.96,47.99,43130,0
2026-08-06 09:44:00,47.99,48.04,47.97,48.0,75606,0
2026-08-06 09:45:00,48.03,48.03,48.0,48.02,50036,0
2026-08-06 09:46:00,48.01,48.04,47.99,48.04,92877,0
2026-08-06 09:47:00,48.04,48.13,47.99,48.09,241389,0
2026-08-06 09:48:00,48.09,48.13,48.07,48.11,70052,0
2026-08-06 09:49:00,48.09,48.11,48.06,48.09,59314,0
2026-08-06 09:50:00,48.09,48.12,48.08,48.11,121010,0
2026-08-06 09:51:00,48.11,48.18,48.1,48.18,245111,0
2026-08-06 09:52:00,48.17,48.21,48.17,48.19,129760,0
2026-08-06 09:53:00,48.19,48.19,48.17,48.19,86624,0
2026-08-06 09:54:00,48.19,48.2,48.16,48.17,147536,0
2026-08-06 09:55:00,48.17,48.17,48.1,48.12,150569,0
2026-08-06 09:56:00,48.13,48.15,48.11,48.14,43753,0
2026-08-06 09:57:00,48.13,48.15,48.13,48.14,108721,0
2026-08-06 09:58:00,48.14,48.15,48.01,48.05,297988,0
2026-08-06 09:59:00,48.05,48.05,47.99,48.02,264599,0
2026-08-06 10:00:00,48.02,48.02,47.96,48.01,156469,0
2026-08-06 10:01:00,48.01,48.02,47.99,48.0,159081,0
2026-08-06 10:02:00,48.0,48.0,47.96,47.99,109860,0
2026-08-06 10:03:00,47.98,47.99,47.95,47.97,83968,0
2026-08-06 10:04:00,47.97,48.0,47.95,48.0,90267,0
2026-08-06 10:05:00,47.99,48.0,47.96,47.99,42824,0
2026-08-06 10:06:00,47.99,48.03,47.99,48.01,96653,0
2026-08-06 10:07:00,48.0,48.07,48.0,48.06,79777,0
2026-08-06 10:08:00,48.05,48.06,48.03,48.05,51624,0
2026-08-06 10:09:00,48.05,48.06,48.02,48.06,36178,0
2026-08-06 10:10:00,48.04,48.07,48.03,48.07,51725,0
2026-08-06 10:11:00,48.06,48.18,48.04,48.17,213210,0
2026-08-06 10:12:00,48.17,48.18,48.14,48.16,48798,0
2026-08-06 10:13:00,48.16,48.18,48.11,48.12,48665,0
2026-08-06 10:14:00,48.12,48.15,48.12,48.15,26189,0
2026-08-06 10:15:00,48.15,48.15,48.1,48.14,103018,0
2026-08-06 10:16:00,48.14,48.15,48.12,48.14,21157,0
2026-08-06 10:17:00,48.14,48.15,48.13,48.14,18728,0
2026-08-06 10:18:00,48.13,48.13,48.09,48.11,48434,0
2026-08-06 10:19:00,48.11,48.13,48.09,48.12,18735,0
2026-08-06 10:20:00,48.12,48.12,48.09,48.1,20719,0
2026-08-06 10:21:00,48.09,48.17,48.09,48.15,168264,0
2026-08-06 10:22:00,48.15,48.17,48.14,48.17,38997,0
2026-08-06 10:23:00,48.17,48.2,48.15,48.18,141306,0
2026-08-06 10:24:00,48.18,48.2,48.16,48.18,85303,0
2026-08-06 10:25:00,48.19,48.19,48.13,48.16,116938,0
2026-08-06 10:26:00,48.17,48.17,48.16,48.17,24610,0
2026-08-06 10:27:00,48.17,48.17,48.13,48.16,59604,0
2026-08-06 10:28:00,48.16,48.16,48.13,48.15,31714,0
2026-08-06 10:29:00,48.16,48.16,48.13,48.15,15550,0
