Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-12 09:15:00,76.65,76.75,76.55,76.6,124226,0
2026-08-12 09:16:00,76.54,76.55,76.41,76.46,74648,0
2026-08-12 09:17:00,76.46,76.46,76.35,76.4,81870,0
2026-08-12 09:18:00,76.36,76.42,76.32,76.4,71748,0
2026-08-12 09:19:00,76.37,76.38,76.26,76.38,65063,0
2026-08-12 09:20:00,76.39,76.39,76.36,76.36,41848,0
2026-08-12 09:21:00,76.36,76.36,76.22,76.27,87712,0
2026-08-12 09:22:00,76.27,76.31,76.27,76.29,11231,0
2026-08-12 09:23:00,76.29,76.3,76.24,76.3,34808,0
2026-08-12 09:24:00,76.31,76.4,76.28,76.38,65803,0
2026-08-12 09:25:00,76.35,76.46,76.35,76.37,25238,0
2026-08-12 09:26:00,76.38,76.4,76.36,76.39,11840,0
2026-08-12 09:27:00,76.4,76.43,76.39,76.43,53756,0
2026-08-12 09:28:00,76.44,76.46,76.44,76.45,13068,0
2026-08-12 09:29:00,76.43,76.43,76.4,76.4,21536,0
2026-08-12 09:30:00,76.42,76.42,76.37,76.37,33481,0
2026-08-12 09:31:00,76.37,76.37,76.36,76.36,8557,0
2026-08-12 09:32:00,76.36,76.36,76.31,76.33,15337,0
2026-08-12 09:33:00,76.33,76.38,76.27,76.38,43118,0
2026-08-12 09:34:00,76.38,76.38,76.34,76.34,22272,0
2026-08-12 09:35:00,76.34,76.34,76.29,76.3,19014,0
2026-08-12 09:36:00,76.31,76.34,76.31,76.33,15533,0
2026-08-12 09:37:00,76.31,76.34,76.3,76.33,18835,0
2026-08-12 09:38:00,76.33,76.33,76.21,76.26,26620,0
2026-08-12 09:39:00,76.26,76.26,76.2,76.25,11672,0
2026-08-12 09:40:00,76.25,76.25,76.22,76.23,7878,0
2026-08-12 09:41:00,76.25,76.25,76.24,76.24,5579,0
2026-08-12 09:42:00,76.25,76.3,76.24,76.29,6602,0
2026-08-12 09:43:00,76.29,76.29,76.25,76.25,5061,0
2026-08-12 09:44:00,76.25,76.25,76.23,76.23,46813,0
2026-08-12 09:45:00,76.25,76.25,76.22,76.22,12308,0
2026-08-12 09:46:00,76.23,76.37,76.23,76.32,418669,0
2026-08-12 09:47:00,76.36,76.36,76.3,76.3,32778,0
2026-08-12 09:48:00,76.29,76.29,76.22,76.22,14928,0
2026-08-12 09:49:00,76.26,76.26,76.21,76.23,4657,0
2026-08-12 09:50:00,76.25,76.25,76.21,76.21,32476,0
2026-08-12 09:51:00,76.21,76.28,76.21,76.28,24736,0
2026-08-12 09:52:00,76.28,76.28,76.23,76.26,1298,0
2026-08-12 09:53:00,76.25,76.27,76.24,76.27,6246,0
2026-08-12 09:54:00,76.27,76.3,76.22,76.22,20122,0
2026-08-12 09:55:00,76.21,76.24,76.21,76.24,25806,0
2026-08-12 09:56:00,76.21,76.24,76.21,76.23,11870,0
2026-08-12 09:57:00,76.23,76.23,76.21,76.23,13859,0
2026-08-12 09:58:00,76.23,76.23,76.21,76.21,5020,0
2026-08-12 09:59:00,76.23,76.23,76.21,76.22,128120,0
2026-08-12 10:00:00,76.21,76.22,76.21,76.21,10409,0
2026-08-12 10:01:00,76.21,76.23,76.21,76.23,12290,0
2026-08-12 10:02:00,76.21,76.23,76.21,76.23,52018,0
2026-08-12 10:03:00,76.21,76.23,76.21,76.21,53205,0
2026-08-12 10:04:00,76.22,76.22,76.21,76.21,30223,0
2026-08-12 10:05:00,76.21,76.24,76.21,76.24,46632,0
2026-08-12 10:06:00,76.24,76.24,76.2,76.2,61168,0
2026-08-12 10:07:00,76.22,76.23,76.15,76.15,56510,0
2026-08-12 10:08:00,76.19,76.19,76.12,76.18,22584,0
2026-08-12 10:09:00,76.15,76.18,76.15,76.18,16048,0
2026-08-12 10:10:00,76.16,76.27,76.15,76.27,36785,0
2026-08-12 10:11:00,76.26,76.3,76.26,76.27,19692,0
2026-08-12 10:12:00,76.23,76.28,76.22,76.28,13791,0
2026-08-12 10:13:00,76.24,76.27,76.24,76.26,10505,0
2026-08-12 10:14:00,76.25,76.26,76.21,76.24,13235,0
2026-08-12 10:15:00,76.24,76.25,76.22,76.25,8712,0
2026-08-12 10:16:00,76.25,76.27,76.25,76.27,4534,0
2026-08-12 10:17:00,76.26,76.3,76.26,76.28,20193,0
2026-08-12 10:18:00,76.28,76.29,76.27,76.29,3864,0
2026-08-12 10:19:00,76.29,76.29,76.25,76.25,1539,0
2026-08-12 10:20:00,76.29,76.29,76.23,76.25,6606,0
2026-08-12 10:21:00,76.23,76.25,76.23,76.25,1462,0
2026-08-12 10:22:00,76.25,76.25,76.22,76.25,3637,0
2026-08-12 10:23:00,76.22,76.27,76.21,76.27,14184,0
2026-08-12 10:24:00,76.31,76.32,76.28,76.3,35560,0
2026-08-12 10:25:00,76.3,76.33,76.27,76.33,8829,0
2026-08-12 10:26:00,76.33,76.33,76.3,76.31,3805,0
