Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-12 09:15:00,172.69,173.5,172.15,173.38,136879,0
2026-08-12 09:16:00,173.34,173.34,172.65,172.89,166734,0
2026-08-12 09:17:00,172.66,172.77,172.59,172.59,48826,0
2026-08-12 09:18:00,172.62,172.75,172.39,172.67,43829,0
2026-08-12 09:19:00,172.67,172.67,172.25,172.41,45555,0
2026-08-12 09:20:00,172.42,172.48,172.05,172.06,104592,0
2026-08-12 09:21:00,172.24,172.24,171.2,171.41,190522,0
2026-08-12 09:22:00,171.27,171.42,171.16,171.28,47721,0
2026-08-12 09:23:00,171.31,172.28,171.31,172.1,194746,0
2026-08-12 09:24:00,172.18,172.74,172.1,172.55,48719,0
2026-08-12 09:25:00,172.6,172.74,172.52,172.74,31244,0
2026-08-12 09:26:00,172.75,172.84,172.74,172.74,96855,0
2026-08-12 09:27:00,172.77,173.05,172.74,173.02,30145,0
2026-08-12 09:28:00,173.12,173.6,173.11,173.51,157708,0
2026-08-12 09:29:00,173.44,173.75,173.14,173.15,100095,0
2026-08-12 09:30:00,173.4,173.44,173.27,173.44,59713,0
2026-08-12 09:31:00,173.44,173.47,173.32,173.32,24778,0
2026-08-12 09:32:00,173.25,173.25,173.13,173.18,14144,0
2026-08-12 09:33:00,173.26,173.3,173.17,173.24,25311,0
2026-08-12 09:34:00,173.21,173.21,172.88,172.88,43830,0
2026-08-12 09:35:00,172.99,172.99,172.77,172.87,37910,0
2026-08-12 09:36:00,172.89,172.89,172.79,172.79,5724,0
2026-08-12 09:37:00,172.79,172.79,172.54,172.54,47916,0
2026-08-12 09:38:00,172.45,172.54,172.39,172.52,44317,0
2026-08-12 09:39:00,172.52,172.59,172.42,172.48,8777,0
2026-08-12 09:40:00,172.48,172.55,172.38,172.38,34285,0
2026-08-12 09:41:00,172.53,172.7,172.41,172.7,31019,0
2026-08-12 09:42:00,172.7,172.8,172.7,172.74,8331,0
2026-08-12 09:43:00,172.78,172.84,172.72,172.84,21950,0
2026-08-12 09:44:00,172.82,172.89,172.8,172.84,10529,0
2026-08-12 09:45:00,172.93,172.93,172.82,172.87,10854,0
2026-08-12 09:46:00,172.91,172.98,172.91,172.95,5883,0
2026-08-12 09:47:00,172.92,173.17,172.9,173.16,28572,0
2026-08-12 09:48:00,173.09,173.1,173.08,173.08,8019,0
2026-08-12 09:49:00,173.06,173.08,173.0,173.08,14804,0
2026-08-12 09:50:00,173.08,173.08,173.04,173.04,16940,0
2026-08-12 09:51:00,173.03,173.15,173.02,173.15,28686,0
2026-08-12 09:52:00,173.15,173.15,173.02,173.02,8150,0
2026-08-12 09:53:00,173.11,173.13,173.08,173.11,9839,0
2026-08-12 09:54:00,173.12,173.15,173.09,173.1,8925,0
2026-08-12 09:55:00,173.0,173.02,172.69,172.8,63882,0
2026-08-12 09:56:00,172.87,173.26,172.75,173.26,202317,0
2026-08-12 09:57:00,173.2,173.2,172.72,172.78,16725,0
2026-08-12 09:58:00,172.75,172.75,172.16,172.31,34075,0
2026-08-12 09:59:00,172.34,172.34,172.08,172.2,49072,0
2026-08-12 10:00:00,172.24,172.41,172.15,172.34,19943,0
2026-08-12 10:01:00,172.36,172.44,172.2,172.44,11722,0
2026-08-12 10:02:00,172.48,172.5,172.42,172.42,12541,0
2026-08-12 10:03:00,172.45,172.45,172.29,172.41,15213,0
2026-08-12 10:04:00,172.41,172.45,172.35,172.36,9193,0
2026-08-12 10:05:00,172.38,172.38,172.31,172.34,6139,0
2026-08-12 10:06:00,172.37,172.5,172.37,172.5,26746,0
