Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-14 09:15:00,131.8,131.8,131.25,131.7,113013,0
2026-08-14 09:16:00,131.7,131.78,131.53,131.57,76590,0
2026-08-14 09:17:00,131.51,131.62,131.5,131.51,53091,0
2026-08-14 09:18:00,131.51,131.57,131.3,131.3,73187,0
2026-08-14 09:19:00,131.34,131.36,131.26,131.3,51435,0
2026-08-14 09:20:00,131.29,131.3,131.2,131.22,41121,0
2026-08-14 09:21:00,131.2,131.22,131.1,131.11,36801,0
2026-08-14 09:22:00,131.11,131.2,131.11,131.15,38072,0
2026-08-14 09:23:00,131.12,131.15,131.05,131.09,44803,0
2026-08-14 09:24:00,131.05,131.15,131.02,131.1,48683,0
2026-08-14 09:25:00,131.1,131.15,131.05,131.12,16113,0
2026-08-14 09:26:00,131.12,131.25,131.12,131.22,30021,0
2026-08-14 09:27:00,131.22,131.26,131.18,131.2,13887,0
2026-08-14 09:28:00,131.18,131.2,131.05,131.1,30066,0
2026-08-14 09:29:00,131.05,131.24,131.05,131.19,31210,0
2026-08-14 09:30:00,131.22,131.26,131.17,131.22,43195,0
2026-08-14 09:31:00,131.2,131.22,131.15,131.22,14275,0
2026-08-14 09:32:00,131.22,131.26,131.2,131.2,28777,0
2026-08-14 09:33:00,131.24,131.45,131.2,131.42,34090,0
2026-08-14 09:34:00,131.44,131.44,131.17,131.19,18455,0
2026-08-14 09:35:00,131.19,131.21,131.1,131.14,73469,0
2026-08-14 09:36:00,131.14,131.14,131.1,131.12,12649,0
2026-08-14 09:37:00,131.12,131.17,131.1,131.13,45458,0
2026-08-14 09:38:00,131.16,131.3,131.16,131.2,24830,0
2026-08-14 09:39:00,131.27,131.3,131.22,131.29,14801,0
2026-08-14 09:40:00,131.24,131.38,131.23,131.34,11324,0
2026-08-14 09:41:00,131.29,131.33,131.12,131.16,16052,0
2026-08-14 09:42:00,131.2,131.2,131.12,131.17,16727,0
2026-08-14 09:43:00,131.16,131.19,131.12,131.14,13817,0
2026-08-14 09:44:00,131.12,131.13,131.06,131.08,20082,0
2026-08-14 09:45:00,131.09,131.11,131.03,131.06,14476,0
2026-08-14 09:46:00,131.07,131.2,131.07,131.16,16508,0
2026-08-14 09:47:00,131.15,131.17,131.1,131.14,22711,0
2026-08-14 09:48:00,131.14,131.16,131.1,131.16,8749,0
2026-08-14 09:49:00,131.15,131.18,131.11,131.15,11606,0
2026-08-14 09:50:00,131.15,131.19,131.11,131.15,7344,0
2026-08-14 09:51:00,131.19,131.19,131.15,131.15,5798,0
2026-08-14 09:52:00,131.17,131.2,131.15,131.19,19139,0
2026-08-14 09:53:00,131.2,131.2,131.15,131.18,5840,0
2026-08-14 09:54:00,131.18,131.18,131.05,131.08,24058,0
2026-08-14 09:55:00,131.05,131.09,130.93,131.08,85512,0
2026-08-14 09:56:00,131.08,131.13,131.04,131.13,10172,0
2026-08-14 09:57:00,131.12,131.16,131.08,131.08,14461,0
2026-08-14 09:58:00,131.08,131.15,131.05,131.11,14189,0
2026-08-14 09:59:00,131.15,131.4,131.11,131.34,29883,0
2026-08-14 10:00:00,131.34,131.36,131.2,131.21,9943,0
2026-08-14 10:01:00,131.22,131.28,131.2,131.25,7021,0
2026-08-14 10:02:00,131.25,131.29,131.22,131.25,2680,0
2026-08-14 10:03:00,131.25,131.25,131.2,131.22,13020,0
2026-08-14 10:04:00,131.25,131.25,131.2,131.2,5326,0
2026-08-14 10:05:00,131.21,131.22,131.15,131.2,10357,0
2026-08-14 10:06:00,131.2,131.2,131.15,131.15,3865,0
2026-08-14 10:07:00,131.15,131.29,131.11,131.18,18603,0
2026-08-14 10:08:00,131.2,131.35,131.2,131.35,16046,0
2026-08-14 10:09:00,131.37,131.6,131.35,131.52,58315,0
2026-08-14 10:10:00,131.52,131.68,131.47,131.66,32531,0
2026-08-14 10:11:00,131.69,131.69,131.55,131.57,23055,0
2026-08-14 10:12:00,131.55,131.55,131.44,131.44,22938,0
2026-08-14 10:13:00,131.42,131.5,131.41,131.42,21360,0
2026-08-14 10:14:00,131.42,131.47,131.4,131.4,6157,0
2026-08-14 10:15:00,131.42,131.42,131.3,131.34,13778,0
2026-08-14 10:16:00,131.31,131.34,131.28,131.33,8560,0
2026-08-14 10:17:00,131.3,131.34,131.21,131.27,15011,0
2026-08-14 10:18:00,131.28,131.33,131.2,131.2,11341,0
2026-08-14 10:19:00,131.2,131.27,131.16,131.18,23327,0
2026-08-14 10:20:00,131.18,131.21,131.11,131.15,4444,0
2026-08-14 10:21:00,131.15,131.15,131.1,131.13,7205,0
2026-08-14 10:22:00,131.13,131.13,131.1,131.1,2771,0
2026-08-14 10:23:00,131.13,131.13,131.1,131.13,2332,0
2026-08-14 10:24:00,131.13,131.13,131.05,131.06,21079,0
2026-08-14 10:25:00,131.06,131.09,131.05,131.05,5545,0
2026-08-14 10:26:00,131.06,131.06,130.95,131.0,61547,0
2026-08-14 10:27:00,130.98,131.03,130.97,131.01,8105,0
2026-08-14 10:28:00,131.01,131.09,131.0,131.07,26398,0
2026-08-14 10:29:00,131.04,131.07,131.0,131.0,15834,0
2026-08-14 10:30:00,131.01,131.02,129.68,129.85,802762,0
2026-08-14 10:31:00,129.92,130.09,127.77,129.58,1301711,0
2026-08-14 10:32:00,129.53,129.83,129.41,129.46,292206,0
2026-08-14 10:33:00,129.53,129.75,129.23,129.6,109224,0
2026-08-14 10:34:00,129.67,129.8,129.5,129.8,73478,0
2026-08-14 10:35:00,129.75,129.89,129.51,129.64,95864,0
2026-08-14 10:36:00,129.57,129.72,129.53,129.65,30666,0
2026-08-14 10:37:00,129.65,129.79,129.64,129.75,39021,0
2026-08-14 10:38:00,129.74,130.3,129.74,130.14,98348,0
2026-08-14 10:39:00,130.15,130.22,130.11,130.17,49480,0
2026-08-14 10:40:00,130.18,130.18,130.0,130.0,53885,0
2026-08-14 10:41:00,129.94,130.07,129.9,130.05,17107,0
2026-08-14 10:42:00,130.06,130.06,129.89,130.02,32192,0
2026-08-14 10:43:00,130.01,130.1,130.01,130.07,9893,0
2026-08-14 10:44:00,130.07,130.08,130.01,130.08,5502,0
2026-08-14 10:45:00,130.07,130.12,129.93,130.1,27990,0
2026-08-14 10:46:00,130.04,130.15,130.0,130.02,10056,0
2026-08-14 10:47:00,130.03,130.05,129.92,130.0,25007,0
2026-08-14 10:48:00,130.0,130.11,129.96,130.09,39402,0
2026-08-14 10:49:00,130.05,130.11,130.05,130.11,12967,0
2026-08-14 10:50:00,130.11,130.18,130.06,130.15,27042,0
2026-08-14 10:51:00,130.09,130.15,130.02,130.13,17919,0
2026-08-14 10:52:00,130.13,130.14,130.1,130.14,4445,0
2026-08-14 10:53:00,130.13,130.22,130.12,130.22,74709,0
2026-08-14 10:54:00,130.18,130.22,130.1,130.1,25566,0
2026-08-14 10:55:00,130.1,130.16,129.96,130.1,75792,0
2026-08-14 10:56:00,130.1,130.11,130.04,130.1,6316,0
2026-08-14 10:57:00,130.09,130.09,130.04,130.08,1717,0
2026-08-14 10:58:00,130.08,130.08,130.04,130.08,2771,0
2026-08-14 10:59:00,130.04,130.07,130.0,130.04,12452,0
2026-08-14 11:00:00,130.04,130.04,129.86,129.95,49199,0
2026-08-14 11:01:00,129.94,130.05,129.93,130.04,41464,0
2026-08-14 11:02:00,130.04,130.25,130.02,130.23,29467,0
2026-08-14 11:03:00,130.22,130.28,130.17,130.27,14518,0
2026-08-14 11:04:00,130.27,130.42,130.17,130.41,43324,0
2026-08-14 11:05:00,130.41,130.42,130.23,130.23,18183,0
2026-08-14 11:06:00,130.29,130.29,130.19,130.19,6661,0
2026-08-14 11:07:00,130.19,130.19,130.15,130.15,3268,0
2026-08-14 11:08:00,130.15,130.15,130.1,130.14,11852,0
2026-08-14 11:09:00,130.14,130.2,130.11,130.17,7274,0
2026-08-14 11:10:00,130.17,130.2,130.15,130.2,3236,0
2026-08-14 11:11:00,130.15,130.2,130.14,130.2,13701,0
2026-08-14 11:12:00,130.16,130.2,130.14,130.2,1924,0
2026-08-14 11:13:00,130.2,130.2,130.18,130.2,9948,0
2026-08-14 11:14:00,130.2,130.5,130.18,130.44,87789,0
2026-08-14 11:15:00,130.42,130.42,130.37,130.42,9391,0
2026-08-14 11:16:00,130.42,130.42,130.29,130.37,12187,0
2026-08-14 11:17:00,130.35,130.45,130.3,130.43,7763,0
2026-08-14 11:18:00,130.45,130.49,130.41,130.46,17720,0
2026-08-14 11:19:00,130.45,130.47,130.4,130.45,4226,0
2026-08-14 11:20:00,130.41,130.45,130.4,130.45,6692,0
2026-08-14 11:21:00,130.43,130.5,130.43,130.5,17441,0
2026-08-14 11:22:00,130.5,130.5,130.45,130.49,7925,0
2026-08-14 11:23:00,130.49,130.49,130.45,130.46,10104,0
2026-08-14 11:24:00,130.49,130.5,130.45,130.5,9164,0
2026-08-14 11:25:00,130.48,130.5,130.48,130.5,4269,0
2026-08-14 11:26:00,130.49,130.5,130.41,130.44,38841,0
2026-08-14 11:27:00,130.47,130.47,130.35,130.4,18422,0
2026-08-14 11:28:00,130.36,130.39,130.29,130.31,8261,0
2026-08-14 11:29:00,130.31,130.32,130.2,130.24,18964,0
2026-08-14 11:30:00,130.24,130.24,130.12,130.23,13730,0
2026-08-14 11:31:00,130.23,130.36,130.23,130.36,16106,0
2026-08-14 11:32:00,130.35,130.35,130.3,130.35,1585,0
2026-08-14 11:33:00,130.35,130.4,130.33,130.4,3578,0
2026-08-14 11:34:00,130.4,130.4,130.39,130.39,1957,0
2026-08-14 11:35:00,130.39,130.44,130.39,130.44,4735,0
2026-08-14 11:36:00,130.44,130.5,130.38,130.42,13175,0
2026-08-14 11:37:00,130.46,130.46,130.35,130.4,3950,0
2026-08-14 11:38:00,130.4,130.41,130.35,130.41,2007,0
2026-08-14 11:39:00,130.4,130.47,130.35,130.47,8023,0
2026-08-14 11:40:00,130.47,130.49,130.44,130.44,3924,0
2026-08-14 11:41:00,130.44,130.49,130.36,130.49,12840,0
2026-08-14 11:42:00,130.49,130.55,130.43,130.54,25097,0
2026-08-14 11:43:00,130.54,130.55,130.52,130.55,15519,0
2026-08-14 11:44:00,130.55,130.65,130.51,130.6,37687,0
2026-08-14 11:45:00,130.6,130.6,130.53,130.57,4013,0
2026-08-14 11:46:00,130.57,130.6,130.53,130.6,6920,0
2026-08-14 11:47:00,130.6,130.6,130.59,130.6,2512,0
2026-08-14 11:48:00,130.59,130.6,130.51,130.51,4930,0
2026-08-14 11:49:00,130.5,130.51,130.46,130.48,6651,0
2026-08-14 11:50:00,130.48,130.48,130.41,130.45,3975,0
2026-08-14 11:51:00,130.45,130.51,130.45,130.5,7152,0
2026-08-14 11:52:00,130.49,130.5,130.41,130.47,3583,0
2026-08-14 11:53:00,130.46,130.5,130.42,130.49,4728,0
2026-08-14 11:54:00,130.48,130.5,130.47,130.48,4436,0
2026-08-14 11:55:00,130.46,130.5,130.43,130.5,9695,0
2026-08-14 11:56:00,130.49,130.5,130.45,130.48,4178,0
2026-08-14 11:57:00,130.45,130.49,130.4,130.45,24252,0
2026-08-14 11:58:00,130.45,130.46,130.43,130.46,2731,0
2026-08-14 11:59:00,130.46,130.52,130.43,130.49,11446,0
2026-08-14 12:00:00,130.49,130.55,130.44,130.51,22427,0
2026-08-14 12:01:00,130.51,130.58,130.5,130.58,22314,0
2026-08-14 12:02:00,130.58,130.58,130.49,130.5,5317,0
2026-08-14 12:03:00,130.5,130.53,130.44,130.51,6435,0
2026-08-14 12:04:00,130.51,130.51,130.38,130.42,12974,0
2026-08-14 12:05:00,130.42,130.5,130.42,130.5,1920,0
2026-08-14 12:06:00,130.49,130.5,130.45,130.5,4119,0
2026-08-14 12:07:00,130.49,130.5,130.45,130.5,5055,0
2026-08-14 12:08:00,130.49,130.5,130.43,130.5,6099,0
2026-08-14 12:09:00,130.49,130.49,130.43,130.49,4249,0
2026-08-14 12:10:00,130.44,130.5,130.44,130.5,5038,0
2026-08-14 12:11:00,130.44,130.56,130.44,130.53,8882,0
2026-08-14 12:12:00,130.56,130.59,130.52,130.57,8040,0
2026-08-14 12:13:00,130.57,130.57,130.51,130.56,1295,0
2026-08-14 12:14:00,130.56,130.61,130.52,130.6,14363,0
2026-08-14 12:15:00,130.6,130.61,130.55,130.6,8394,0
2026-08-14 12:16:00,130.55,130.6,130.55,130.6,2033,0
2026-08-14 12:17:00,130.55,130.61,130.55,130.57,10404,0
2026-08-14 12:18:00,130.55,130.56,130.51,130.56,12315,0
2026-08-14 12:19:00,130.56,130.62,130.53,130.6,5754,0
2026-08-14 12:20:00,130.56,130.6,130.53,130.59,3575,0
2026-08-14 12:21:00,130.59,130.79,130.59,130.75,50874,0
2026-08-14 12:22:00,130.7,130.73,130.63,130.7,6840,0
2026-08-14 12:23:00,130.64,130.72,130.63,130.69,2183,0
2026-08-14 12:24:00,130.69,130.71,130.67,130.69,3660,0
2026-08-14 12:25:00,130.7,130.7,130.63,130.63,8818,0
2026-08-14 12:26:00,130.63,130.66,130.61,130.64,3260,0
