Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-14 09:15:00,278.35,278.35,277.1,277.55,101360,0
2026-08-14 09:16:00,277.4,277.55,277.2,277.5,21206,0
2026-08-14 09:17:00,277.45,277.5,277.05,277.3,33704,0
2026-08-14 09:18:00,277.2,277.4,277.15,277.3,20901,0
2026-08-14 09:19:00,277.15,277.3,276.8,276.95,55615,0
2026-08-14 09:20:00,276.9,276.95,276.45,276.6,118553,0
2026-08-14 09:21:00,276.5,276.8,276.5,276.8,15324,0
2026-08-14 09:22:00,276.65,277.0,276.65,276.85,18707,0
2026-08-14 09:23:00,276.85,277.0,276.85,276.95,5113,0
2026-08-14 09:24:00,276.9,277.15,276.75,276.9,92949,0
2026-08-14 09:25:00,276.75,276.9,276.7,276.8,5411,0
2026-08-14 09:26:00,276.7,276.9,276.7,276.8,18844,0
2026-08-14 09:27:00,276.9,276.9,276.7,276.7,16074,0
2026-08-14 09:28:00,276.7,276.85,276.6,276.6,13651,0
2026-08-14 09:29:00,276.6,276.7,276.4,276.5,71763,0
2026-08-14 09:30:00,276.5,276.55,276.4,276.5,27213,0
2026-08-14 09:31:00,276.4,276.55,276.4,276.45,22660,0
2026-08-14 09:32:00,276.45,276.6,276.45,276.55,37916,0
2026-08-14 09:33:00,276.5,276.6,276.45,276.6,16551,0
2026-08-14 09:34:00,276.55,276.7,276.5,276.6,17293,0
2026-08-14 09:35:00,276.5,276.65,276.45,276.55,40581,0
2026-08-14 09:36:00,276.5,276.55,276.45,276.45,20209,0
2026-08-14 09:37:00,276.45,276.55,276.45,276.5,21459,0
2026-08-14 09:38:00,276.45,276.55,276.45,276.5,14818,0
2026-08-14 09:39:00,276.45,276.6,276.45,276.55,15256,0
2026-08-14 09:40:00,276.55,276.7,276.5,276.6,9337,0
2026-08-14 09:41:00,276.6,276.7,276.6,276.65,7696,0
2026-08-14 09:42:00,276.65,276.75,276.6,276.75,10384,0
2026-08-14 09:43:00,276.75,276.75,276.55,276.7,10985,0
2026-08-14 09:44:00,276.7,276.7,276.6,276.6,10224,0
2026-08-14 09:45:00,276.7,276.95,276.6,276.95,21395,0
2026-08-14 09:46:00,276.95,277.3,276.9,277.1,29756,0
2026-08-14 09:47:00,277.15,277.3,277.1,277.1,15223,0
2026-08-14 09:48:00,277.1,277.3,277.1,277.25,17431,0
2026-08-14 09:49:00,277.25,277.6,277.15,277.2,105093,0
2026-08-14 09:50:00,277.2,277.35,277.15,277.3,9381,0
2026-08-14 09:51:00,277.3,277.4,277.2,277.25,6729,0
2026-08-14 09:52:00,277.35,277.45,277.25,277.25,6248,0
2026-08-14 09:53:00,277.3,277.3,277.2,277.3,13335,0
2026-08-14 09:54:00,277.3,277.3,277.1,277.2,11866,0
2026-08-14 09:55:00,277.1,277.2,277.1,277.2,5053,0
2026-08-14 09:56:00,277.2,277.25,277.1,277.2,7363,0
2026-08-14 09:57:00,277.2,277.4,277.15,277.4,53258,0
2026-08-14 09:58:00,277.35,277.4,277.3,277.3,2870,0
2026-08-14 09:59:00,277.4,277.4,277.2,277.3,14622,0
2026-08-14 10:00:00,277.3,277.3,277.1,277.25,8720,0
2026-08-14 10:01:00,277.25,277.25,277.1,277.25,3931,0
2026-08-14 10:02:00,277.25,277.25,277.1,277.2,5867,0
2026-08-14 10:03:00,277.2,277.2,277.1,277.2,7000,0
2026-08-14 10:04:00,277.2,277.2,277.05,277.2,12515,0
2026-08-14 10:05:00,277.2,277.2,277.1,277.2,8777,0
2026-08-14 10:06:00,277.2,277.3,277.1,277.2,43921,0
2026-08-14 10:07:00,277.2,277.2,277.15,277.2,8558,0
2026-08-14 10:08:00,277.2,277.2,277.15,277.2,7686,0
2026-08-14 10:09:00,277.2,277.6,277.1,277.6,49383,0
2026-08-14 10:10:00,277.6,277.75,277.55,277.7,9521,0
2026-08-14 10:11:00,277.7,277.75,277.65,277.7,7008,0
2026-08-14 10:12:00,277.75,277.75,277.65,277.7,12450,0
2026-08-14 10:13:00,277.7,277.75,277.65,277.7,23973,0
2026-08-14 10:14:00,277.7,277.7,277.5,277.55,13007,0
2026-08-14 10:15:00,277.55,277.7,277.5,277.65,9370,0
2026-08-14 10:16:00,277.65,277.65,277.3,277.4,22875,0
2026-08-14 10:17:00,277.4,277.45,277.35,277.4,4628,0
2026-08-14 10:18:00,277.4,277.45,277.3,277.45,8937,0
2026-08-14 10:19:00,277.45,277.55,277.4,277.55,10583,0
2026-08-14 10:20:00,277.55,277.6,277.45,277.55,6685,0
2026-08-14 10:21:00,277.6,277.6,277.5,277.6,6740,0
2026-08-14 10:22:00,277.6,277.6,277.5,277.55,7786,0
2026-08-14 10:23:00,277.6,277.6,277.55,277.55,4711,0
2026-08-14 10:24:00,277.6,277.95,277.5,277.9,118455,0
2026-08-14 10:25:00,277.9,278.1,277.9,278.05,35753,0
2026-08-14 10:26:00,278.05,278.05,277.9,277.9,8531,0
2026-08-14 10:27:00,277.95,278.05,277.9,278.05,9360,0
2026-08-14 10:28:00,278.05,278.15,277.95,277.95,14656,0
2026-08-14 10:29:00,278.0,278.1,277.9,278.1,5479,0
2026-08-14 10:30:00,278.1,278.15,278.0,278.1,8060,0
2026-08-14 10:31:00,278.15,278.2,277.9,278.05,12588,0
2026-08-14 10:32:00,278.05,278.05,277.8,277.85,9315,0
2026-08-14 10:33:00,277.85,277.85,277.7,277.8,20048,0
2026-08-14 10:34:00,277.8,277.8,277.75,277.8,9841,0
2026-08-14 10:35:00,277.8,277.9,277.75,277.8,12145,0
2026-08-14 10:36:00,277.9,277.9,277.75,277.85,6085,0
2026-08-14 10:37:00,277.9,277.9,277.8,277.85,3782,0
2026-08-14 10:38:00,277.9,277.9,277.8,277.9,4249,0
2026-08-14 10:39:00,277.9,277.95,277.85,277.9,12312,0
2026-08-14 10:40:00,277.95,278.0,277.9,277.95,8224,0
2026-08-14 10:41:00,278.0,278.0,277.9,278.0,7771,0
2026-08-14 10:42:00,278.0,278.0,277.9,278.0,4187,0
2026-08-14 10:43:00,278.0,278.0,277.85,277.9,8755,0
2026-08-14 10:44:00,277.9,278.1,277.9,278.1,11941,0
2026-08-14 10:45:00,278.1,278.1,278.0,278.1,8773,0
2026-08-14 10:46:00,278.1,278.1,278.0,278.1,6156,0
2026-08-14 10:47:00,278.1,278.1,278.0,278.05,6635,0
2026-08-14 10:48:00,278.1,278.1,278.0,278.1,5586,0
2026-08-14 10:49:00,278.1,278.1,278.0,278.0,9171,0
2026-08-14 10:50:00,278.1,278.1,278.0,278.1,3722,0
2026-08-14 10:51:00,278.1,278.1,278.0,278.0,22750,0
2026-08-14 10:52:00,278.05,278.05,278.0,278.05,6932,0
2026-08-14 10:53:00,278.05,278.05,278.0,278.0,4434,0
2026-08-14 10:54:00,278.05,278.05,277.95,277.95,32373,0
2026-08-14 10:55:00,278.0,278.05,277.9,278.0,24363,0
2026-08-14 10:56:00,278.05,278.05,277.85,277.95,5559,0
2026-08-14 10:57:00,278.0,278.1,277.85,277.95,13118,0
2026-08-14 10:58:00,278.0,278.1,277.9,277.9,4425,0
2026-08-14 10:59:00,278.0,278.0,277.85,277.95,6468,0
2026-08-14 11:00:00,277.9,277.95,277.75,277.9,11488,0
2026-08-14 11:01:00,277.85,277.9,277.85,277.85,8025,0
2026-08-14 11:02:00,277.9,277.9,277.85,277.9,4957,0
2026-08-14 11:03:00,277.9,277.95,277.85,277.9,8682,0
2026-08-14 11:04:00,277.95,277.95,277.9,277.95,5595,0
2026-08-14 11:05:00,277.95,278.0,277.9,277.95,3802,0
2026-08-14 11:06:00,278.0,278.0,277.95,278.0,16030,0
2026-08-14 11:07:00,277.95,278.05,277.9,278.0,10993,0
2026-08-14 11:08:00,278.05,278.1,278.0,278.1,7990,0
2026-08-14 11:09:00,278.1,278.1,277.95,278.05,11192,0
2026-08-14 11:10:00,278.05,278.05,277.9,278.0,13406,0
2026-08-14 11:11:00,278.0,278.0,277.9,278.0,5647,0
2026-08-14 11:12:00,278.0,278.05,277.9,277.95,5677,0
2026-08-14 11:13:00,277.95,278.0,277.85,277.95,7481,0
2026-08-14 11:14:00,277.95,278.0,277.85,277.95,7468,0
2026-08-14 11:15:00,278.0,278.0,277.8,277.9,31388,0
2026-08-14 11:16:00,277.9,277.95,277.8,277.9,6999,0
2026-08-14 11:17:00,277.9,277.9,277.75,277.85,5264,0
2026-08-14 11:18:00,277.85,277.9,277.75,277.8,15695,0
2026-08-14 11:19:00,277.85,277.9,277.8,277.8,7457,0
2026-08-14 11:20:00,277.85,277.9,277.8,277.85,4089,0
2026-08-14 11:21:00,277.9,277.9,277.85,277.85,4394,0
2026-08-14 11:22:00,277.9,277.9,277.8,277.85,4642,0
2026-08-14 11:23:00,277.9,277.9,277.75,277.9,11756,0
2026-08-14 11:24:00,277.9,277.9,277.75,277.85,5675,0
2026-08-14 11:25:00,277.9,277.9,277.8,277.9,5151,0
2026-08-14 11:26:00,277.9,277.9,277.75,277.75,7721,0
2026-08-14 11:27:00,277.8,277.85,277.75,277.8,9026,0
2026-08-14 11:28:00,277.8,277.8,277.75,277.75,2954,0
2026-08-14 11:29:00,277.8,277.9,277.65,277.7,33617,0
2026-08-14 11:30:00,277.7,277.7,277.5,277.6,9390,0
2026-08-14 11:31:00,277.6,277.6,277.5,277.6,9971,0
2026-08-14 11:32:00,277.55,277.6,276.9,276.9,183539,0
2026-08-14 11:33:00,276.95,277.0,276.75,276.75,43191,0
2026-08-14 11:34:00,276.8,276.8,276.55,276.8,127568,0
2026-08-14 11:35:00,276.7,276.95,276.7,276.95,7237,0
2026-08-14 11:36:00,276.95,277.05,276.75,276.75,39233,0
2026-08-14 11:37:00,276.8,276.9,276.75,276.85,4470,0
2026-08-14 11:38:00,276.9,276.95,276.75,276.95,2741,0
2026-08-14 11:39:00,276.95,277.0,276.9,277.0,3712,0
2026-08-14 11:40:00,277.0,277.05,276.9,277.05,7585,0
2026-08-14 11:41:00,277.05,277.05,276.9,277.0,5539,0
2026-08-14 11:42:00,277.0,277.0,276.9,277.0,2855,0
2026-08-14 11:43:00,277.0,277.0,276.9,277.0,4450,0
2026-08-14 11:44:00,277.0,277.0,276.85,276.95,7692,0
2026-08-14 11:45:00,276.95,276.95,276.85,276.85,3582,0
2026-08-14 11:46:00,276.9,276.9,276.85,276.9,4363,0
2026-08-14 11:47:00,276.9,276.9,276.85,276.9,3669,0
2026-08-14 11:48:00,276.9,276.95,276.8,276.8,12057,0
2026-08-14 11:49:00,276.9,276.9,276.7,276.8,19816,0
2026-08-14 11:50:00,276.8,276.8,276.7,276.8,5281,0
2026-08-14 11:51:00,276.8,276.8,276.6,276.8,14323,0
2026-08-14 11:52:00,276.8,276.85,276.65,276.8,12955,0
2026-08-14 11:53:00,276.85,276.9,276.8,276.9,9195,0
2026-08-14 11:54:00,276.9,277.05,276.8,277.05,14928,0
2026-08-14 11:55:00,276.95,277.1,276.85,277.0,9981,0
2026-08-14 11:56:00,277.1,277.1,277.0,277.05,5000,0
2026-08-14 11:57:00,277.1,277.1,277.0,277.0,4017,0
2026-08-14 11:58:00,277.05,277.05,276.95,277.0,11398,0
2026-08-14 11:59:00,277.0,277.0,276.85,276.9,57714,0
2026-08-14 12:00:00,276.9,276.95,276.35,276.7,218394,0
2026-08-14 12:01:00,276.7,276.7,276.25,276.6,93755,0
2026-08-14 12:02:00,276.65,276.7,276.6,276.6,9160,0
2026-08-14 12:03:00,276.7,276.75,276.6,276.75,8895,0
2026-08-14 12:04:00,276.75,276.75,276.6,276.75,10101,0
2026-08-14 12:05:00,276.75,276.75,276.6,276.75,6800,0
2026-08-14 12:06:00,276.75,276.75,276.65,276.75,4972,0
2026-08-14 12:07:00,276.75,276.85,276.7,276.8,8078,0
2026-08-14 12:08:00,276.8,276.85,276.75,276.85,6398,0
2026-08-14 12:09:00,276.85,276.9,276.75,276.8,6010,0
2026-08-14 12:10:00,276.9,276.9,276.8,276.85,4558,0
2026-08-14 12:11:00,276.85,276.9,276.75,276.9,6762,0
2026-08-14 12:12:00,276.9,276.9,276.85,276.9,4978,0
2026-08-14 12:13:00,276.9,276.9,276.85,276.85,5854,0
2026-08-14 12:14:00,276.9,276.95,276.8,276.95,9350,0
2026-08-14 12:15:00,276.95,276.95,276.75,276.9,12438,0
2026-08-14 12:16:00,276.9,276.95,276.75,276.95,22216,0
2026-08-14 12:17:00,276.9,276.95,276.8,276.95,5456,0
2026-08-14 12:18:00,276.95,277.0,276.9,276.9,10262,0
2026-08-14 12:19:00,277.0,277.0,276.9,276.9,5975,0
2026-08-14 12:20:00,277.0,277.0,276.9,276.9,5813,0
2026-08-14 12:21:00,277.0,277.0,276.9,276.9,4371,0
2026-08-14 12:22:00,276.9,277.0,276.9,276.9,7310,0
2026-08-14 12:23:00,277.0,277.0,276.9,277.0,5747,0
2026-08-14 12:24:00,277.0,277.0,276.9,276.95,2712,0
2026-08-14 12:25:00,277.0,277.0,276.85,276.95,15090,0
2026-08-14 12:26:00,276.95,277.0,276.85,276.9,4143,0
2026-08-14 12:27:00,276.95,276.95,276.85,276.85,9003,0
2026-08-14 12:28:00,276.95,277.0,276.85,277.0,7668,0
2026-08-14 12:29:00,277.0,277.0,276.95,277.0,5826,0
2026-08-14 12:30:00,277.0,277.05,276.9,277.0,4400,0
2026-08-14 12:31:00,277.0,277.0,276.9,277.0,3501,0
2026-08-14 12:32:00,276.95,277.05,276.95,277.0,12275,0
2026-08-14 12:33:00,277.05,277.05,276.75,277.0,26752,0
2026-08-14 12:34:00,276.9,277.0,276.85,276.9,5434,0
2026-08-14 12:35:00,277.0,277.0,276.85,277.0,5026,0
2026-08-14 12:36:00,277.0,277.0,276.9,277.0,6204,0
2026-08-14 12:37:00,277.0,277.0,276.9,277.0,4061,0
2026-08-14 12:38:00,277.0,277.0,276.85,276.95,5829,0
2026-08-14 12:39:00,276.95,277.0,276.8,276.8,12565,0
2026-08-14 12:40:00,276.95,276.95,276.85,276.95,6033,0
2026-08-14 12:41:00,276.95,277.0,276.8,277.0,12117,0
2026-08-14 12:42:00,276.95,277.0,276.9,276.9,4672,0
2026-08-14 12:43:00,276.95,277.0,276.85,276.95,4617,0
2026-08-14 12:44:00,276.95,277.0,276.85,276.85,5244,0
2026-08-14 12:45:00,277.0,277.0,276.85,276.9,5179,0
2026-08-14 12:46:00,276.9,276.95,276.8,276.8,5220,0
2026-08-14 12:47:00,276.8,277.0,276.15,276.7,273672,0
2026-08-14 12:48:00,276.7,276.8,276.6,276.8,10252,0
2026-08-14 12:49:00,276.8,276.8,276.55,276.65,16752,0
2026-08-14 12:50:00,276.75,276.75,276.55,276.7,8172,0
2026-08-14 12:51:00,276.7,276.75,276.6,276.65,5435,0
2026-08-14 12:52:00,276.75,276.75,276.6,276.65,9570,0
2026-08-14 12:53:00,276.75,276.75,276.65,276.75,6806,0
2026-08-14 12:54:00,276.75,276.85,276.65,276.85,16530,0
2026-08-14 12:55:00,276.75,276.95,276.75,276.75,7733,0
2026-08-14 12:56:00,276.9,276.9,275.95,276.7,381670,0
2026-08-14 12:57:00,276.75,276.8,276.6,276.8,10180,0
2026-08-14 12:58:00,276.75,276.85,276.6,276.75,11347,0
2026-08-14 12:59:00,276.75,276.85,276.65,276.85,8987,0
2026-08-14 13:00:00,276.8,276.85,276.7,276.8,7306,0
2026-08-14 13:01:00,276.8,276.8,276.65,276.8,4398,0
2026-08-14 13:02:00,276.8,276.85,276.6,276.7,28005,0
2026-08-14 13:03:00,276.7,276.7,276.6,276.6,6260,0
2026-08-14 13:04:00,276.6,276.7,276.45,276.55,16581,0
2026-08-14 13:05:00,276.55,276.6,276.4,276.5,11937,0
2026-08-14 13:06:00,276.5,276.5,276.25,276.25,15271,0
2026-08-14 13:07:00,276.3,276.35,275.95,276.25,243987,0
2026-08-14 13:08:00,276.2,276.4,276.2,276.25,13074,0
2026-08-14 13:09:00,276.25,276.4,276.25,276.35,9245,0
2026-08-14 13:10:00,276.4,276.55,276.35,276.5,7694,0
2026-08-14 13:11:00,276.5,276.55,276.4,276.5,5211,0
2026-08-14 13:12:00,276.45,276.5,276.4,276.5,5767,0
2026-08-14 13:13:00,276.5,276.5,276.4,276.4,4983,0
2026-08-14 13:14:00,276.5,276.55,276.45,276.55,4693,0
2026-08-14 13:15:00,276.55,276.55,276.4,276.5,5962,0
