Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-19 09:15:00,264.0,264.7,263.3,264.2,145019,0
2026-08-19 09:16:00,264.25,264.35,262.6,262.85,116946,0
2026-08-19 09:17:00,263.0,263.0,262.25,262.5,109277,0
2026-08-19 09:18:00,262.3,262.45,261.65,262.15,124537,0
2026-08-19 09:19:00,262.3,262.3,261.5,261.7,122603,0
2026-08-19 09:20:00,261.7,262.0,261.6,261.7,35221,0
2026-08-19 09:21:00,261.7,262.35,261.65,262.2,20937,0
2026-08-19 09:22:00,262.2,262.35,261.95,262.15,28955,0
2026-08-19 09:23:00,262.2,262.4,262.1,262.15,21379,0
2026-08-19 09:24:00,262.1,262.4,262.05,262.35,17728,0
2026-08-19 09:25:00,262.35,262.4,262.25,262.3,17245,0
2026-08-19 09:26:00,262.4,262.65,262.15,262.5,36012,0
2026-08-19 09:27:00,262.5,262.8,262.5,262.75,28783,0
2026-08-19 09:28:00,262.75,262.75,262.3,262.4,19747,0
2026-08-19 09:29:00,262.35,262.55,262.15,262.3,27232,0
2026-08-19 09:30:00,262.3,262.4,262.2,262.35,11723,0
2026-08-19 09:31:00,262.4,262.5,262.15,262.25,21818,0
2026-08-19 09:32:00,262.3,262.35,262.05,262.05,18238,0
2026-08-19 09:33:00,262.15,262.25,261.9,262.0,29067,0
2026-08-19 09:34:00,261.95,262.0,261.8,261.8,28005,0
2026-08-19 09:35:00,261.95,262.0,261.75,261.9,25833,0
2026-08-19 09:36:00,261.9,262.25,261.85,262.2,14118,0
2026-08-19 09:37:00,262.2,262.25,262.0,262.1,12618,0
2026-08-19 09:38:00,262.1,262.2,262.0,262.05,11583,0
2026-08-19 09:39:00,262.1,262.25,262.05,262.25,8854,0
2026-08-19 09:40:00,262.2,262.3,261.95,262.3,22815,0
2026-08-19 09:41:00,262.3,262.3,262.0,262.1,9117,0
2026-08-19 09:42:00,262.1,262.15,262.0,262.0,10678,0
2026-08-19 09:43:00,262.05,262.35,262.0,262.35,16602,0
2026-08-19 09:44:00,262.35,262.4,262.1,262.15,13014,0
2026-08-19 09:45:00,262.15,262.25,262.05,262.2,7415,0
2026-08-19 09:46:00,262.2,262.3,262.15,262.25,10352,0
2026-08-19 09:47:00,262.2,262.2,262.05,262.1,13094,0
2026-08-19 09:48:00,262.1,262.25,262.0,262.1,16165,0
2026-08-19 09:49:00,262.1,262.4,262.05,262.35,11245,0
