Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-20 09:15:00,141.0,141.19,115.95,117.3,2760,45720,26229.15,0.0136986301369863,,,,,
2026-08-20 09:16:00,116.15,117.35,109.5,114.75,5220,45420,26226.35,0.0136986301369863,,,,,
2026-08-20 09:17:00,114.75,114.75,102.1,104.6,5760,44940,26237.95,0.0136986301369863,,,,,
2026-08-20 09:18:00,104.0,104.65,97.25,104.65,6420,48840,26239.9,0.0136986301369863,,,,,
2026-08-20 09:19:00,106.25,107.05,103.5,107.05,1320,52080,26226.1,0.0136986301369863,,,,,
2026-08-20 09:20:00,105.15,106.85,105.15,106.5,360,52260,26220.75,0.0136986301369863,,,,,
2026-08-20 09:21:00,106.8,108.7,104.9,104.9,1200,52320,26224.25,0.0136986301369863,,,,,
2026-08-20 09:22:00,106.45,109.35,106.05,107.7,900,52380,26214.8,0.0136986301369863,,,,,
2026-08-20 09:23:00,108.2,109.2,107.7,107.7,1620,52380,26214.35,0.0136986301369863,,,,,
2026-08-20 09:24:00,107.5,109.7,107.5,108.95,720,52560,26212.7,0.0136986301369863,,,,,
2026-08-20 09:25:00,108.0,108.4,104.25,105.0,2220,53160,26221.8,0.0136986301369863,,,,,
2026-08-20 09:26:00,104.0,105.45,100.85,100.85,1320,54840,26229.25,0.0136986301369863,,,,,
2026-08-20 09:27:00,100.0,100.6,97.75,100.55,3660,54720,26225.85,0.0136986301369863,,,,,
2026-08-20 09:28:00,102.95,102.95,98.45,98.7,1860,55440,26237.35,0.0136986301369863,,,,,
2026-08-20 09:29:00,100.6,103.3,98.05,98.05,1440,55680,26230.85,0.0136986301369863,,,,,
2026-08-20 09:30:00,98.6,98.6,95.85,97.0,2760,55320,26229.8,0.0136986301369863,,,,,
2026-08-20 09:31:00,97.0,97.0,97.0,97.0,0,55320,26222.7,0.0136986301369863,,,,,
2026-08-20 09:32:00,100.2,103.0,100.2,103.0,900,56400,26214.25,0.0136986301369863,,,,,
2026-08-20 09:33:00,101.5,107.4,101.25,105.6,1680,57000,26198.5,0.0136986301369863,,,,,
2026-08-20 09:34:00,107.05,107.05,103.75,105.0,780,58260,26204.0,0.0136986301369863,,,,,
2026-08-20 09:35:00,105.25,105.7,102.0,105.7,300,58080,26201.75,0.0136986301369863,,,,,
2026-08-20 09:36:00,106.3,106.45,104.25,106.45,1320,58200,26199.6,0.0136986301369863,,,,,
2026-08-20 09:37:00,105.7,106.5,104.0,106.5,3480,60180,26203.25,0.0136986301369863,,,,,
2026-08-20 09:38:00,104.25,108.0,104.25,107.55,3540,60960,26199.95,0.0136986301369863,,,,,
2026-08-20 09:39:00,107.5,114.0,107.5,108.2,6480,62280,26202.75,0.0136986301369863,,,,,
2026-08-20 09:40:00,109.2,109.8,107.6,107.6,540,62160,26212.0,0.0136986301369863,,,,,
2026-08-20 09:41:00,107.25,109.55,106.85,109.45,1740,62520,26210.35,0.0136986301369863,,,,,
2026-08-20 09:42:00,109.25,109.35,108.1,108.1,420,62520,26205.25,0.0136986301369863,,,,,
2026-08-20 09:43:00,108.0,108.1,104.55,104.55,600,62940,26214.35,0.0136986301369863,,,,,
2026-08-20 09:44:00,105.0,105.05,100.0,100.0,840,63360,26222.6,0.0136986301369863,,,,,
2026-08-20 09:45:00,102.35,102.35,100.75,100.75,900,63420,26228.45,0.0136986301369863,,,,,
2026-08-20 09:46:00,102.7,102.7,102.7,102.7,60,63420,26220.45,0.0136986301369863,,,,,
2026-08-20 09:47:00,105.65,106.95,104.65,104.65,1740,63120,26215.05,0.0136986301369863,,,,,
2026-08-20 09:48:00,106.3,107.15,105.55,105.55,420,63300,26215.65,0.0136986301369863,,,,,
2026-08-20 09:49:00,105.15,106.95,103.75,106.35,960,63180,26208.05,0.0136986301369863,,,,,
2026-08-20 09:50:00,107.5,107.5,106.4,106.4,360,62340,26204.35,0.0136986301369863,,,,,
2026-08-20 09:51:00,103.75,104.05,102.8,104.05,540,62280,26210.35,0.0136986301369863,,,,,
2026-08-20 09:52:00,101.5,102.3,101.0,101.0,900,62400,26220.45,0.0136986301369863,,,,,
