Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-24 09:15:00,597.05,599.45,530.05,543.7,198740,583160,77737.76,0.00821917808219178,,,,,
2026-08-24 09:16:00,535.75,554.65,535.7,546.65,113600,569760,77749.07,0.00821917808219178,,,,,
2026-08-24 09:17:00,547.4,566.0,547.4,557.5,58140,569760,77774.62,0.00821917808219178,,,,,
2026-08-24 09:18:00,563.6,570.0,556.05,556.05,44600,564220,77767.93,0.00821917808219178,,,,,
2026-08-24 09:19:00,555.0,562.7,553.05,559.5,43620,564220,77745.36,0.00821917808219178,,,,,
2026-08-24 09:20:00,558.6,568.85,558.0,567.35,49200,564220,77765.21,0.00821917808219178,,,,,
2026-08-24 09:21:00,565.9,569.15,558.95,561.8,30940,543240,77744.47,0.00821917808219178,,,,,
2026-08-24 09:22:00,562.75,566.65,553.6,566.65,24680,543240,77746.98,0.00821917808219178,,,,,
2026-08-24 09:23:00,565.45,572.4,564.35,567.15,36500,543240,77760.69,0.00821917808219178,,,,,
2026-08-24 09:24:00,566.8,570.25,560.4,569.25,20620,540620,77740.26,0.00821917808219178,,,,,
2026-08-24 09:25:00,568.65,570.4,561.0,566.5,33780,540620,77747.79,0.00821917808219178,,,,,
2026-08-24 09:26:00,565.6,571.15,563.15,566.65,20200,540620,77738.26,0.00821917808219178,,,,,
2026-08-24 09:27:00,566.65,568.1,560.0,560.15,22560,537140,77742.11,0.00821917808219178,,,,,
2026-08-24 09:28:00,560.0,560.0,539.95,543.0,48240,537140,77700.58,0.00821917808219178,,,,,
2026-08-24 09:29:00,545.6,552.15,540.45,540.45,36460,555500,77701.6,0.00821917808219178,,,,,
2026-08-24 09:30:00,540.95,544.55,533.0,540.9,37220,555500,77694.99,0.00821917808219178,,,,,
2026-08-24 09:31:00,541.1,545.0,524.85,526.3,30200,555500,77671.61,0.00821917808219178,,,,,
2026-08-24 09:32:00,523.5,527.4,517.65,523.75,31540,579080,77666.71,0.00821917808219178,,,,,
2026-08-24 09:33:00,519.0,525.5,516.0,523.35,23240,579080,77656.33,0.00821917808219178,,,,,
