Date,Open,High,Low,Close,Volume,OpenInterest
2026-08-25 09:15:00,34.54,34.54,33.24,34.03,304562,0
2026-08-25 09:16:00,34.06,34.07,33.94,33.96,87151,0
2026-08-25 09:17:00,33.96,34.08,33.94,34.08,30264,0
2026-08-25 09:18:00,34.08,34.08,34.02,34.05,30782,0
2026-08-25 09:19:00,34.04,34.04,34.0,34.03,24775,0
2026-08-25 09:20:00,34.03,34.04,34.0,34.0,24668,0
2026-08-25 09:21:00,34.02,34.03,33.97,34.0,19663,0
2026-08-25 09:22:00,33.99,34.0,33.97,33.99,16142,0
2026-08-25 09:23:00,33.99,34.01,33.97,33.99,12851,0
2026-08-25 09:24:00,33.99,34.0,33.87,33.87,56549,0
2026-08-25 09:25:00,33.87,33.87,33.8,33.82,51337,0
2026-08-25 09:26:00,33.83,33.91,33.82,33.9,40866,0
2026-08-25 09:27:00,33.89,33.9,33.85,33.89,3394,0
2026-08-25 09:28:00,33.87,33.87,33.84,33.86,6386,0
2026-08-25 09:29:00,33.86,33.87,33.82,33.84,15819,0
2026-08-25 09:30:00,33.84,33.86,33.82,33.86,34093,0
2026-08-25 09:31:00,33.86,33.88,33.83,33.88,72383,0
2026-08-25 09:32:00,33.88,33.88,33.83,33.84,27462,0
2026-08-25 09:33:00,33.83,33.84,33.81,33.84,24476,0
2026-08-25 09:34:00,33.84,33.87,33.82,33.85,56667,0
2026-08-25 09:35:00,33.86,33.86,33.84,33.85,16433,0
2026-08-25 09:36:00,33.84,33.86,33.84,33.85,13882,0
2026-08-25 09:37:00,33.84,33.85,33.81,33.83,122844,0
2026-08-25 09:38:00,33.83,33.83,33.82,33.83,3981,0
2026-08-25 09:39:00,33.83,33.85,33.82,33.85,5900,0
2026-08-25 09:40:00,33.85,33.85,33.83,33.84,5198,0
2026-08-25 09:41:00,33.84,33.84,33.81,33.82,17056,0
2026-08-25 09:42:00,33.84,33.84,33.81,33.83,11437,0
2026-08-25 09:43:00,33.81,33.83,33.81,33.83,4704,0
2026-08-25 09:44:00,33.83,33.83,33.79,33.81,359152,0
2026-08-25 09:45:00,33.8,33.8,33.76,33.79,16484,0
2026-08-25 09:46:00,33.79,33.79,33.76,33.79,3691,0
2026-08-25 09:47:00,33.78,33.79,33.78,33.79,9012,0
2026-08-25 09:48:00,33.78,33.78,33.76,33.76,18655,0
2026-08-25 09:49:00,33.75,33.76,33.72,33.75,35855,0
2026-08-25 09:50:00,33.75,33.77,33.74,33.75,9047,0
2026-08-25 09:51:00,33.75,33.75,33.73,33.75,10016,0
2026-08-25 09:52:00,33.75,33.75,33.72,33.73,9919,0
2026-08-25 09:53:00,33.72,33.73,33.71,33.72,3294,0
2026-08-25 09:54:00,33.72,33.73,33.72,33.73,2675,0
2026-08-25 09:55:00,33.73,33.74,33.71,33.73,42265,0
2026-08-25 09:56:00,33.73,33.74,33.72,33.74,4919,0
2026-08-25 09:57:00,33.72,33.78,33.72,33.77,18151,0
2026-08-25 09:58:00,33.77,33.79,33.76,33.78,5931,0
2026-08-25 09:59:00,33.78,33.79,33.77,33.77,7069,0
2026-08-25 10:00:00,33.78,33.78,33.77,33.78,5569,0
2026-08-25 10:01:00,33.78,33.79,33.76,33.76,10184,0
2026-08-25 10:02:00,33.78,33.78,33.76,33.78,15164,0
2026-08-25 10:03:00,33.78,33.81,33.78,33.81,16996,0
2026-08-25 10:04:00,33.81,33.82,33.8,33.82,3243,0
2026-08-25 10:05:00,33.81,33.82,33.81,33.82,8839,0
2026-08-25 10:06:00,33.82,33.82,33.81,33.82,4995,0
2026-08-25 10:07:00,33.82,33.83,33.82,33.83,1384,0
2026-08-25 10:08:00,33.83,33.83,33.81,33.83,6830,0
2026-08-25 10:09:00,33.82,33.84,33.82,33.83,3161,0
2026-08-25 10:10:00,33.83,33.85,33.81,33.84,7224,0
2026-08-25 10:11:00,33.84,33.84,33.83,33.83,1729,0
2026-08-25 10:12:00,33.83,33.84,33.83,33.83,931,0
2026-08-25 10:13:00,33.84,33.84,33.82,33.82,7846,0
2026-08-25 10:14:00,33.84,33.84,33.82,33.84,2746,0
2026-08-25 10:15:00,33.84,33.86,33.83,33.86,73114,0
2026-08-25 10:16:00,33.86,33.87,33.85,33.87,3589,0
2026-08-25 10:17:00,33.87,33.88,33.85,33.85,19653,0
2026-08-25 10:18:00,33.85,33.88,33.85,33.87,1960,0
2026-08-25 10:19:00,33.86,33.86,33.82,33.84,6009,0
2026-08-25 10:20:00,33.83,33.84,33.79,33.82,11213,0
2026-08-25 10:21:00,33.82,33.82,33.79,33.82,6577,0
2026-08-25 10:22:00,33.82,33.82,33.8,33.82,12484,0
2026-08-25 10:23:00,33.8,33.82,33.79,33.8,1878,0
2026-08-25 10:24:00,33.8,33.81,33.79,33.81,38231,0
2026-08-25 10:25:00,33.81,33.82,33.79,33.82,12721,0
2026-08-25 10:26:00,33.81,33.82,33.81,33.82,1522,0
2026-08-25 10:27:00,33.81,33.82,33.79,33.81,46009,0
2026-08-25 10:28:00,33.81,33.81,33.8,33.81,6244,0
2026-08-25 10:29:00,33.81,33.81,33.8,33.8,3070,0
2026-08-25 10:30:00,33.8,33.82,33.78,33.82,28824,0
2026-08-25 10:31:00,33.82,33.82,33.79,33.81,19556,0
2026-08-25 10:32:00,33.79,33.81,33.79,33.81,1633,0
2026-08-25 10:33:00,33.81,33.81,33.79,33.81,1992,0
2026-08-25 10:34:00,33.81,33.81,33.8,33.8,679,0
2026-08-25 10:35:00,33.81,33.81,33.8,33.81,1207,0
2026-08-25 10:36:00,33.81,33.82,33.79,33.82,7814,0
2026-08-25 10:37:00,33.8,33.82,33.79,33.81,8780,0
2026-08-25 10:38:00,33.81,33.81,33.79,33.81,1794,0
2026-08-25 10:39:00,33.81,33.82,33.79,33.81,22861,0
2026-08-25 10:40:00,33.81,33.81,33.79,33.81,4676,0
2026-08-25 10:41:00,33.81,33.81,33.79,33.8,1369,0
2026-08-25 10:42:00,33.8,33.81,33.79,33.81,1968,0
2026-08-25 10:43:00,33.81,33.81,33.81,33.81,424,0
2026-08-25 10:44:00,33.81,33.81,33.8,33.81,2013,0
2026-08-25 10:45:00,33.8,33.81,33.79,33.81,13875,0
2026-08-25 10:46:00,33.81,33.81,33.79,33.81,4498,0
2026-08-25 10:47:00,33.81,33.82,33.8,33.82,37298,0
2026-08-25 10:48:00,33.82,33.83,33.81,33.83,2973,0
2026-08-25 10:49:00,33.81,33.83,33.81,33.83,1478,0
2026-08-25 10:50:00,33.83,33.83,33.81,33.83,5688,0
2026-08-25 10:51:00,33.83,33.83,33.81,33.81,4072,0
2026-08-25 10:52:00,33.83,33.83,33.8,33.81,4491,0
2026-08-25 10:53:00,33.81,33.81,33.78,33.79,10383,0
2026-08-25 10:54:00,33.79,33.79,33.77,33.79,4645,0
2026-08-25 10:55:00,33.79,33.79,33.77,33.77,10744,0
2026-08-25 10:56:00,33.79,33.8,33.77,33.8,8606,0
2026-08-25 10:57:00,33.8,33.8,33.77,33.79,12009,0
2026-08-25 10:58:00,33.79,33.81,33.79,33.79,763,0
2026-08-25 10:59:00,33.8,33.8,33.77,33.78,6266,0
2026-08-25 11:00:00,33.78,33.8,33.77,33.8,3532,0
2026-08-25 11:01:00,33.8,33.81,33.78,33.8,2028,0
2026-08-25 11:02:00,33.8,33.81,33.78,33.81,6871,0
2026-08-25 11:03:00,33.8,33.81,33.8,33.8,734,0
2026-08-25 11:04:00,33.8,33.82,33.79,33.82,3341,0
2026-08-25 11:05:00,33.82,33.83,33.8,33.81,2614,0
2026-08-25 11:06:00,33.8,33.82,33.8,33.82,1806,0
2026-08-25 11:07:00,33.82,33.83,33.81,33.83,1414,0
2026-08-25 11:08:00,33.82,33.82,33.8,33.8,2308,0
2026-08-25 11:09:00,33.81,33.81,33.79,33.81,3134,0
2026-08-25 11:10:00,33.81,33.81,33.78,33.78,5164,0
2026-08-25 11:11:00,33.8,33.8,33.8,33.8,976,0
2026-08-25 11:12:00,33.78,33.8,33.77,33.79,6195,0
2026-08-25 11:13:00,33.79,33.79,33.77,33.79,2835,0
2026-08-25 11:14:00,33.79,33.8,33.77,33.79,929,0
2026-08-25 11:15:00,33.79,33.8,33.78,33.8,2080,0
2026-08-25 11:16:00,33.8,33.81,33.78,33.81,7032,0
2026-08-25 11:17:00,33.79,33.81,33.78,33.81,20168,0
2026-08-25 11:18:00,33.8,33.81,33.79,33.81,6966,0
2026-08-25 11:19:00,33.81,33.83,33.8,33.82,8205,0
2026-08-25 11:20:00,33.82,33.83,33.82,33.83,1526,0
2026-08-25 11:21:00,33.82,33.83,33.82,33.83,7875,0
2026-08-25 11:22:00,33.83,33.86,33.83,33.83,1212,0
2026-08-25 11:23:00,33.85,33.85,33.82,33.84,2370,0
2026-08-25 11:24:00,33.84,33.84,33.81,33.83,1340,0
2026-08-25 11:25:00,33.84,33.84,33.82,33.84,1536,0
2026-08-25 11:26:00,33.84,33.84,33.83,33.84,9271,0
2026-08-25 11:27:00,33.84,33.84,33.82,33.82,3898,0
2026-08-25 11:28:00,33.82,33.84,33.82,33.82,2902,0
2026-08-25 11:29:00,33.82,33.84,33.82,33.84,1450,0
2026-08-25 11:30:00,33.84,33.84,33.82,33.84,19243,0
2026-08-25 11:31:00,33.84,33.85,33.84,33.84,3297,0
2026-08-25 11:32:00,33.84,33.84,33.82,33.84,896,0
2026-08-25 11:33:00,33.84,33.84,33.82,33.84,3942,0
2026-08-25 11:34:00,33.84,33.84,33.82,33.84,4647,0
2026-08-25 11:35:00,33.84,33.84,33.84,33.84,6039,0
2026-08-25 11:36:00,33.84,33.85,33.83,33.84,332,0
2026-08-25 11:37:00,33.84,33.84,33.83,33.83,2041,0
2026-08-25 11:38:00,33.85,33.85,33.83,33.83,184,0
2026-08-25 11:39:00,33.85,33.85,33.83,33.85,727,0
2026-08-25 11:40:00,33.84,33.85,33.84,33.85,2363,0
2026-08-25 11:41:00,33.85,33.85,33.84,33.85,3070,0
2026-08-25 11:42:00,33.85,33.85,33.83,33.85,11321,0
2026-08-25 11:43:00,33.85,33.85,33.82,33.83,2413,0
2026-08-25 11:44:00,33.83,33.84,33.82,33.84,356,0
2026-08-25 11:45:00,33.84,33.84,33.82,33.82,1721,0
2026-08-25 11:46:00,33.84,33.84,33.81,33.81,32952,0
2026-08-25 11:47:00,33.84,33.84,33.81,33.83,13855,0
2026-08-25 11:48:00,33.81,33.84,33.8,33.81,2759,0
2026-08-25 11:49:00,33.82,33.83,33.8,33.81,10049,0
2026-08-25 11:50:00,33.81,33.82,33.8,33.82,16599,0
2026-08-25 11:51:00,33.82,33.82,33.81,33.82,2599,0
2026-08-25 11:52:00,33.82,33.82,33.8,33.82,1120,0
2026-08-25 11:53:00,33.82,33.82,33.82,33.82,26665,0
2026-08-25 11:54:00,33.83,33.84,33.82,33.83,3513,0
2026-08-25 11:55:00,33.84,33.85,33.84,33.85,57742,0
2026-08-25 11:56:00,33.85,33.85,33.84,33.84,33773,0
2026-08-25 11:57:00,33.85,33.85,33.84,33.85,20387,0
2026-08-25 11:58:00,33.85,33.85,33.84,33.85,9184,0
2026-08-25 11:59:00,33.85,33.85,33.84,33.85,336,0
2026-08-25 12:00:00,33.85,33.85,33.83,33.84,11203,0
2026-08-25 12:01:00,33.83,33.84,33.82,33.84,4047,0
2026-08-25 12:02:00,33.83,33.83,33.82,33.83,1982,0
2026-08-25 12:03:00,33.83,33.83,33.81,33.82,6949,0
2026-08-25 12:04:00,33.81,33.82,33.79,33.79,12063,0
2026-08-25 12:05:00,33.79,33.8,33.78,33.8,57065,0
2026-08-25 12:06:00,33.78,33.81,33.78,33.81,2677,0
2026-08-25 12:07:00,33.78,33.81,33.78,33.78,24474,0
2026-08-25 12:08:00,33.78,33.8,33.78,33.79,26694,0
2026-08-25 12:09:00,33.79,33.79,33.78,33.78,83334,0
2026-08-25 12:10:00,33.77,33.79,33.77,33.79,7116,0
2026-08-25 12:11:00,33.79,33.79,33.78,33.79,3589,0
2026-08-25 12:12:00,33.79,33.79,33.79,33.79,2099,0
2026-08-25 12:13:00,33.79,33.8,33.78,33.78,1442,0
2026-08-25 12:14:00,33.78,33.8,33.78,33.79,769,0
2026-08-25 12:15:00,33.79,33.81,33.79,33.79,3088,0
2026-08-25 12:16:00,33.8,33.81,33.79,33.81,3799,0
