Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-26 09:15:00,202.5,202.5,120.85,121.0,1080,3270,65527.53,0.0027397260273972603,,,,,
2026-08-26 09:16:00,120.85,124.7,117.0,120.05,1500,3870,65543.78,0.0027397260273972603,,,,,
2026-08-26 09:17:00,122.7,124.2,118.9,121.5,2190,3870,65534.18,0.0027397260273972603,,,,,
2026-08-26 09:18:00,119.05,130.9,114.55,130.9,2910,5130,65485.35,0.0027397260273972603,,,,,
2026-08-26 09:19:00,131.35,133.6,123.35,124.6,2340,5130,65501.8,0.0027397260273972603,,,,,
2026-08-26 09:20:00,123.6,123.6,117.15,117.15,1170,5130,65535.62,0.0027397260273972603,,,,,
2026-08-26 09:21:00,118.6,124.45,97.7,97.85,2970,6900,65599.3,0.0027397260273972603,,,,,
2026-08-26 09:22:00,96.5,100.0,91.1,99.3,2460,6900,65601.39,0.0027397260273972603,,,,,
2026-08-26 09:23:00,96.35,100.35,95.2,100.0,750,6900,65600.24,0.0027397260273972603,,,,,
2026-08-26 09:24:00,99.2,99.2,95.85,97.8,420,7650,65615.19,0.0027397260273972603,,,,,
2026-08-26 09:25:00,96.75,97.8,95.9,96.0,1410,7650,65614.51,0.0027397260273972603,,,,,
2026-08-26 09:26:00,95.0,95.0,81.0,83.7,3570,7650,65669.69,0.0027397260273972603,,,,,
2026-08-26 09:27:00,83.4,88.6,79.45,88.6,1920,9000,65648.87,0.0027397260273972603,,,,,
2026-08-26 09:28:00,91.3,92.0,87.65,90.2,1230,9000,65633.71,0.0027397260273972603,,,,,
2026-08-26 09:29:00,90.75,91.8,87.5,87.5,1020,8370,65656.83,0.0027397260273972603,,,,,
2026-08-26 09:30:00,88.95,89.3,83.3,86.6,2220,8370,65643.69,0.0027397260273972603,,,,,
2026-08-26 09:31:00,87.25,92.75,87.25,89.25,5550,8370,65645.34,0.0027397260273972603,,,,,
2026-08-26 09:32:00,87.6,88.7,87.15,88.3,1710,12390,65655.94,0.0027397260273972603,,,,,
2026-08-26 09:33:00,88.75,88.75,79.1,85.2,4380,12390,65661.26,0.0027397260273972603,,,,,
2026-08-26 09:34:00,88.5,93.25,88.5,91.05,2490,12390,65645.91,0.0027397260273972603,,,,,
2026-08-26 09:35:00,91.95,92.05,89.35,89.75,1680,15090,65643.78,0.0027397260273972603,,,,,
2026-08-26 09:36:00,93.9,100.5,93.9,97.95,930,15090,65582.06,0.0027397260273972603,,,,,
2026-08-26 09:37:00,97.95,97.95,83.0,83.05,2220,14970,65603.52,0.0027397260273972603,,,,,
2026-08-26 09:38:00,84.4,85.15,77.5,80.3,7020,14970,65634.31,0.0027397260273972603,,,,,
2026-08-26 09:39:00,79.85,81.2,79.6,80.8,3240,14970,65634.59,0.0027397260273972603,,,,,
2026-08-26 09:40:00,78.5,78.5,72.55,75.45,3750,20970,65673.81,0.0027397260273972603,,,,,
2026-08-26 09:41:00,74.8,77.95,73.25,73.9,3660,20970,65686.84,0.0027397260273972603,,,,,
2026-08-26 09:42:00,74.55,78.85,74.55,75.75,2910,20970,65648.56,0.0027397260273972603,,,,,
2026-08-26 09:43:00,78.45,78.45,75.5,75.6,1860,25590,65648.37,0.0027397260273972603,,,,,
2026-08-26 09:44:00,74.95,77.0,71.35,75.6,3420,25590,65645.25,0.0027397260273972603,,,,,
2026-08-26 09:45:00,75.8,76.95,71.9,71.9,1680,25590,65656.62,0.0027397260273972603,,,,,
2026-08-26 09:46:00,72.4,76.05,72.15,75.15,2190,27450,65652.87,0.0027397260273972603,,,,,
2026-08-26 09:47:00,75.0,76.25,72.25,75.5,2430,27450,65624.43,0.0027397260273972603,,,,,
2026-08-26 09:48:00,75.55,77.85,73.8,77.85,2160,25440,65613.02,0.0027397260273972603,,,,,
2026-08-26 09:49:00,76.9,80.5,75.85,79.8,1740,25440,65604.89,0.0027397260273972603,,,,,
2026-08-26 09:50:00,79.0,79.0,76.05,76.9,1650,25440,65618.17,0.0027397260273972603,,,,,
2026-08-26 09:51:00,76.0,76.0,74.9,75.95,660,25770,65624.5,0.0027397260273972603,,,,,
2026-08-26 09:52:00,75.95,77.05,75.95,77.05,90,25770,65622.59,0.0027397260273972603,,,,,
2026-08-26 09:53:00,77.55,77.55,75.0,76.2,660,25770,65620.61,0.0027397260273972603,,,,,
