Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-03 09:15:00,337.4,339.05,336.45,336.75,49331,0
2026-09-03 09:16:00,336.6,337.45,336.6,337.45,11839,0
2026-09-03 09:17:00,337.4,337.4,336.75,336.75,8888,0
2026-09-03 09:18:00,337.1,337.1,336.0,336.05,22945,0
2026-09-03 09:19:00,335.85,336.45,335.7,336.0,16779,0
2026-09-03 09:20:00,336.0,336.0,335.75,335.9,7200,0
2026-09-03 09:21:00,335.95,336.0,335.15,335.2,10269,0
2026-09-03 09:22:00,335.3,335.45,335.0,335.05,8106,0
2026-09-03 09:23:00,335.1,335.1,334.3,334.5,10443,0
2026-09-03 09:24:00,334.5,334.5,334.1,334.3,3595,0
2026-09-03 09:25:00,334.2,334.2,333.5,333.95,12228,0
2026-09-03 09:26:00,334.25,334.25,333.8,333.8,8706,0
2026-09-03 09:27:00,333.8,334.1,333.5,333.7,11901,0
2026-09-03 09:28:00,333.85,333.95,333.85,333.95,1040,0
2026-09-03 09:29:00,334.15,334.45,334.15,334.25,12478,0
2026-09-03 09:30:00,334.3,334.45,334.3,334.3,3205,0
2026-09-03 09:31:00,334.35,334.55,334.3,334.3,8387,0
2026-09-03 09:32:00,334.5,334.9,334.5,334.9,8346,0
2026-09-03 09:33:00,334.7,335.05,334.7,334.85,1949,0
2026-09-03 09:34:00,334.85,334.85,334.65,334.65,3496,0
2026-09-03 09:35:00,334.85,334.85,334.45,334.65,3498,0
2026-09-03 09:36:00,334.6,334.6,334.4,334.6,9109,0
2026-09-03 09:37:00,334.5,334.5,334.15,334.25,8182,0
2026-09-03 09:38:00,334.2,334.75,334.2,334.45,11869,0
2026-09-03 09:39:00,334.55,334.6,334.45,334.55,1940,0
2026-09-03 09:40:00,334.45,334.65,334.45,334.65,8117,0
2026-09-03 09:41:00,334.95,334.95,334.6,334.6,13764,0
2026-09-03 09:42:00,334.65,334.65,334.5,334.65,10344,0
2026-09-03 09:43:00,334.55,334.65,334.55,334.65,542,0
2026-09-03 09:44:00,334.65,334.65,334.5,334.5,2191,0
2026-09-03 09:45:00,334.75,335.2,334.7,335.2,8404,0
2026-09-03 09:46:00,335.3,335.3,334.85,335.1,18919,0
2026-09-03 09:47:00,335.1,335.15,335.05,335.15,1805,0
2026-09-03 09:48:00,335.15,335.25,335.0,335.05,4451,0
2026-09-03 09:49:00,335.1,335.15,335.1,335.15,939,0
2026-09-03 09:50:00,335.15,335.35,335.15,335.25,2592,0
2026-09-03 09:51:00,335.25,335.35,335.05,335.05,12258,0
2026-09-03 09:52:00,334.85,335.1,334.85,335.05,9322,0
2026-09-03 09:53:00,335.1,335.1,334.85,334.9,1076,0
2026-09-03 09:54:00,334.95,335.05,334.8,334.8,2863,0
2026-09-03 09:55:00,334.75,334.9,334.75,334.75,3135,0
2026-09-03 09:56:00,334.7,334.75,334.5,334.55,7701,0
2026-09-03 09:57:00,334.4,334.65,334.4,334.65,3405,0
2026-09-03 09:58:00,334.55,335.4,334.55,335.05,15780,0
2026-09-03 09:59:00,335.15,335.7,335.15,335.65,7296,0
2026-09-03 10:00:00,335.55,335.7,335.1,335.1,23169,0
2026-09-03 10:01:00,335.35,335.45,335.2,335.25,5096,0
2026-09-03 10:02:00,335.35,335.35,335.1,335.25,722,0
2026-09-03 10:03:00,335.25,335.5,335.2,335.5,3581,0
2026-09-03 10:04:00,335.5,335.5,335.4,335.4,5668,0
2026-09-03 10:05:00,335.3,335.3,335.1,335.1,979,0
2026-09-03 10:06:00,335.25,335.25,334.95,334.95,8195,0
2026-09-03 10:07:00,335.15,335.15,334.95,335.15,6660,0
2026-09-03 10:08:00,335.15,335.15,335.05,335.05,173,0
2026-09-03 10:09:00,335.05,335.15,335.05,335.05,1951,0
2026-09-03 10:10:00,335.5,335.55,335.4,335.5,7228,0
2026-09-03 10:11:00,335.5,335.5,335.4,335.4,5839,0
2026-09-03 10:12:00,335.35,335.4,335.0,335.15,37875,0
2026-09-03 10:13:00,335.35,335.35,335.15,335.35,11674,0
2026-09-03 10:14:00,335.35,335.65,335.35,335.5,17308,0
2026-09-03 10:15:00,335.6,335.65,335.2,335.2,11228,0
2026-09-03 10:16:00,335.2,335.2,335.0,335.05,371,0
2026-09-03 10:17:00,334.9,334.95,334.8,334.9,876,0
2026-09-03 10:18:00,334.85,335.2,334.85,335.15,3629,0
2026-09-03 10:19:00,335.2,335.2,335.0,335.15,558,0
2026-09-03 10:20:00,335.0,335.2,335.0,335.2,708,0
2026-09-03 10:21:00,335.2,335.3,335.15,335.15,7247,0
2026-09-03 10:22:00,335.25,335.25,335.0,335.15,13290,0
2026-09-03 10:23:00,334.85,334.85,334.3,334.45,20923,0
2026-09-03 10:24:00,334.4,334.45,334.2,334.25,4987,0
2026-09-03 10:25:00,334.45,334.5,334.45,334.45,2028,0
2026-09-03 10:26:00,334.45,334.5,334.15,334.4,2922,0
2026-09-03 10:27:00,334.55,334.55,334.25,334.35,2698,0
2026-09-03 10:28:00,334.35,334.5,334.35,334.4,2392,0
2026-09-03 10:29:00,334.45,334.6,334.45,334.45,1332,0
2026-09-03 10:30:00,334.6,334.6,334.45,334.6,5534,0
2026-09-03 10:31:00,334.6,334.8,334.6,334.7,5234,0
2026-09-03 10:32:00,334.75,334.85,334.55,334.85,9335,0
2026-09-03 10:33:00,334.65,334.95,334.5,334.55,8796,0
2026-09-03 10:34:00,334.6,334.75,334.6,334.65,393,0
2026-09-03 10:35:00,334.6,334.6,334.35,334.35,1314,0
2026-09-03 10:36:00,334.3,334.4,334.25,334.4,1263,0
2026-09-03 10:37:00,334.25,334.35,334.25,334.25,1014,0
2026-09-03 10:38:00,334.25,334.7,334.25,334.55,33717,0
2026-09-03 10:39:00,334.45,334.55,334.45,334.55,612,0
2026-09-03 10:40:00,334.55,334.65,334.4,334.4,22508,0
2026-09-03 10:41:00,334.55,334.6,334.1,334.1,8906,0
2026-09-03 10:42:00,334.1,334.25,334.1,334.1,581,0
2026-09-03 10:43:00,334.25,334.65,334.2,334.45,8890,0
2026-09-03 10:44:00,334.55,334.65,334.45,334.5,1141,0
2026-09-03 10:45:00,334.5,334.5,334.2,334.2,2662,0
2026-09-03 10:46:00,334.35,334.4,334.25,334.3,2627,0
2026-09-03 10:47:00,334.35,334.35,334.25,334.25,1290,0
2026-09-03 10:48:00,334.35,334.35,334.15,334.2,2553,0
2026-09-03 10:49:00,334.25,334.25,333.95,334.0,34233,0
2026-09-03 10:50:00,333.9,334.05,333.9,334.05,2203,0
2026-09-03 10:51:00,334.05,334.05,333.75,333.8,5328,0
2026-09-03 10:52:00,333.9,334.0,333.8,333.8,2333,0
2026-09-03 10:53:00,334.0,334.0,333.85,334.0,960,0
2026-09-03 10:54:00,334.0,334.0,333.8,333.8,16334,0
2026-09-03 10:55:00,333.8,333.8,333.65,333.7,6918,0
2026-09-03 10:56:00,333.8,334.05,333.65,333.9,13918,0
2026-09-03 10:57:00,334.1,334.1,333.95,334.05,153,0
2026-09-03 10:58:00,334.0,334.1,334.0,334.05,820,0
2026-09-03 10:59:00,334.05,334.05,333.9,333.9,4882,0
2026-09-03 11:00:00,333.85,333.85,333.65,333.8,1635,0
2026-09-03 11:01:00,333.8,333.85,333.75,333.8,339,0
2026-09-03 11:02:00,333.8,333.8,333.65,333.65,7249,0
2026-09-03 11:03:00,333.7,333.7,333.55,333.7,2713,0
2026-09-03 11:04:00,333.7,334.55,333.55,334.55,32982,0
2026-09-03 11:05:00,334.55,334.7,334.3,334.3,8328,0
2026-09-03 11:06:00,334.45,334.6,334.4,334.5,3957,0
2026-09-03 11:07:00,334.6,334.65,334.45,334.45,3164,0
2026-09-03 11:08:00,334.65,334.75,334.6,334.75,21543,0
2026-09-03 11:09:00,334.4,335.35,334.4,334.9,29757,0
2026-09-03 11:10:00,334.9,335.1,334.9,335.1,4924,0
2026-09-03 11:11:00,335.1,335.2,334.95,335.2,5752,0
2026-09-03 11:12:00,335.05,335.2,335.0,335.1,3378,0
2026-09-03 11:13:00,335.25,335.25,335.0,335.15,3574,0
2026-09-03 11:14:00,335.1,335.1,334.8,335.0,3672,0
2026-09-03 11:15:00,335.15,335.15,334.9,335.0,3601,0
2026-09-03 11:16:00,335.1,335.55,335.1,335.55,27956,0
2026-09-03 11:17:00,335.55,335.65,335.55,335.65,3497,0
2026-09-03 11:18:00,335.65,335.7,335.6,335.65,3065,0
2026-09-03 11:19:00,335.7,335.85,335.7,335.85,4110,0
2026-09-03 11:20:00,335.85,336.0,335.85,335.85,4727,0
2026-09-03 11:21:00,335.85,335.85,335.65,335.7,9325,0
2026-09-03 11:22:00,335.7,335.85,335.6,335.6,6832,0
2026-09-03 11:23:00,335.8,335.85,335.7,335.8,3312,0
2026-09-03 11:24:00,335.8,335.8,335.55,335.7,3044,0
2026-09-03 11:25:00,335.7,335.7,335.35,335.6,6437,0
2026-09-03 11:26:00,335.6,336.2,335.6,336.2,16116,0
2026-09-03 11:27:00,336.15,336.65,336.15,336.45,5037,0
2026-09-03 11:28:00,336.65,336.8,336.45,336.8,2986,0
2026-09-03 11:29:00,336.75,336.75,336.6,336.65,4180,0
2026-09-03 11:30:00,336.8,336.85,336.65,336.75,2122,0
2026-09-03 11:31:00,336.9,336.9,336.65,336.85,1600,0
2026-09-03 11:32:00,336.85,337.1,336.85,336.95,17176,0
2026-09-03 11:33:00,337.1,337.15,336.9,337.1,4631,0
2026-09-03 11:34:00,336.95,337.1,336.9,336.9,2087,0
2026-09-03 11:35:00,337.05,337.1,336.9,337.1,4572,0
2026-09-03 11:36:00,337.0,337.2,337.0,337.2,5830,0
2026-09-03 11:37:00,337.2,337.2,337.0,337.0,1539,0
2026-09-03 11:38:00,337.1,337.1,337.0,337.1,1859,0
2026-09-03 11:39:00,337.15,337.2,336.9,336.9,2781,0
2026-09-03 11:40:00,337.05,337.05,336.5,336.8,41729,0
2026-09-03 11:41:00,336.8,336.8,336.6,336.6,3408,0
2026-09-03 11:42:00,336.3,336.55,336.3,336.55,40119,0
2026-09-03 11:43:00,336.55,336.65,336.35,336.45,2131,0
2026-09-03 11:44:00,336.6,336.65,336.45,336.5,1980,0
2026-09-03 11:45:00,336.65,336.75,336.5,336.6,3297,0
2026-09-03 11:46:00,336.8,336.8,336.45,336.45,2650,0
2026-09-03 11:47:00,336.65,336.65,336.45,336.55,2201,0
2026-09-03 11:48:00,336.55,336.55,336.3,336.45,9620,0
2026-09-03 11:49:00,336.55,336.6,336.45,336.6,2136,0
2026-09-03 11:50:00,336.5,336.5,335.1,335.2,126450,0
2026-09-03 11:51:00,335.35,335.4,335.15,335.4,3554,0
2026-09-03 11:52:00,335.4,335.45,335.2,335.2,7706,0
2026-09-03 11:53:00,335.15,335.15,335.0,335.0,2460,0
2026-09-03 11:54:00,335.1,335.15,335.1,335.15,3450,0
2026-09-03 11:55:00,335.15,335.2,335.0,335.1,5118,0
2026-09-03 11:56:00,335.2,335.2,334.95,335.1,2938,0
2026-09-03 11:57:00,335.1,335.3,335.1,335.25,2390,0
2026-09-03 11:58:00,335.25,335.35,335.1,335.35,3489,0
2026-09-03 11:59:00,335.35,335.45,335.25,335.25,6237,0
2026-09-03 12:00:00,335.35,335.35,335.25,335.35,2968,0
2026-09-03 12:01:00,335.25,335.35,335.05,335.3,3065,0
2026-09-03 12:02:00,335.25,335.25,334.9,334.9,8331,0
