Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-04 09:15:00,672.55,675.85,672.55,673.85,113495,0
2026-09-04 09:16:00,674.9,679.9,674.9,678.25,94199,0
2026-09-04 09:17:00,678.45,683.9,678.45,683.5,93558,0
2026-09-04 09:18:00,683.5,686.0,683.05,685.0,110415,0
2026-09-04 09:19:00,685.05,687.0,685.0,685.5,85840,0
2026-09-04 09:20:00,686.1,688.0,685.5,687.8,85395,0
2026-09-04 09:21:00,687.6,694.0,687.6,690.0,248513,0
2026-09-04 09:22:00,689.85,690.2,681.9,682.8,170089,0
2026-09-04 09:23:00,682.9,684.85,682.0,683.2,138745,0
2026-09-04 09:24:00,683.7,686.3,683.5,683.85,126519,0
2026-09-04 09:25:00,684.15,687.7,684.15,687.3,87515,0
2026-09-04 09:26:00,687.7,690.0,687.35,690.0,124332,0
2026-09-04 09:27:00,689.85,690.75,688.8,689.75,77934,0
2026-09-04 09:28:00,689.9,689.9,685.95,689.65,69567,0
2026-09-04 09:29:00,689.85,691.75,689.6,691.1,63652,0
2026-09-04 09:30:00,691.5,693.4,691.5,692.65,67898,0
2026-09-04 09:31:00,692.65,693.0,691.15,691.45,75334,0
2026-09-04 09:32:00,691.65,692.7,691.5,692.0,66362,0
2026-09-04 09:33:00,692.0,692.55,690.9,691.4,48179,0
2026-09-04 09:34:00,691.4,693.5,690.95,693.15,73286,0
2026-09-04 09:35:00,693.15,694.65,693.0,693.5,104884,0
2026-09-04 09:36:00,694.0,694.8,693.5,694.15,66753,0
2026-09-04 09:37:00,694.5,694.65,693.25,694.3,72727,0
2026-09-04 09:38:00,694.25,694.55,693.35,693.7,64604,0
2026-09-04 09:39:00,693.85,693.85,692.2,693.15,58465,0
2026-09-04 09:40:00,693.45,693.75,692.6,693.7,38220,0
2026-09-04 09:41:00,693.95,694.0,693.05,693.2,37579,0
2026-09-04 09:42:00,693.5,694.2,693.0,694.15,42806,0
2026-09-04 09:43:00,694.15,694.15,693.25,693.75,18272,0
2026-09-04 09:44:00,693.75,693.9,693.0,693.45,25888,0
2026-09-04 09:45:00,693.45,693.5,692.4,692.7,46838,0
2026-09-04 09:46:00,692.8,692.8,690.3,690.7,73560,0
2026-09-04 09:47:00,689.65,690.0,689.0,689.35,58266,0
2026-09-04 09:48:00,689.35,689.9,688.55,689.45,52875,0
2026-09-04 09:49:00,689.2,690.2,689.0,689.4,47579,0
2026-09-04 09:50:00,689.35,689.8,687.8,688.0,53141,0
2026-09-04 09:51:00,687.85,689.2,687.5,688.55,52254,0
2026-09-04 09:52:00,688.8,693.7,688.8,693.5,75840,0
2026-09-04 09:53:00,693.5,694.2,692.95,692.95,41655,0
2026-09-04 09:54:00,692.95,693.35,690.95,691.45,104631,0
2026-09-04 09:55:00,690.9,691.15,688.15,688.25,65985,0
