Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-08 09:15:00,486.4,486.4,482.8,483.3,11370,0
2026-09-08 09:16:00,483.55,484.8,483.5,484.5,6661,0
2026-09-08 09:17:00,484.5,484.9,484.25,484.85,1874,0
2026-09-08 09:18:00,484.85,487.0,484.7,486.6,9255,0
2026-09-08 09:19:00,486.6,486.75,485.85,486.2,4611,0
2026-09-08 09:20:00,485.8,486.3,485.8,486.15,4461,0
2026-09-08 09:21:00,486.15,486.25,486.0,486.05,2583,0
2026-09-08 09:22:00,486.0,486.45,485.85,486.4,647,0
2026-09-08 09:23:00,486.25,486.7,486.2,486.45,1668,0
2026-09-08 09:24:00,486.45,487.0,486.4,486.85,3176,0
2026-09-08 09:25:00,486.85,487.25,486.8,486.9,3613,0
2026-09-08 09:26:00,486.9,486.9,486.5,486.7,1695,0
2026-09-08 09:27:00,486.5,486.65,486.5,486.65,402,0
2026-09-08 09:28:00,486.55,487.0,486.45,486.6,3522,0
2026-09-08 09:29:00,486.6,487.15,486.6,487.15,2220,0
2026-09-08 09:30:00,487.0,487.1,486.85,487.05,393,0
2026-09-08 09:31:00,487.0,487.4,486.8,487.25,2230,0
2026-09-08 09:32:00,487.3,488.25,487.3,488.0,9763,0
2026-09-08 09:33:00,488.25,488.6,488.05,488.4,2788,0
2026-09-08 09:34:00,488.5,488.55,488.0,488.5,6235,0
2026-09-08 09:35:00,488.5,488.6,488.4,488.6,847,0
2026-09-08 09:36:00,488.6,488.6,488.35,488.35,3720,0
2026-09-08 09:37:00,488.35,488.35,487.7,487.9,6932,0
2026-09-08 09:38:00,487.7,487.8,487.05,487.5,5125,0
2026-09-08 09:39:00,487.5,487.9,487.4,487.5,6810,0
2026-09-08 09:40:00,487.5,487.5,487.4,487.4,371,0
2026-09-08 09:41:00,487.5,487.5,487.15,487.15,3533,0
2026-09-08 09:42:00,487.3,487.3,487.0,487.0,1978,0
2026-09-08 09:43:00,487.0,487.4,486.85,487.4,4546,0
2026-09-08 09:44:00,487.4,487.4,487.0,487.15,1620,0
2026-09-08 09:45:00,487.3,487.35,487.3,487.35,175,0
2026-09-08 09:46:00,487.35,487.35,487.1,487.1,1029,0
2026-09-08 09:47:00,487.1,487.3,487.1,487.25,407,0
2026-09-08 09:48:00,487.25,487.25,486.9,487.0,1720,0
2026-09-08 09:49:00,487.05,487.25,487.0,487.05,1342,0
2026-09-08 09:50:00,487.25,487.25,487.05,487.05,667,0
2026-09-08 09:51:00,487.05,487.25,487.05,487.15,247,0
2026-09-08 09:52:00,487.15,487.25,487.1,487.25,1451,0
2026-09-08 09:53:00,487.25,487.25,487.1,487.25,1125,0
2026-09-08 09:54:00,487.25,487.35,487.1,487.35,738,0
2026-09-08 09:55:00,487.35,487.35,487.1,487.35,584,0
2026-09-08 09:56:00,487.35,487.5,487.15,487.25,794,0
2026-09-08 09:57:00,487.45,487.45,487.3,487.3,49,0
2026-09-08 09:58:00,487.4,488.85,487.1,488.25,7576,0
2026-09-08 09:59:00,488.3,488.5,487.6,487.85,1813,0
2026-09-08 10:00:00,487.65,487.85,487.45,487.75,937,0
2026-09-08 10:01:00,487.65,487.8,487.65,487.65,969,0
2026-09-08 10:02:00,487.65,487.7,487.5,487.5,287,0
2026-09-08 10:03:00,487.5,487.65,487.45,487.5,795,0
2026-09-08 10:04:00,487.45,487.55,487.4,487.55,1449,0
2026-09-08 10:05:00,487.45,487.6,486.75,486.85,2294,0
2026-09-08 10:06:00,487.05,487.35,487.0,487.35,286,0
2026-09-08 10:07:00,487.35,487.5,487.35,487.5,705,0
2026-09-08 10:08:00,487.65,487.65,487.35,487.6,1148,0
2026-09-08 10:09:00,487.5,487.75,487.4,487.4,1192,0
2026-09-08 10:10:00,487.65,487.65,487.4,487.65,96,0
2026-09-08 10:11:00,487.65,487.7,487.45,487.45,60,0
2026-09-08 10:12:00,487.65,487.75,487.5,487.55,705,0
2026-09-08 10:13:00,487.75,487.75,487.55,487.55,337,0
2026-09-08 10:14:00,487.75,487.85,487.6,487.8,1396,0
2026-09-08 10:15:00,487.8,487.8,487.6,487.6,163,0
2026-09-08 10:16:00,487.7,487.7,487.6,487.6,42,0
2026-09-08 10:17:00,487.7,487.8,486.5,486.5,13063,0
2026-09-08 10:18:00,486.7,486.7,486.25,486.25,3713,0
2026-09-08 10:19:00,486.25,486.8,486.0,486.8,6154,0
2026-09-08 10:20:00,486.95,486.95,486.6,486.65,528,0
2026-09-08 10:21:00,486.65,487.25,486.65,487.25,1205,0
2026-09-08 10:22:00,487.25,487.4,487.25,487.25,450,0
2026-09-08 10:23:00,487.3,487.8,487.3,487.5,726,0
2026-09-08 10:24:00,487.5,487.7,487.25,487.25,2589,0
2026-09-08 10:25:00,487.25,487.35,487.1,487.15,439,0
2026-09-08 10:26:00,487.15,487.25,487.1,487.1,242,0
2026-09-08 10:27:00,487.15,487.35,487.05,487.3,564,0
2026-09-08 10:28:00,487.2,487.4,487.05,487.05,1875,0
2026-09-08 10:29:00,487.25,487.3,487.25,487.3,285,0
2026-09-08 10:30:00,487.3,487.3,487.05,487.2,159,0
2026-09-08 10:31:00,487.3,487.3,487.2,487.2,205,0
2026-09-08 10:32:00,487.35,487.35,487.25,487.25,749,0
2026-09-08 10:33:00,487.35,487.45,487.25,487.25,497,0
2026-09-08 10:34:00,487.25,487.45,487.25,487.45,302,0
2026-09-08 10:35:00,487.25,487.45,487.25,487.25,409,0
2026-09-08 10:36:00,487.4,487.4,487.25,487.35,548,0
2026-09-08 10:37:00,487.35,487.35,487.25,487.35,262,0
2026-09-08 10:38:00,487.25,487.25,487.2,487.25,881,0
2026-09-08 10:39:00,487.35,487.4,487.2,487.2,411,0
2026-09-08 10:40:00,487.2,487.25,487.2,487.25,211,0
2026-09-08 10:41:00,487.25,487.4,487.25,487.4,208,0
2026-09-08 10:42:00,487.4,487.4,487.25,487.4,47,0
2026-09-08 10:43:00,487.4,487.4,487.25,487.35,965,0
2026-09-08 10:44:00,487.4,487.4,485.85,486.15,38285,0
2026-09-08 10:45:00,486.1,486.1,485.85,485.85,230,0
2026-09-08 10:46:00,485.85,486.3,485.85,486.1,1166,0
2026-09-08 10:47:00,486.1,486.1,486.1,486.1,181,0
2026-09-08 10:48:00,486.3,486.3,486.1,486.1,710,0
2026-09-08 10:49:00,486.1,486.1,486.05,486.1,2257,0
2026-09-08 10:50:00,486.3,486.3,486.1,486.1,56,0
2026-09-08 10:51:00,486.1,486.25,486.0,486.0,9106,0
2026-09-08 10:52:00,486.0,486.0,486.0,486.0,212,0
2026-09-08 10:53:00,486.0,486.2,486.0,486.2,417,0
2026-09-08 10:54:00,486.0,486.2,486.0,486.2,270,0
2026-09-08 10:55:00,486.0,486.15,485.95,485.95,3644,0
2026-09-08 10:56:00,485.95,485.95,485.7,485.7,2483,0
2026-09-08 10:57:00,485.65,486.2,485.65,486.2,3703,0
2026-09-08 10:58:00,486.2,486.25,486.05,486.25,131,0
2026-09-08 10:59:00,486.05,486.25,486.0,486.05,1564,0
2026-09-08 11:00:00,486.05,486.25,486.05,486.15,559,0
2026-09-08 11:01:00,486.15,486.15,485.7,485.7,5959,0
2026-09-08 11:02:00,485.7,485.85,485.7,485.7,325,0
2026-09-08 11:03:00,485.75,485.85,485.65,485.65,1056,0
2026-09-08 11:04:00,485.7,485.7,485.7,485.7,100,0
2026-09-08 11:05:00,485.75,485.75,485.5,485.5,2127,0
2026-09-08 11:06:00,485.45,485.55,485.45,485.55,181,0
2026-09-08 11:07:00,485.55,485.55,485.55,485.55,8,0
2026-09-08 11:08:00,485.45,485.95,485.4,485.4,2981,0
2026-09-08 11:09:00,485.4,485.4,485.1,485.2,2212,0
2026-09-08 11:10:00,485.2,485.35,485.2,485.3,196,0
2026-09-08 11:11:00,485.2,485.3,485.05,485.1,1227,0
2026-09-08 11:12:00,485.1,485.3,484.5,485.05,7018,0
2026-09-08 11:13:00,485.3,485.3,485.1,485.1,268,0
2026-09-08 11:14:00,485.1,485.6,485.1,485.2,1020,0
2026-09-08 11:15:00,485.15,485.35,485.15,485.15,193,0
2026-09-08 11:16:00,485.15,485.2,485.1,485.1,492,0
2026-09-08 11:17:00,485.1,485.1,485.1,485.1,0,0
2026-09-08 11:18:00,485.2,485.2,485.1,485.1,269,0
2026-09-08 11:19:00,485.2,485.3,485.2,485.3,558,0
2026-09-08 11:20:00,485.25,485.25,485.1,485.1,812,0
2026-09-08 11:21:00,485.1,485.25,485.1,485.25,20,0
2026-09-08 11:22:00,485.1,485.2,485.0,485.2,726,0
2026-09-08 11:23:00,485.0,485.2,484.95,484.95,126,0
2026-09-08 11:24:00,484.95,485.3,484.75,485.2,4383,0
2026-09-08 11:25:00,485.2,486.8,485.2,486.5,14431,0
