Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-09-09 09:15:00,582.5,583.1,479.25,499.5,24800,9600,75024.13,0.0027397260273972603,,,,,
2026-09-09 09:16:00,497.85,497.85,466.45,473.2,45540,29820,74987.54,0.0027397260273972603,,,,,
2026-09-09 09:17:00,473.95,481.65,468.8,476.45,35340,29820,75005.85,0.0027397260273972603,,,,,
2026-09-09 09:18:00,482.0,493.95,475.95,488.3,35080,73840,75052.97,0.0027397260273972603,,,,,
2026-09-09 09:19:00,488.0,488.0,479.5,483.9,27640,73840,75043.32,0.0027397260273972603,,,,,
2026-09-09 09:20:00,481.65,498.0,476.0,491.85,31160,73840,75065.37,0.0027397260273972603,,,,,
2026-09-09 09:21:00,493.0,500.35,490.6,491.25,23800,99760,75066.66,0.0027397260273972603,,,,,
2026-09-09 09:22:00,490.7,495.5,479.75,480.2,18680,99760,75044.48,0.0027397260273972603,,,,,
2026-09-09 09:23:00,479.75,488.0,477.0,488.0,12160,99760,75046.68,0.0027397260273972603,,,,,
2026-09-09 09:24:00,485.85,502.55,482.6,501.25,24520,107240,75068.98,0.0027397260273972603,,,,,
2026-09-09 09:25:00,500.25,502.95,491.8,501.45,16620,107240,75070.89,0.0027397260273972603,,,,,
2026-09-09 09:26:00,501.6,513.1,488.5,490.0,32200,107240,75060.61,0.0027397260273972603,,,,,
2026-09-09 09:27:00,489.2,500.5,478.05,499.35,18340,115880,75062.81,0.0027397260273972603,,,,,
2026-09-09 09:28:00,499.8,499.8,486.15,490.45,16840,115880,75045.25,0.0027397260273972603,,,,,
2026-09-09 09:29:00,492.0,492.0,482.6,487.95,7120,123880,75048.22,0.0027397260273972603,,,,,
2026-09-09 09:30:00,485.0,496.85,485.0,492.6,13060,123880,75067.38,0.0027397260273972603,,,,,
2026-09-09 09:31:00,492.8,510.0,488.15,493.1,22260,123880,75068.63,0.0027397260273972603,,,,,
2026-09-09 09:32:00,491.9,508.65,491.9,494.45,23000,131280,75062.81,0.0027397260273972603,,,,,
2026-09-09 09:33:00,494.85,504.25,494.35,496.2,11900,131280,75073.87,0.0027397260273972603,,,,,
2026-09-09 09:34:00,494.9,515.9,494.9,504.65,21200,131280,75079.47,0.0027397260273972603,,,,,
2026-09-09 09:35:00,504.5,508.5,494.0,497.5,12440,138500,75065.77,0.0027397260273972603,,,,,
2026-09-09 09:36:00,497.45,500.05,485.1,500.05,21140,138500,75079.3,0.0027397260273972603,,,,,
2026-09-09 09:37:00,501.0,514.0,498.95,511.5,25280,141140,75108.92,0.0027397260273972603,,,,,
2026-09-09 09:38:00,512.35,523.25,511.2,518.95,31600,141140,75125.57,0.0027397260273972603,,,,,
2026-09-09 09:39:00,519.35,528.0,513.55,519.0,23740,141140,75122.0,0.0027397260273972603,,,,,
2026-09-09 09:40:00,515.6,533.4,515.6,525.0,26880,145680,75143.26,0.0027397260273972603,,,,,
2026-09-09 09:41:00,525.1,525.1,513.0,515.2,18660,145680,75128.89,0.0027397260273972603,,,,,
2026-09-09 09:42:00,514.95,528.85,513.0,519.7,14900,145680,75134.88,0.0027397260273972603,,,,,
2026-09-09 09:43:00,523.3,529.1,521.3,527.5,11500,143020,75139.42,0.0027397260273972603,,,,,
2026-09-09 09:44:00,525.1,530.1,514.4,514.4,15560,143020,75125.41,0.0027397260273972603,,,,,
2026-09-09 09:45:00,515.9,516.55,498.0,510.7,29900,148160,75107.51,0.0027397260273972603,,,,,
2026-09-09 09:46:00,508.6,513.2,491.4,503.45,14600,148160,75087.69,0.0027397260273972603,,,,,
2026-09-09 09:47:00,505.3,510.1,491.45,491.45,10460,148160,75073.3,0.0027397260273972603,,,,,
2026-09-09 09:48:00,494.7,495.45,482.55,483.75,27120,157920,75046.32,0.0027397260273972603,,,,,
2026-09-09 09:49:00,484.0,484.15,466.05,468.95,52580,157920,75025.61,0.0027397260273972603,,,,,
2026-09-09 09:50:00,467.1,478.55,448.55,459.55,49340,157920,75006.76,0.0027397260273972603,,,,,
2026-09-09 09:51:00,457.65,467.05,455.6,459.4,30680,178160,75007.05,0.0027397260273972603,,,,,
2026-09-09 09:52:00,459.9,476.95,458.75,466.55,28900,178160,75021.05,0.0027397260273972603,,,,,
2026-09-09 09:53:00,466.85,469.3,459.45,462.6,16420,178160,75014.89,0.0027397260273972603,,,,,
2026-09-09 09:54:00,464.05,469.05,456.8,462.7,18180,196980,75010.77,0.0027397260273972603,,,,,
2026-09-09 09:55:00,462.3,467.1,458.4,461.2,17180,196980,75003.7,0.0027397260273972603,,,,,
2026-09-09 09:56:00,461.65,463.8,450.0,454.75,21720,208980,75009.39,0.0027397260273972603,,,,,
2026-09-09 09:57:00,455.6,462.75,452.25,458.9,13220,208980,75006.42,0.0027397260273972603,,,,,
2026-09-09 09:58:00,458.2,460.75,443.1,448.2,29220,208980,74996.54,0.0027397260273972603,,,,,
2026-09-09 09:59:00,447.2,459.55,440.45,452.0,38280,221280,74998.06,0.0027397260273972603,,,,,
2026-09-09 10:00:00,449.45,449.45,427.6,430.9,50940,221280,74953.21,0.0027397260273972603,,,,,
2026-09-09 10:01:00,429.9,433.0,420.7,427.25,67840,221280,74946.5,0.0027397260273972603,,,,,
2026-09-09 10:02:00,428.4,438.95,428.35,436.05,36540,270360,74975.1,0.0027397260273972603,,,,,
2026-09-09 10:03:00,434.35,437.4,426.65,435.2,27400,270360,74971.13,0.0027397260273972603,,,,,
2026-09-09 10:04:00,435.7,438.0,425.4,429.4,17520,287100,74960.61,0.0027397260273972603,,,,,
2026-09-09 10:05:00,427.7,436.0,426.7,426.7,18720,287100,74965.26,0.0027397260273972603,,,,,
2026-09-09 10:06:00,426.55,432.95,416.5,417.9,27120,287100,74949.83,0.0027397260273972603,,,,,
2026-09-09 10:07:00,418.6,421.15,405.3,415.5,55000,304980,74946.11,0.0027397260273972603,,,,,
2026-09-09 10:08:00,415.1,422.0,411.95,416.0,26000,304980,74946.47,0.0027397260273972603,,,,,
2026-09-09 10:09:00,417.5,422.4,416.05,421.1,28600,304980,74952.23,0.0027397260273972603,,,,,
2026-09-09 10:10:00,419.55,421.55,406.1,406.1,34300,319360,74939.35,0.0027397260273972603,,,,,
2026-09-09 10:11:00,403.8,419.0,402.2,413.6,53580,319360,74937.89,0.0027397260273972603,,,,,
2026-09-09 10:12:00,414.35,427.95,414.35,426.6,45680,329040,74969.3,0.0027397260273972603,,,,,
2026-09-09 10:13:00,426.95,435.9,426.95,431.9,52240,329040,74987.29,0.0027397260273972603,,,,,
2026-09-09 10:14:00,431.95,434.5,425.05,431.15,17540,329040,74968.06,0.0027397260273972603,,,,,
2026-09-09 10:15:00,430.8,434.95,427.25,427.25,20520,324840,74974.58,0.0027397260273972603,,,,,
2026-09-09 10:16:00,427.95,439.0,426.3,437.0,25760,324840,74994.09,0.0027397260273972603,,,,,
2026-09-09 10:17:00,436.35,445.75,436.35,443.55,59280,324840,75015.9,0.0027397260273972603,,,,,
2026-09-09 10:18:00,444.15,459.95,443.85,454.5,84600,289560,75055.72,0.0027397260273972603,,,,,
2026-09-09 10:19:00,456.3,470.0,452.0,461.9,51820,289560,75065.96,0.0027397260273972603,,,,,
2026-09-09 10:20:00,460.05,477.7,457.9,470.1,42880,289560,75093.46,0.0027397260273972603,,,,,
2026-09-09 10:21:00,472.5,480.0,468.0,469.0,32800,248400,75079.51,0.0027397260273972603,,,,,
2026-09-09 10:22:00,473.75,479.7,468.75,471.7,24840,248400,75088.62,0.0027397260273972603,,,,,
2026-09-09 10:23:00,473.15,499.1,472.0,499.1,46520,231620,75110.1,0.0027397260273972603,,,,,
2026-09-09 10:24:00,502.95,536.0,502.95,510.65,112420,231620,75126.13,0.0027397260273972603,,,,,
2026-09-09 10:25:00,510.55,517.45,494.0,495.5,33040,231620,75114.16,0.0027397260273972603,,,,,
2026-09-09 10:26:00,495.05,509.15,491.75,498.1,16300,206320,75112.19,0.0027397260273972603,,,,,
2026-09-09 10:27:00,497.85,512.4,497.25,510.75,17780,206320,75120.69,0.0027397260273972603,,,,,
2026-09-09 10:28:00,512.0,523.15,508.8,519.1,22760,206320,75131.72,0.0027397260273972603,,,,,
2026-09-09 10:29:00,521.95,522.3,510.55,511.8,16160,201680,75130.57,0.0027397260273972603,,,,,
2026-09-09 10:30:00,511.85,534.95,507.85,508.1,30200,201680,75128.69,0.0027397260273972603,,,,,
2026-09-09 10:31:00,507.0,511.85,491.25,493.6,24480,203580,75115.18,0.0027397260273972603,,,,,
2026-09-09 10:32:00,492.85,500.35,484.4,495.85,23100,203580,75105.34,0.0027397260273972603,,,,,
2026-09-09 10:33:00,495.3,506.0,491.4,497.75,15940,203580,75113.91,0.0027397260273972603,,,,,
2026-09-09 10:34:00,498.9,498.9,482.0,485.6,12480,206700,75080.62,0.0027397260273972603,,,,,
2026-09-09 10:35:00,485.2,489.3,473.0,475.0,26720,206700,75069.16,0.0027397260273972603,,,,,
2026-09-09 10:36:00,474.85,487.1,471.35,486.1,11520,206700,75072.33,0.0027397260273972603,,,,,
2026-09-09 10:37:00,484.95,488.5,464.0,467.55,22560,210840,75054.05,0.0027397260273972603,,,,,
2026-09-09 10:38:00,466.5,471.4,451.0,453.15,32220,210840,75036.6,0.0027397260273972603,,,,,
2026-09-09 10:39:00,453.95,457.6,445.8,455.35,37740,218380,75038.65,0.0027397260273972603,,,,,
