Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-17 09:15:00,263.5,264.8,263.25,264.65,43173,0
2026-09-17 09:16:00,264.65,264.7,264.0,264.7,20792,0
2026-09-17 09:17:00,264.7,265.3,264.55,265.15,31294,0
2026-09-17 09:18:00,265.15,265.25,264.75,264.75,17795,0
2026-09-17 09:19:00,264.9,264.95,264.7,264.7,2929,0
2026-09-17 09:20:00,264.75,265.0,264.6,264.6,11068,0
2026-09-17 09:21:00,264.7,264.75,264.5,264.7,2711,0
2026-09-17 09:22:00,264.7,264.7,264.3,264.4,12066,0
2026-09-17 09:23:00,264.4,264.5,264.35,264.4,4562,0
2026-09-17 09:24:00,264.5,264.65,264.4,264.55,7023,0
2026-09-17 09:25:00,264.55,264.6,264.35,264.4,3813,0
2026-09-17 09:26:00,264.4,264.45,264.3,264.35,4426,0
2026-09-17 09:27:00,264.4,264.5,264.3,264.5,9892,0
2026-09-17 09:28:00,264.5,264.6,264.4,264.6,9309,0
2026-09-17 09:29:00,264.6,264.65,264.35,264.4,9060,0
2026-09-17 09:30:00,264.55,264.65,264.4,264.5,5738,0
2026-09-17 09:31:00,264.65,264.7,264.5,264.55,2891,0
2026-09-17 09:32:00,264.6,265.15,264.5,264.85,15468,0
2026-09-17 09:33:00,264.9,264.95,264.7,264.75,6211,0
2026-09-17 09:34:00,264.85,264.9,264.75,264.85,1920,0
2026-09-17 09:35:00,264.85,264.95,264.75,264.85,3573,0
2026-09-17 09:36:00,264.9,265.0,264.85,264.85,10172,0
2026-09-17 09:37:00,264.95,265.0,264.85,264.95,1567,0
2026-09-17 09:38:00,264.95,264.95,264.6,264.75,12320,0
2026-09-17 09:39:00,264.8,264.8,264.55,264.55,1981,0
2026-09-17 09:40:00,264.6,264.6,264.5,264.55,4442,0
2026-09-17 09:41:00,264.6,264.65,264.3,264.4,11926,0
2026-09-17 09:42:00,264.45,264.45,264.05,264.05,6535,0
2026-09-17 09:43:00,264.25,264.3,264.05,264.2,5963,0
2026-09-17 09:44:00,264.3,264.3,264.2,264.3,3763,0
2026-09-17 09:45:00,264.35,264.55,264.35,264.45,3163,0
2026-09-17 09:46:00,264.45,264.45,264.35,264.45,4849,0
2026-09-17 09:47:00,264.45,264.6,264.4,264.55,10217,0
2026-09-17 09:48:00,264.55,264.75,264.55,264.65,4029,0
