Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-18 09:15:00,875.3,876.0,871.9,871.9,10956,0
2026-09-18 09:16:00,871.5,873.25,871.5,873.0,2251,0
2026-09-18 09:17:00,872.65,872.75,871.55,872.25,9390,0
2026-09-18 09:18:00,872.25,872.7,872.0,872.0,4813,0
2026-09-18 09:19:00,872.0,872.0,871.0,871.45,649,0
2026-09-18 09:20:00,871.45,871.45,870.5,870.95,1403,0
2026-09-18 09:21:00,870.95,871.25,870.95,871.0,391,0
2026-09-18 09:22:00,871.2,872.65,871.2,872.6,2786,0
2026-09-18 09:23:00,872.6,872.6,872.35,872.5,265,0
2026-09-18 09:24:00,872.5,872.5,872.25,872.5,117,0
2026-09-18 09:25:00,872.25,872.25,871.5,871.5,239,0
2026-09-18 09:26:00,872.0,872.05,871.5,871.5,1489,0
2026-09-18 09:27:00,871.7,871.8,871.25,871.8,245,0
2026-09-18 09:28:00,871.65,871.95,871.5,871.85,115,0
2026-09-18 09:29:00,871.5,872.25,871.5,872.25,659,0
2026-09-18 09:30:00,872.25,872.3,871.6,872.1,24,0
2026-09-18 09:31:00,871.75,872.0,871.75,872.0,13,0
2026-09-18 09:32:00,872.0,872.3,871.6,872.3,94,0
2026-09-18 09:33:00,871.95,871.95,870.75,870.8,1527,0
2026-09-18 09:34:00,871.0,871.0,870.5,870.6,395,0
2026-09-18 09:35:00,870.5,871.0,870.45,871.0,345,0
2026-09-18 09:36:00,871.0,871.2,871.0,871.2,719,0
2026-09-18 09:37:00,871.2,871.2,870.75,870.75,106,0
2026-09-18 09:38:00,871.0,871.0,870.75,870.75,1230,0
2026-09-18 09:39:00,871.25,871.25,871.25,871.25,215,0
2026-09-18 09:40:00,871.25,871.35,871.0,871.35,148,0
2026-09-18 09:41:00,871.35,871.65,871.25,871.25,420,0
2026-09-18 09:42:00,871.3,871.85,871.3,871.85,32,0
2026-09-18 09:43:00,871.8,871.8,871.15,871.15,107,0
2026-09-18 09:44:00,871.5,871.65,871.5,871.65,183,0
2026-09-18 09:45:00,871.85,874.15,871.75,873.75,10749,0
2026-09-18 09:46:00,874.55,875.5,874.55,875.0,5062,0
2026-09-18 09:47:00,875.4,875.5,874.65,875.0,7170,0
2026-09-18 09:48:00,875.4,875.45,874.65,874.75,3575,0
2026-09-18 09:49:00,875.0,875.7,874.7,875.7,1582,0
2026-09-18 09:50:00,875.7,875.85,874.95,875.8,2016,0
2026-09-18 09:51:00,875.9,875.9,875.0,875.0,1551,0
2026-09-18 09:52:00,875.0,875.35,874.75,875.35,424,0
2026-09-18 09:53:00,875.35,875.35,875.15,875.15,260,0
2026-09-18 09:54:00,875.15,875.5,874.95,875.15,1250,0
2026-09-18 09:55:00,875.15,876.15,875.0,875.0,2099,0
2026-09-18 09:56:00,875.05,875.6,874.9,875.35,227,0
2026-09-18 09:57:00,875.35,875.55,875.0,875.5,315,0
2026-09-18 09:58:00,875.5,875.5,875.0,875.3,437,0
2026-09-18 09:59:00,875.45,875.9,875.2,875.9,1451,0
2026-09-18 10:00:00,875.85,876.0,875.25,875.95,495,0
2026-09-18 10:01:00,875.95,875.95,875.3,875.75,2079,0
2026-09-18 10:02:00,875.75,875.75,875.35,875.65,406,0
2026-09-18 10:03:00,875.75,875.75,875.4,875.5,197,0
2026-09-18 10:04:00,875.5,875.55,875.2,875.2,881,0
2026-09-18 10:05:00,875.25,875.95,875.1,875.95,1167,0
2026-09-18 10:06:00,875.95,875.95,875.95,875.95,586,0
2026-09-18 10:07:00,875.9,875.9,875.9,875.9,227,0
