Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-18 09:15:00,349.85,351.75,348.15,351.2,35703,0
2026-09-18 09:16:00,351.05,351.6,350.0,351.6,14553,0
2026-09-18 09:17:00,351.75,351.75,350.3,351.25,23183,0
2026-09-18 09:18:00,351.5,351.8,350.55,350.55,11328,0
2026-09-18 09:19:00,350.85,350.85,349.85,350.35,7868,0
2026-09-18 09:20:00,350.35,350.4,349.75,350.05,5500,0
2026-09-18 09:21:00,350.0,350.8,350.0,350.8,7319,0
2026-09-18 09:22:00,350.65,350.95,350.45,350.55,2402,0
2026-09-18 09:23:00,350.55,350.8,350.3,350.35,1508,0
2026-09-18 09:24:00,350.4,350.85,350.3,350.3,1927,0
2026-09-18 09:25:00,350.5,350.5,349.5,350.2,7821,0
2026-09-18 09:26:00,350.25,350.4,349.75,349.75,2074,0
2026-09-18 09:27:00,349.75,350.0,349.3,349.5,1319,0
2026-09-18 09:28:00,349.6,349.6,349.2,349.4,1008,0
2026-09-18 09:29:00,349.4,349.45,348.9,348.95,2473,0
2026-09-18 09:30:00,349.2,349.25,348.8,348.95,3238,0
2026-09-18 09:31:00,349.1,349.55,348.75,349.5,1124,0
2026-09-18 09:32:00,349.3,349.5,349.1,349.5,1061,0
2026-09-18 09:33:00,349.45,349.9,349.3,349.9,4141,0
2026-09-18 09:34:00,349.7,350.0,349.3,349.3,3027,0
2026-09-18 09:35:00,349.6,350.2,349.4,350.15,3029,0
2026-09-18 09:36:00,350.15,351.35,350.0,351.15,7367,0
2026-09-18 09:37:00,350.95,351.45,350.15,350.15,6413,0
2026-09-18 09:38:00,350.15,350.35,350.0,350.0,1699,0
2026-09-18 09:39:00,350.15,350.3,349.75,350.15,3039,0
2026-09-18 09:40:00,350.2,350.2,350.05,350.2,750,0
2026-09-18 09:41:00,350.1,350.4,350.05,350.4,1778,0
2026-09-18 09:42:00,350.4,350.5,350.15,350.35,1705,0
2026-09-18 09:43:00,350.35,350.35,349.55,349.8,1470,0
2026-09-18 09:44:00,349.55,350.15,349.45,350.15,678,0
2026-09-18 09:45:00,350.1,350.4,350.1,350.35,2156,0
2026-09-18 09:46:00,350.15,350.25,350.05,350.25,749,0
2026-09-18 09:47:00,350.2,350.35,350.05,350.3,1300,0
2026-09-18 09:48:00,350.2,350.25,350.05,350.25,154,0
2026-09-18 09:49:00,350.15,350.35,350.05,350.05,238,0
2026-09-18 09:50:00,350.2,350.5,350.05,350.2,1866,0
2026-09-18 09:51:00,350.2,350.35,350.15,350.35,282,0
2026-09-18 09:52:00,350.35,350.35,349.95,350.35,1148,0
2026-09-18 09:53:00,350.35,350.35,350.15,350.35,314,0
2026-09-18 09:54:00,350.35,350.35,350.15,350.35,269,0
2026-09-18 09:55:00,350.3,350.55,350.15,350.35,1654,0
2026-09-18 09:56:00,350.45,350.5,350.1,350.25,751,0
2026-09-18 09:57:00,350.25,350.35,350.1,350.35,400,0
2026-09-18 09:58:00,350.35,350.5,350.25,350.5,430,0
2026-09-18 09:59:00,350.5,350.5,350.3,350.45,134,0
2026-09-18 10:00:00,350.45,350.45,350.3,350.45,65,0
2026-09-18 10:01:00,350.45,350.45,350.35,350.45,18,0
2026-09-18 10:02:00,350.4,350.4,350.3,350.3,800,0
2026-09-18 10:03:00,350.25,350.3,350.25,350.3,261,0
2026-09-18 10:04:00,350.2,350.25,350.0,350.15,592,0
2026-09-18 10:05:00,350.25,350.3,350.1,350.1,1900,0
2026-09-18 10:06:00,350.3,350.3,349.9,349.9,953,0
2026-09-18 10:07:00,349.9,349.95,349.6,349.8,714,0
2026-09-18 10:08:00,349.8,349.8,349.7,349.7,56,0
2026-09-18 10:09:00,349.75,349.8,349.45,349.8,1827,0
2026-09-18 10:10:00,349.8,350.45,349.8,350.05,3897,0
2026-09-18 10:11:00,350.05,350.05,350.05,350.05,408,0
2026-09-18 10:12:00,350.05,350.8,350.05,350.6,12840,0
2026-09-18 10:13:00,350.5,350.5,350.3,350.3,289,0
2026-09-18 10:14:00,350.5,350.5,350.1,350.1,1712,0
