Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-24 09:15:00,983.5,989.7,983.1,988.3,134050,0
2026-09-24 09:16:00,988.1,988.4,985.5,987.8,18566,0
2026-09-24 09:17:00,987.5,988.7,987.1,988.5,10788,0
2026-09-24 09:18:00,988.7,989.5,988.1,988.5,26575,0
2026-09-24 09:19:00,988.1,988.5,986.2,986.7,23729,0
2026-09-24 09:20:00,986.1,986.6,984.6,984.6,18409,0
2026-09-24 09:21:00,984.5,987.0,984.5,986.3,10232,0
2026-09-24 09:22:00,986.2,987.6,985.1,987.4,42100,0
2026-09-24 09:23:00,987.1,987.8,986.5,986.8,14146,0
2026-09-24 09:24:00,986.7,986.8,985.3,985.6,13430,0
2026-09-24 09:25:00,985.2,985.6,984.6,985.5,17625,0
2026-09-24 09:26:00,985.4,990.3,985.0,987.3,215040,0
2026-09-24 09:27:00,987.1,990.0,987.1,987.6,122984,0
2026-09-24 09:28:00,987.4,988.5,987.1,988.3,10101,0
2026-09-24 09:29:00,988.0,988.1,986.9,987.1,9094,0
2026-09-24 09:30:00,986.8,987.3,986.5,987.3,9369,0
2026-09-24 09:31:00,987.0,988.0,987.0,987.6,5660,0
2026-09-24 09:32:00,987.5,989.0,987.5,988.2,8777,0
2026-09-24 09:33:00,988.2,989.7,988.2,989.3,12086,0
2026-09-24 09:34:00,989.0,989.3,988.0,989.0,21321,0
2026-09-24 09:35:00,988.6,988.9,988.3,988.5,3373,0
2026-09-24 09:36:00,988.4,990.2,988.3,989.8,15380,0
2026-09-24 09:37:00,989.8,991.4,989.8,990.6,7585,0
2026-09-24 09:38:00,990.5,991.9,989.9,990.5,10240,0
2026-09-24 09:39:00,990.2,990.7,989.0,989.2,7361,0
2026-09-24 09:40:00,989.0,989.0,988.2,988.4,6229,0
2026-09-24 09:41:00,988.3,988.4,987.1,987.4,9412,0
2026-09-24 09:42:00,987.1,987.4,986.4,986.6,6169,0
2026-09-24 09:43:00,986.7,987.0,985.1,985.9,12796,0
2026-09-24 09:44:00,985.9,986.1,984.1,984.3,22614,0
2026-09-24 09:45:00,984.3,985.4,984.1,985.4,6884,0
