Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-24 09:15:00,235.5,237.22,235.5,236.7,210840,0
2026-09-24 09:16:00,236.77,237.5,236.43,237.35,122015,0
2026-09-24 09:17:00,237.49,237.68,237.0,237.01,135077,0
2026-09-24 09:18:00,237.05,237.09,236.28,236.38,66615,0
2026-09-24 09:19:00,236.35,236.38,235.9,235.95,70833,0
2026-09-24 09:20:00,235.95,236.05,235.35,235.58,60114,0
2026-09-24 09:21:00,235.58,235.71,235.43,235.55,27800,0
2026-09-24 09:22:00,235.55,235.95,235.45,235.84,29507,0
2026-09-24 09:23:00,235.84,235.84,235.67,235.69,15353,0
2026-09-24 09:24:00,235.69,235.75,235.6,235.64,19343,0
2026-09-24 09:25:00,235.69,235.73,235.63,235.66,26974,0
2026-09-24 09:26:00,235.65,235.79,235.4,235.7,28708,0
2026-09-24 09:27:00,235.69,235.84,235.67,235.7,26951,0
2026-09-24 09:28:00,235.66,235.85,235.63,235.78,21627,0
2026-09-24 09:29:00,235.76,235.99,235.76,235.9,11622,0
2026-09-24 09:30:00,235.9,236.1,235.83,235.93,76833,0
2026-09-24 09:31:00,235.87,236.25,235.86,236.11,25266,0
2026-09-24 09:32:00,236.1,236.23,236.1,236.16,17712,0
2026-09-24 09:33:00,236.11,236.42,236.02,236.34,34335,0
2026-09-24 09:34:00,236.33,236.34,236.18,236.28,16234,0
2026-09-24 09:35:00,236.28,236.37,236.03,236.03,10220,0
2026-09-24 09:36:00,236.06,236.18,236.03,236.06,14138,0
2026-09-24 09:37:00,236.07,236.4,236.06,236.35,11596,0
2026-09-24 09:38:00,236.29,236.37,236.23,236.24,6628,0
2026-09-24 09:39:00,236.23,236.24,236.13,236.14,5851,0
2026-09-24 09:40:00,236.12,236.15,236.06,236.09,12228,0
2026-09-24 09:41:00,236.09,236.09,235.94,236.03,11951,0
2026-09-24 09:42:00,235.98,236.03,235.88,235.93,7166,0
2026-09-24 09:43:00,235.93,236.1,235.93,236.03,14578,0
2026-09-24 09:44:00,236.01,236.24,235.98,236.15,20253,0
2026-09-24 09:45:00,236.16,236.16,236.02,236.04,9949,0
2026-09-24 09:46:00,236.05,236.08,235.85,235.91,21675,0
2026-09-24 09:47:00,235.91,235.93,235.74,235.76,8399,0
2026-09-24 09:48:00,235.75,235.79,235.72,235.76,16291,0
2026-09-24 09:49:00,235.75,235.8,235.71,235.8,15543,0
2026-09-24 09:50:00,235.78,235.86,235.58,235.62,24781,0
2026-09-24 09:51:00,235.56,235.8,235.5,235.79,17376,0
2026-09-24 09:52:00,235.76,235.79,235.7,235.7,6103,0
2026-09-24 09:53:00,235.68,235.84,235.68,235.76,12388,0
2026-09-24 09:54:00,235.73,235.78,235.7,235.71,7623,0
2026-09-24 09:55:00,235.7,235.85,235.6,235.76,19139,0
2026-09-24 09:56:00,235.69,235.88,235.67,235.88,5508,0
2026-09-24 09:57:00,235.87,235.95,235.78,235.95,11897,0
2026-09-24 09:58:00,235.9,235.99,235.87,235.89,5596,0
2026-09-24 09:59:00,235.89,235.9,235.7,235.76,5666,0
2026-09-24 10:00:00,235.76,235.81,235.63,235.64,10769,0
2026-09-24 10:01:00,235.65,235.79,235.6,235.62,6481,0
2026-09-24 10:02:00,235.62,235.7,235.55,235.7,27468,0
2026-09-24 10:03:00,235.66,235.78,235.6,235.66,10868,0
2026-09-24 10:04:00,235.75,235.75,235.68,235.7,3509,0
2026-09-24 10:05:00,235.69,235.75,235.69,235.71,4417,0
2026-09-24 10:06:00,235.71,235.78,235.66,235.71,26756,0
2026-09-24 10:07:00,235.71,235.74,235.63,235.72,3784,0
2026-09-24 10:08:00,235.72,235.74,235.65,235.67,3997,0
2026-09-24 10:09:00,235.73,235.78,235.45,235.51,26221,0
2026-09-24 10:10:00,235.51,235.55,235.45,235.51,9938,0
2026-09-24 10:11:00,235.51,235.67,235.51,235.63,12390,0
2026-09-24 10:12:00,235.6,235.95,235.6,235.61,13903,0
2026-09-24 10:13:00,235.62,235.73,235.61,235.62,6876,0
2026-09-24 10:14:00,235.61,235.72,235.61,235.62,5532,0
2026-09-24 10:15:00,235.62,235.62,235.46,235.46,12951,0
2026-09-24 10:16:00,235.55,235.61,235.44,235.46,6820,0
2026-09-24 10:17:00,235.49,235.62,235.35,235.49,19137,0
2026-09-24 10:18:00,235.49,235.57,235.47,235.5,3998,0
2026-09-24 10:19:00,235.5,235.5,235.47,235.5,7839,0
2026-09-24 10:20:00,235.52,235.53,235.45,235.52,8127,0
2026-09-24 10:21:00,235.52,235.6,235.4,235.48,8259,0
2026-09-24 10:22:00,235.48,235.53,235.44,235.49,3198,0
2026-09-24 10:23:00,235.49,235.49,235.48,235.49,1108,0
2026-09-24 10:24:00,235.48,235.61,235.48,235.54,9528,0
2026-09-24 10:25:00,235.53,235.61,235.52,235.55,5535,0
2026-09-24 10:26:00,235.57,235.8,235.56,235.73,7048,0
2026-09-24 10:27:00,235.7,235.87,235.67,235.77,8848,0
2026-09-24 10:28:00,235.77,235.79,235.74,235.76,8716,0
2026-09-24 10:29:00,235.75,235.92,235.75,235.84,6414,0
2026-09-24 10:30:00,235.79,235.93,235.75,235.82,3688,0
2026-09-24 10:31:00,235.76,235.85,235.75,235.75,5195,0
2026-09-24 10:32:00,235.75,235.8,235.75,235.79,9944,0
2026-09-24 10:33:00,235.76,235.94,235.76,235.87,5041,0
2026-09-24 10:34:00,235.84,235.93,235.79,235.87,4526,0
2026-09-24 10:35:00,235.84,235.93,235.8,235.85,3877,0
2026-09-24 10:36:00,235.86,235.9,235.8,235.87,2753,0
2026-09-24 10:37:00,235.86,235.9,235.84,235.84,2310,0
2026-09-24 10:38:00,235.87,235.95,235.87,235.9,23839,0
2026-09-24 10:39:00,235.94,235.94,235.88,235.9,3250,0
2026-09-24 10:40:00,235.9,235.99,235.84,235.86,5297,0
2026-09-24 10:41:00,235.84,235.97,235.84,235.88,3255,0
2026-09-24 10:42:00,235.9,236.0,235.84,235.95,10870,0
2026-09-24 10:43:00,235.87,235.95,235.87,235.88,1094,0
2026-09-24 10:44:00,235.87,235.92,235.87,235.88,3411,0
2026-09-24 10:45:00,235.88,235.89,235.88,235.88,3665,0
2026-09-24 10:46:00,235.88,235.89,235.84,235.86,3870,0
2026-09-24 10:47:00,235.86,235.86,235.73,235.76,6457,0
2026-09-24 10:48:00,235.75,235.77,235.66,235.73,7780,0
2026-09-24 10:49:00,235.72,235.76,235.71,235.75,15036,0
2026-09-24 10:50:00,235.74,235.76,235.64,235.7,8821,0
2026-09-24 10:51:00,235.66,235.74,235.66,235.67,3321,0
2026-09-24 10:52:00,235.67,235.8,235.67,235.74,2976,0
2026-09-24 10:53:00,235.74,235.76,235.71,235.74,607,0
2026-09-24 10:54:00,235.75,235.8,235.75,235.76,926,0
2026-09-24 10:55:00,235.75,235.79,235.75,235.77,3910,0
2026-09-24 10:56:00,235.75,235.82,235.7,235.7,12495,0
2026-09-24 10:57:00,235.7,235.73,235.66,235.73,6474,0
2026-09-24 10:58:00,235.73,235.76,235.65,235.7,1704,0
2026-09-24 10:59:00,235.68,235.7,235.61,235.62,4593,0
2026-09-24 11:00:00,235.62,235.62,235.51,235.55,5271,0
2026-09-24 11:01:00,235.56,235.65,235.54,235.55,7088,0
2026-09-24 11:02:00,235.55,235.62,235.54,235.55,5697,0
2026-09-24 11:03:00,235.55,235.62,235.52,235.52,7205,0
2026-09-24 11:04:00,235.53,235.7,235.52,235.56,9413,0
2026-09-24 11:05:00,235.56,235.76,235.53,235.6,12841,0
2026-09-24 11:06:00,235.6,235.62,235.51,235.51,7761,0
2026-09-24 11:07:00,235.51,235.65,235.51,235.56,2310,0
2026-09-24 11:08:00,235.56,235.59,235.56,235.58,3081,0
2026-09-24 11:09:00,235.57,235.64,235.47,235.47,16024,0
2026-09-24 11:10:00,235.48,235.48,235.35,235.45,11957,0
2026-09-24 11:11:00,235.44,235.45,235.44,235.45,1225,0
2026-09-24 11:12:00,235.45,235.49,235.44,235.44,5622,0
2026-09-24 11:13:00,235.45,235.45,235.35,235.37,9752,0
2026-09-24 11:14:00,235.37,235.4,235.23,235.29,12314,0
2026-09-24 11:15:00,235.26,235.35,235.23,235.32,14426,0
2026-09-24 11:16:00,235.28,235.35,235.27,235.29,2737,0
2026-09-24 11:17:00,235.29,235.34,235.27,235.33,3134,0
2026-09-24 11:18:00,235.33,235.41,235.32,235.33,7663,0
2026-09-24 11:19:00,235.33,235.42,235.33,235.42,3864,0
2026-09-24 11:20:00,235.43,235.43,235.33,235.35,2877,0
2026-09-24 11:21:00,235.35,235.38,235.35,235.38,4016,0
2026-09-24 11:22:00,235.38,235.4,235.36,235.38,3610,0
2026-09-24 11:23:00,235.38,235.4,235.38,235.39,3185,0
2026-09-24 11:24:00,235.39,235.39,235.23,235.24,12548,0
2026-09-24 11:25:00,235.24,235.25,235.23,235.24,5510,0
2026-09-24 11:26:00,235.25,235.29,235.24,235.24,5731,0
2026-09-24 11:27:00,235.25,235.29,235.23,235.29,3357,0
2026-09-24 11:28:00,235.28,235.35,235.25,235.31,2442,0
2026-09-24 11:29:00,235.29,235.35,235.29,235.3,707,0
2026-09-24 11:30:00,235.3,235.34,235.3,235.31,917,0
2026-09-24 11:31:00,235.3,235.35,235.3,235.31,5196,0
2026-09-24 11:32:00,235.3,235.44,235.3,235.37,5048,0
2026-09-24 11:33:00,235.31,235.49,235.3,235.45,6334,0
2026-09-24 11:34:00,235.49,235.57,235.36,235.53,7076,0
2026-09-24 11:35:00,235.53,235.68,235.44,235.57,4466,0
2026-09-24 11:36:00,235.66,235.78,235.58,235.65,13813,0
2026-09-24 11:37:00,235.65,235.75,235.65,235.75,2371,0
2026-09-24 11:38:00,235.73,235.85,235.73,235.75,4450,0
2026-09-24 11:39:00,235.75,235.76,235.7,235.71,4015,0
2026-09-24 11:40:00,235.7,235.85,235.7,235.82,6754,0
2026-09-24 11:41:00,235.8,235.9,235.79,235.84,37893,0
2026-09-24 11:42:00,235.84,235.99,235.84,235.92,6462,0
2026-09-24 11:43:00,235.94,235.99,235.88,235.88,5773,0
2026-09-24 11:44:00,235.9,235.95,235.86,235.87,4129,0
2026-09-24 11:45:00,235.88,235.88,235.87,235.87,1411,0
2026-09-24 11:46:00,235.87,235.92,235.87,235.9,6323,0
2026-09-24 11:47:00,235.9,235.9,235.71,235.87,14749,0
2026-09-24 11:48:00,235.87,235.98,235.87,235.95,5815,0
2026-09-24 11:49:00,235.96,235.98,235.92,235.94,5835,0
2026-09-24 11:50:00,235.93,235.94,235.9,235.9,5450,0
2026-09-24 11:51:00,235.91,235.91,235.85,235.91,4843,0
2026-09-24 11:52:00,235.88,235.91,235.71,235.89,27859,0
2026-09-24 11:53:00,235.89,235.9,235.63,235.77,57030,0
2026-09-24 11:54:00,235.85,236.3,235.85,236.3,55340,0
2026-09-24 11:55:00,236.3,236.38,236.1,236.1,29962,0
2026-09-24 11:56:00,236.1,236.26,236.1,236.19,9644,0
2026-09-24 11:57:00,236.23,236.23,235.96,236.0,15119,0
2026-09-24 11:58:00,235.97,236.08,235.96,236.04,12278,0
2026-09-24 11:59:00,236.04,236.17,236.03,236.14,8926,0
2026-09-24 12:00:00,236.14,236.15,236.07,236.12,16350,0
2026-09-24 12:01:00,236.12,236.13,236.04,236.08,4334,0
2026-09-24 12:02:00,236.07,236.08,236.07,236.07,2163,0
2026-09-24 12:03:00,236.07,236.08,236.06,236.06,5976,0
2026-09-24 12:04:00,236.06,236.07,236.06,236.06,4597,0
2026-09-24 12:05:00,236.07,236.09,236.05,236.05,6487,0
2026-09-24 12:06:00,236.05,236.17,236.05,236.12,10734,0
2026-09-24 12:07:00,236.13,236.28,236.13,236.28,1793,0
2026-09-24 12:08:00,236.27,236.3,236.2,236.22,5684,0
2026-09-24 12:09:00,236.22,236.25,236.2,236.25,3473,0
2026-09-24 12:10:00,236.24,236.25,236.24,236.25,3590,0
2026-09-24 12:11:00,236.25,236.25,236.16,236.17,9393,0
2026-09-24 12:12:00,236.17,236.28,236.17,236.26,13985,0
2026-09-24 12:13:00,236.29,236.3,236.28,236.3,4513,0
2026-09-24 12:14:00,236.3,236.3,236.19,236.19,2745,0
2026-09-24 12:15:00,236.19,236.25,236.15,236.23,10901,0
2026-09-24 12:16:00,236.23,236.28,235.98,236.0,52034,0
2026-09-24 12:17:00,236.01,236.2,236.0,236.13,27502,0
2026-09-24 12:18:00,236.14,236.14,236.01,236.08,5395,0
2026-09-24 12:19:00,236.07,236.08,235.95,236.08,7470,0
2026-09-24 12:20:00,236.08,236.08,235.98,235.98,5514,0
2026-09-24 12:21:00,235.98,236.22,235.95,236.08,31728,0
2026-09-24 12:22:00,236.08,236.13,235.92,236.09,13149,0
2026-09-24 12:23:00,236.1,236.1,236.01,236.02,4721,0
2026-09-24 12:24:00,236.02,236.1,235.9,236.05,14957,0
2026-09-24 12:25:00,236.03,236.06,235.65,235.72,65871,0
2026-09-24 12:26:00,235.79,235.79,235.37,235.55,53680,0
2026-09-24 12:27:00,235.6,235.67,235.44,235.46,34094,0
2026-09-24 12:28:00,235.5,235.9,235.35,235.84,73573,0
2026-09-24 12:29:00,235.84,236.0,235.82,235.95,7220,0
2026-09-24 12:30:00,235.96,235.96,235.85,235.88,9526,0
2026-09-24 12:31:00,235.86,235.93,235.85,235.91,3641,0
2026-09-24 12:32:00,235.91,235.91,235.86,235.88,4831,0
2026-09-24 12:33:00,235.88,235.88,235.8,235.82,8653,0
2026-09-24 12:34:00,235.82,235.85,235.81,235.84,16553,0
2026-09-24 12:35:00,235.84,235.84,235.77,235.78,2563,0
2026-09-24 12:36:00,235.79,235.79,235.78,235.79,2156,0
2026-09-24 12:37:00,235.78,235.83,235.78,235.83,8300,0
2026-09-24 12:38:00,235.83,235.86,235.77,235.83,7415,0
2026-09-24 12:39:00,235.83,235.84,235.78,235.79,4205,0
2026-09-24 12:40:00,235.78,235.79,235.73,235.73,3658,0
2026-09-24 12:41:00,235.74,235.74,235.58,235.64,7832,0
2026-09-24 12:42:00,235.63,235.74,235.62,235.71,23887,0
2026-09-24 12:43:00,235.71,235.73,235.58,235.72,2593,0
2026-09-24 12:44:00,235.72,235.73,235.67,235.73,4815,0
2026-09-24 12:45:00,235.73,235.77,235.69,235.77,11344,0
2026-09-24 12:46:00,235.77,235.82,235.73,235.74,3792,0
2026-09-24 12:47:00,235.73,235.82,235.73,235.82,12725,0
2026-09-24 12:48:00,235.82,235.86,235.79,235.85,1449,0
2026-09-24 12:49:00,235.85,235.88,235.84,235.86,5340,0
2026-09-24 12:50:00,235.88,235.88,235.84,235.85,2542,0
2026-09-24 12:51:00,235.84,235.85,235.8,235.8,5522,0
2026-09-24 12:52:00,235.82,235.82,235.81,235.82,2129,0
2026-09-24 12:53:00,235.81,235.82,235.81,235.81,3439,0
2026-09-24 12:54:00,235.81,235.82,235.78,235.78,3099,0
2026-09-24 12:55:00,235.78,235.78,235.77,235.77,1661,0
2026-09-24 12:56:00,235.78,235.78,235.75,235.76,11533,0
2026-09-24 12:57:00,235.75,235.77,235.68,235.77,54396,0
2026-09-24 12:58:00,235.76,236.0,235.76,235.97,22785,0
2026-09-24 12:59:00,235.96,236.08,235.96,236.05,15575,0
2026-09-24 13:00:00,236.04,236.05,235.92,235.92,12610,0
2026-09-24 13:01:00,235.93,236.14,235.92,236.13,19745,0
2026-09-24 13:02:00,236.11,236.2,236.11,236.12,19206,0
2026-09-24 13:03:00,236.12,236.27,236.11,236.27,7801,0
2026-09-24 13:04:00,236.27,236.34,235.71,235.89,335738,0
2026-09-24 13:05:00,235.88,236.06,235.85,236.03,16355,0
2026-09-24 13:06:00,236.03,236.03,235.98,236.03,5072,0
2026-09-24 13:07:00,236.02,236.02,235.94,235.96,4554,0
2026-09-24 13:08:00,235.96,235.96,235.9,235.94,4905,0
2026-09-24 13:09:00,235.94,235.94,235.89,235.9,1672,0
2026-09-24 13:10:00,235.89,235.9,235.84,235.87,3231,0
2026-09-24 13:11:00,235.87,235.87,235.85,235.86,3360,0
2026-09-24 13:12:00,235.85,235.86,235.85,235.86,2131,0
2026-09-24 13:13:00,235.86,235.86,235.82,235.86,4153,0
2026-09-24 13:14:00,235.86,235.86,235.79,235.8,5664,0
2026-09-24 13:15:00,235.8,235.8,235.78,235.8,4332,0
2026-09-24 13:16:00,235.79,235.9,235.72,235.9,48655,0
2026-09-24 13:17:00,235.9,236.09,235.9,236.04,34311,0
2026-09-24 13:18:00,236.05,236.06,236.0,236.02,1046,0
2026-09-24 13:19:00,236.02,236.04,236.02,236.04,1849,0
2026-09-24 13:20:00,236.04,236.1,236.03,236.05,8650,0
2026-09-24 13:21:00,236.07,236.15,236.01,236.13,7674,0
2026-09-24 13:22:00,236.14,236.2,236.02,236.2,20702,0
2026-09-24 13:23:00,236.2,236.26,236.2,236.23,6914,0
2026-09-24 13:24:00,236.24,236.24,236.23,236.24,1431,0
2026-09-24 13:25:00,236.24,236.24,236.2,236.21,4045,0
2026-09-24 13:26:00,236.22,236.22,235.94,235.96,17782,0
2026-09-24 13:27:00,235.94,236.0,235.84,235.92,10892,0
2026-09-24 13:28:00,235.92,235.98,235.82,235.91,5548,0
2026-09-24 13:29:00,235.91,236.0,235.91,236.0,6566,0
2026-09-24 13:30:00,235.96,236.0,235.96,236.0,8247,0
2026-09-24 13:31:00,236.0,236.26,235.99,236.25,56817,0
2026-09-24 13:32:00,236.24,236.25,236.19,236.2,16542,0
2026-09-24 13:33:00,236.19,236.2,236.19,236.2,3635,0
2026-09-24 13:34:00,236.2,236.2,236.19,236.19,3746,0
2026-09-24 13:35:00,236.2,236.2,236.14,236.15,4505,0
2026-09-24 13:36:00,236.15,236.15,236.14,236.14,2853,0
2026-09-24 13:37:00,236.14,236.15,236.14,236.15,12485,0
2026-09-24 13:38:00,236.15,236.15,236.14,236.15,6390,0
2026-09-24 13:39:00,236.15,236.15,236.1,236.12,5766,0
2026-09-24 13:40:00,236.11,236.2,236.04,236.2,62822,0
2026-09-24 13:41:00,236.2,236.3,236.11,236.16,29119,0
2026-09-24 13:42:00,236.15,236.17,236.14,236.14,6193,0
2026-09-24 13:43:00,236.14,236.14,235.86,235.92,16286,0
2026-09-24 13:44:00,236.0,236.09,235.97,236.04,20395,0
2026-09-24 13:45:00,236.04,236.2,236.01,236.07,21407,0
2026-09-24 13:46:00,236.04,236.09,236.0,236.07,6896,0
2026-09-24 13:47:00,236.07,236.37,236.05,236.25,41350,0
2026-09-24 13:48:00,236.25,236.62,236.25,236.55,82038,0
2026-09-24 13:49:00,236.54,236.68,236.49,236.59,48965,0
2026-09-24 13:50:00,236.59,236.6,236.59,236.59,7150,0
2026-09-24 13:51:00,236.59,236.6,236.54,236.54,7653,0
