Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-25 09:15:00,173.9,173.98,173.05,173.3,94794,0
2026-09-25 09:16:00,173.29,173.72,173.1,173.72,38361,0
2026-09-25 09:17:00,173.71,173.78,172.71,173.16,71932,0
2026-09-25 09:18:00,173.15,173.19,172.72,172.78,51778,0
2026-09-25 09:19:00,172.78,172.84,172.52,172.52,17832,0
2026-09-25 09:20:00,172.56,172.56,172.25,172.34,66058,0
2026-09-25 09:21:00,172.36,172.51,172.11,172.17,41109,0
2026-09-25 09:22:00,172.17,172.26,172.13,172.19,18226,0
2026-09-25 09:23:00,172.19,172.19,172.02,172.13,29687,0
2026-09-25 09:24:00,172.1,172.23,172.01,172.23,12316,0
2026-09-25 09:25:00,172.13,172.2,171.94,172.19,31741,0
2026-09-25 09:26:00,172.18,172.27,172.11,172.25,10480,0
2026-09-25 09:27:00,172.17,172.27,172.12,172.16,5613,0
2026-09-25 09:28:00,172.24,172.24,172.13,172.22,2481,0
2026-09-25 09:29:00,172.22,172.32,172.11,172.32,11101,0
2026-09-25 09:30:00,172.36,172.7,172.36,172.55,20359,0
2026-09-25 09:31:00,172.52,172.61,172.39,172.58,9132,0
2026-09-25 09:32:00,172.52,172.7,172.42,172.62,8714,0
2026-09-25 09:33:00,172.61,172.61,172.5,172.56,5750,0
2026-09-25 09:34:00,172.55,172.66,172.34,172.46,10440,0
2026-09-25 09:35:00,172.46,172.6,172.36,172.53,3793,0
2026-09-25 09:36:00,172.52,172.54,172.29,172.29,16618,0
2026-09-25 09:37:00,172.29,172.29,172.12,172.13,10070,0
2026-09-25 09:38:00,172.11,172.22,172.05,172.1,10252,0
2026-09-25 09:39:00,172.18,172.18,172.01,172.05,7662,0
2026-09-25 09:40:00,172.05,172.05,171.9,171.98,16602,0
2026-09-25 09:41:00,171.9,172.13,171.9,172.09,10933,0
2026-09-25 09:42:00,172.06,172.19,172.06,172.1,927,0
2026-09-25 09:43:00,172.1,172.15,171.91,172.0,3988,0
2026-09-25 09:44:00,171.93,172.05,171.85,171.92,13487,0
2026-09-25 09:45:00,171.85,172.04,171.85,171.99,4333,0
2026-09-25 09:46:00,171.95,172.02,171.95,172.02,2471,0
