Date,Open,High,Low,Close,Volume,OpenInterest
2026-09-25 09:15:00,83.48,83.74,83.28,83.68,362450,0
2026-09-25 09:16:00,83.7,84.02,83.69,83.87,158685,0
2026-09-25 09:17:00,83.83,84.03,83.82,83.89,245554,0
2026-09-25 09:18:00,83.89,83.94,83.77,83.84,84406,0
2026-09-25 09:19:00,83.8,83.87,83.75,83.79,84928,0
2026-09-25 09:20:00,83.8,83.8,83.69,83.71,30432,0
2026-09-25 09:21:00,83.74,83.76,83.62,83.73,71795,0
2026-09-25 09:22:00,83.73,83.76,83.64,83.69,70584,0
2026-09-25 09:23:00,83.69,83.8,83.66,83.72,41856,0
2026-09-25 09:24:00,83.72,83.75,83.64,83.64,33190,0
2026-09-25 09:25:00,83.64,83.77,83.64,83.74,99367,0
2026-09-25 09:26:00,83.7,83.87,83.7,83.84,62189,0
2026-09-25 09:27:00,83.83,83.87,83.7,83.78,82636,0
2026-09-25 09:28:00,83.75,83.78,83.65,83.69,18077,0
2026-09-25 09:29:00,83.66,83.95,83.66,83.89,123187,0
2026-09-25 09:30:00,83.92,84.11,83.92,84.11,111845,0
2026-09-25 09:31:00,84.07,84.12,83.99,84.06,74037,0
2026-09-25 09:32:00,84.06,84.18,83.89,83.93,121986,0
2026-09-25 09:33:00,83.9,83.93,83.76,83.8,47918,0
2026-09-25 09:34:00,83.79,83.83,83.77,83.81,33663,0
2026-09-25 09:35:00,83.83,83.96,83.81,83.9,29076,0
2026-09-25 09:36:00,83.9,83.94,83.75,83.75,29571,0
2026-09-25 09:37:00,83.75,83.79,83.62,83.63,30232,0
2026-09-25 09:38:00,83.63,83.67,83.55,83.62,81771,0
2026-09-25 09:39:00,83.62,83.64,83.58,83.6,50371,0
2026-09-25 09:40:00,83.63,83.63,83.5,83.52,54578,0
2026-09-25 09:41:00,83.52,83.56,83.5,83.55,22809,0
2026-09-25 09:42:00,83.54,83.55,83.49,83.54,14929,0
2026-09-25 09:43:00,83.54,83.54,83.46,83.48,24304,0
2026-09-25 09:44:00,83.48,83.54,83.46,83.47,52035,0
2026-09-25 09:45:00,83.47,83.54,83.47,83.52,27330,0
2026-09-25 09:46:00,83.52,83.52,83.47,83.51,22030,0
2026-09-25 09:47:00,83.5,83.53,83.47,83.53,19571,0
2026-09-25 09:48:00,83.53,83.55,83.49,83.53,54024,0
2026-09-25 09:49:00,83.54,83.54,83.47,83.48,27339,0
2026-09-25 09:50:00,83.48,83.51,83.47,83.51,13362,0
2026-09-25 09:51:00,83.5,83.52,83.47,83.5,10756,0
2026-09-25 09:52:00,83.47,83.5,83.42,83.42,39258,0
2026-09-25 09:53:00,83.42,83.42,83.35,83.38,42078,0
2026-09-25 09:54:00,83.38,83.4,83.33,83.38,14860,0
2026-09-25 09:55:00,83.38,83.42,83.32,83.35,27807,0
2026-09-25 09:56:00,83.37,83.45,83.35,83.45,16835,0
2026-09-25 09:57:00,83.42,83.43,83.38,83.4,11914,0
2026-09-25 09:58:00,83.4,83.42,83.35,83.4,9797,0
2026-09-25 09:59:00,83.4,83.41,83.35,83.37,23328,0
2026-09-25 10:00:00,83.37,83.39,83.3,83.35,52012,0
2026-09-25 10:01:00,83.35,83.36,83.31,83.32,11425,0
2026-09-25 10:02:00,83.35,83.36,83.32,83.35,12106,0
2026-09-25 10:03:00,83.37,83.4,83.34,83.39,59733,0
2026-09-25 10:04:00,83.4,83.45,83.34,83.44,106852,0
2026-09-25 10:05:00,83.43,83.46,83.41,83.45,36649,0
2026-09-25 10:06:00,83.45,83.53,83.41,83.48,45181,0
2026-09-25 10:07:00,83.52,83.52,83.44,83.47,15561,0
2026-09-25 10:08:00,83.48,83.67,83.45,83.67,98988,0
2026-09-25 10:09:00,83.65,83.69,83.59,83.65,69750,0
2026-09-25 10:10:00,83.65,83.72,83.57,83.57,46555,0
2026-09-25 10:11:00,83.57,83.6,83.45,83.47,30737,0
2026-09-25 10:12:00,83.5,83.5,83.29,83.42,75086,0
2026-09-25 10:13:00,83.42,83.5,83.4,83.5,24574,0
2026-09-25 10:14:00,83.46,83.51,83.43,83.5,14980,0
2026-09-25 10:15:00,83.5,83.55,83.45,83.55,10271,0
2026-09-25 10:16:00,83.55,83.55,83.5,83.5,9799,0
2026-09-25 10:17:00,83.5,83.52,83.47,83.5,16408,0
2026-09-25 10:18:00,83.5,83.54,83.46,83.48,45488,0
2026-09-25 10:19:00,83.49,83.51,83.45,83.49,39201,0
2026-09-25 10:20:00,83.45,83.49,83.42,83.48,2888,0
2026-09-25 10:21:00,83.48,83.52,83.47,83.48,22526,0
2026-09-25 10:22:00,83.48,83.5,83.45,83.5,34517,0
2026-09-25 10:23:00,83.5,83.5,83.43,83.45,18049,0
2026-09-25 10:24:00,83.5,83.53,83.45,83.53,23584,0
2026-09-25 10:25:00,83.5,83.5,83.42,83.5,53495,0
2026-09-25 10:26:00,83.5,83.54,83.5,83.54,24772,0
2026-09-25 10:27:00,83.53,83.55,83.47,83.53,33179,0
2026-09-25 10:28:00,83.54,83.54,83.53,83.54,3211,0
2026-09-25 10:29:00,83.54,83.54,83.49,83.5,7591,0
2026-09-25 10:30:00,83.52,83.76,83.5,83.71,123661,0
2026-09-25 10:31:00,83.69,83.89,83.69,83.85,122625,0
2026-09-25 10:32:00,83.86,83.91,83.79,83.82,90642,0
2026-09-25 10:33:00,83.81,83.82,83.76,83.79,22172,0
2026-09-25 10:34:00,83.79,83.79,83.56,83.57,34947,0
2026-09-25 10:35:00,83.56,83.6,83.51,83.58,54432,0
2026-09-25 10:36:00,83.6,83.65,83.59,83.63,26829,0
2026-09-25 10:37:00,83.65,83.65,83.58,83.6,17447,0
2026-09-25 10:38:00,83.59,83.6,83.58,83.6,8784,0
2026-09-25 10:39:00,83.6,83.71,83.57,83.57,128706,0
2026-09-25 10:40:00,83.6,83.6,83.56,83.56,15330,0
2026-09-25 10:41:00,83.59,83.59,83.5,83.55,21581,0
2026-09-25 10:42:00,83.56,83.57,83.52,83.56,7674,0
2026-09-25 10:43:00,83.54,83.56,83.5,83.55,11369,0
2026-09-25 10:44:00,83.53,83.56,83.52,83.53,10700,0
2026-09-25 10:45:00,83.54,83.56,83.52,83.55,10085,0
2026-09-25 10:46:00,83.55,83.55,83.52,83.55,15475,0
2026-09-25 10:47:00,83.55,83.55,83.51,83.55,4001,0
2026-09-25 10:48:00,83.55,83.55,83.53,83.53,6303,0
2026-09-25 10:49:00,83.55,83.55,83.53,83.53,4951,0
2026-09-25 10:50:00,83.55,83.55,83.45,83.47,72996,0
2026-09-25 10:51:00,83.45,83.52,83.45,83.5,15714,0
2026-09-25 10:52:00,83.5,83.52,83.49,83.52,1807,0
2026-09-25 10:53:00,83.49,83.52,83.45,83.45,19343,0
