Date,Open,High,Low,Close,Volume,OpenInterest
2026-07-24 09:15:00,249.55,249.7,245.4,246.4,96034,0
2026-07-24 09:16:00,246.55,246.55,245.05,245.45,40212,0
2026-07-24 09:17:00,245.25,245.6,244.9,245.1,42727,0
2026-07-24 09:18:00,244.9,245.75,244.85,245.45,23095,0
2026-07-24 09:19:00,245.45,245.55,245.0,245.3,28246,0
2026-07-24 09:20:00,245.25,245.6,245.05,245.4,12307,0
2026-07-24 09:21:00,245.55,246.15,245.4,245.85,18078,0
2026-07-24 09:22:00,245.65,246.35,245.55,245.9,9518,0
2026-07-24 09:23:00,246.0,246.15,245.6,245.65,7251,0
2026-07-24 09:24:00,245.75,245.85,245.2,245.45,8365,0
2026-07-24 09:25:00,245.3,245.4,245.1,245.15,8405,0
2026-07-24 09:26:00,245.3,245.35,244.85,245.0,31350,0
2026-07-24 09:27:00,245.0,245.15,244.5,244.6,23295,0
2026-07-24 09:28:00,244.7,244.9,244.35,244.45,20322,0
2026-07-24 09:29:00,244.45,244.65,244.25,244.4,12495,0
2026-07-24 09:30:00,244.4,244.65,244.25,244.55,12345,0
2026-07-24 09:31:00,244.55,244.55,243.9,244.05,69581,0
2026-07-24 09:32:00,244.05,244.5,243.8,244.3,26593,0
2026-07-24 09:33:00,244.3,244.5,243.85,244.3,10301,0
2026-07-24 09:34:00,244.3,244.45,244.0,244.15,10675,0
2026-07-24 09:35:00,244.0,244.35,244.0,244.2,11822,0
2026-07-24 09:36:00,244.2,244.25,244.0,244.0,11895,0
2026-07-24 09:37:00,244.0,244.05,243.6,243.9,9848,0
2026-07-24 09:38:00,243.85,244.0,243.65,243.9,14679,0
2026-07-24 09:39:00,243.9,244.0,243.25,243.45,31579,0
2026-07-24 09:40:00,243.4,243.6,243.1,243.35,13071,0
2026-07-24 09:41:00,243.3,243.35,242.9,243.1,32993,0
2026-07-24 09:42:00,243.15,243.3,242.75,242.85,19505,0
2026-07-24 09:43:00,242.95,243.0,242.65,242.9,6886,0
2026-07-24 09:44:00,242.9,242.95,242.6,242.85,11636,0
2026-07-24 09:45:00,242.8,243.65,242.75,242.85,45445,0
2026-07-24 09:46:00,242.95,243.0,242.55,242.7,20347,0
2026-07-24 09:47:00,242.65,242.7,242.05,242.2,23154,0
2026-07-24 09:48:00,242.35,242.35,241.75,242.05,47547,0
2026-07-24 09:49:00,242.1,242.25,242.0,242.2,15523,0
2026-07-24 09:50:00,242.2,242.2,241.9,242.1,13797,0
2026-07-24 09:51:00,242.1,242.45,241.85,242.2,18099,0
2026-07-24 09:52:00,242.15,242.2,241.2,241.25,39482,0
2026-07-24 09:53:00,241.3,241.55,241.05,241.05,34868,0
2026-07-24 09:54:00,241.2,241.5,241.1,241.45,6718,0
